#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.275468
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999565
Leiotettix_pulcher: 0.994022
Scotussa_daguerrei: 0.999522
Dichromatos_lilloanus: 0.998766
Dichroplus_vittatus: 1.73413
Ronderosia_sp: 0.804493
Leiotettix_flavipes: 0.825669
Dichroplus_silveiraguidoi: 1.9909
Dichroplus_patruelis: 0.998803
Chlorus_bolivianus: 1.05782
N38: 0.986167
Total number of loss events: 12.7447
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.855993
N21: 0.641175
Dichroplus_conspersus: 0.740881
Dichroplus_democraticus: 1.00169
N25: 0.65837
N27: 0.644021
Chlorus_bolivianus: 1.00025
N29: 0.960089
N33: 0.587532
N34: 0.586453
N40: 0.904582
N43: 1.00879
Total number of duplication events: 11.6255
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.18181e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N21:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.999436  sum expections= 0.0130322
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	5.64342e-006	1.26502e-005	0.00744486	7.47122e-024
N3	0.00138488	0.00139716	0.00605225	1.45083e-018
N4	0.00134332	0.00492683	0.00247081	7.11728e-018
N5	0.00370775	0.000134076	0.000245011	3.7861e-017
N6	6.03747e-008	1.87265e-008	0.855993	4.13753e-019
N7	8.23e-006	8.54777e-007	0.0919718	2.72951e-021
N8	4.18838e-006	1.33357e-005	0.0444762	1.02017e-019
N9	2.51361e-006	0.000418519	0.0047075	2.67393e-018
Atrachelacris_sp	3.64146e-007	0.999565	0.0028345	0
N10	0.000438422	6.62748e-006	0.00200745	2.21761e-014
N11	9.54643e-006	1.33073e-005	0.000739373	1.33661e-013
Hyalopteryx_rufipennis	4.39753e-007	5.9733e-006	8.76751e-005	0
Leiotettix_viridis	4.39753e-007	5.9733e-006	8.76751e-005	0
Pseudoscopas_nigrigena	6.05251e-006	0.000296669	0.000827048	2.86934e-013
N12	2.14953e-006	0.000461387	0.00491748	2.12187e-018
N13	0.000323931	2.36518e-005	0.00141093	3.24179e-014
N14	1.04833e-005	0.00581965	0.0011875	6.16726e-013
Leiotettix_pulcher	6.73717e-007	0.994022	2.59418e-005	0
Scotussa_lemniscata	0.00598131	2.6674e-006	2.59421e-005	0
Scotussa_impudica	0.000332218	0.000456527	0.00121344	6.06579e-013
Scotussa_daguerrei	3.96273e-007	0.999522	0.00262437	0
N15	6.10589e-006	0.00122318	0.0160235	1.31391e-018
Dichromatos_lilloanus	1.81236e-006	0.998766	0.0359856	0
Leptysma_sp	0.0022822	0.00177125	0.0359856	3.51189e-013
N16	5.35754e-007	0.168421	0.0502056	1.07957e-020
N17	0.000100009	0.0210126	0.0130008	4.55178e-015
N18	0.00361468	0.0103727	0.00992485	1.59103e-011
Dichroplus_maculipennis	0.196447	0.000282072	0.0645279	3.25458e-007
Dichroplus_vittatus	1.51512e-006	1.73413	0.0645277	0
Ronderosia_sp	0.000187043	0.804493	0.0744527	0
Leiotettix_flavipes	0.00025012	0.825669	0.0876435	0
N19	3.84051e-007	9.18156e-008	7.56725e-007	2.75945e-025
N20	4.78643e-006	2.51633e-006	0.259114	2.51944e-017
N21	0.00103351	0.0147388	0.641175	2.76554e-012
Dichromorpha_sp	0.0119975	4.34131e-008	0.098671	0
Dichroplus_pratensis	0	2	0	0
Dichroplus_conspersus	0.0010184	0.00118837	0.740881	3.80449e-012
N22	4.08011e-007	1.75068e-006	4.12713e-008	1.7959e-028
N23	0.000388532	0.00946767	1.7895e-008	3.06418e-026
Dichroplus_democraticus	0.00634257	0.00226437	1.00169	8.9571e-012
Dichroplus_silveiraguidoi	2.55852e-005	1.9909	8.98528e-006	0
N24	3.52172e-006	5.1841e-007	0.3364	1.1048e-015
N25	0.000727834	0.000841039	0.65837	3.69432e-012
Dichroplus_elongatus	9.34982e-006	1.65976e-006	0.00522945	0
N26	9.66223e-008	0.00117245	0.00521273	1.15578e-018
Dichroplus_paraelongatus	0.00118313	8.55675e-009	1.36539e-005	0
Dichroplus_patruelis	9.80381e-013	0.998803	0	0
N27	0.000670238	0.000769681	0.644021	1.80909e-011
N28	2.68248e-007	4.64828e-006	0.0195757	1.66779e-018
Dichroplus_exilis	1.59138e-010	1.9075e-009	2.32901e-006	0
Dichroplus_fuscus	1.59138e-010	1.9075e-009	2.32901e-006	0
Dichroplus_schulzi	2.68925e-007	4.64703e-006	0.0195781	0
Chlorus_bolivianus	0.00473283	1.05782	1.00025	0
N29	0.0042256	0.00562489	0.960089	1.41704e-006
N30	3.16659e-005	9.90886e-005	0.0426157	1.67562e-011
Schistocerca_cancellata	1.95777e-009	3.40029e-008	1.59077e-005	0
Schistocerca_pallens	1.95777e-009	3.40029e-008	1.59077e-005	0
Schistocerca_flavofasciata	3.09583e-005	9.83867e-005	0.0426316	1.67532e-011
N31	1.82775e-005	7.78509e-006	0.103296	2.93666e-012
N32	0.000799812	0.000788629	0.277785	1.57045e-010
N33	0.00375804	0.00781375	0.587532	9.99081e-008
Diponthus_sp	5.1655e-005	0.00020909	0.0401452	3.2187e-011
Xyleus_modestus	5.1655e-005	0.00020909	0.0401452	3.2187e-011
N34	0.00176042	0.00371206	0.586453	1.39206e-007
N35	5.49063e-006	6.15557e-005	0.0245251	1.08543e-012
N36	1.31131e-006	0.00260646	0.0161524	3.27713e-015
N37	0.002596	2.04742e-006	0.000477219	3.9254e-015
Marellia_remipes	1.0269e-005	1.90904e-006	6.89734e-005	0
Xyleus_insignis	1.0269e-005	1.90904e-006	6.89734e-005	0
N38	3.00645e-007	0.986167	0.000546034	2.73161e-020
Tropidostethus_sp	0.00010811	0.0113377	1.57918e-007	0
Xyleus_laevipes	0.00010811	0.0113377	1.57918e-007	0
Paulinia_acuminata	0.000174505	0.000467877	0.0166986	1.88437e-014
N39	0.000364467	0.000728182	0.0412214	3.36861e-012
Ommatolampis_sp	1.33162e-009	3.10793e-008	2.45957e-006	0
Prionolopha_serrata	1.33162e-009	3.10793e-008	2.45957e-006	0
N40	0.00704151	0.0207869	0.904582	2.89541e-008
N41	1.71854e-007	4.65653e-006	0.000855952	8.77456e-018
Ommexecha_sp	9.88274e-009	1.23114e-007	2.34411e-005	0
Zoniopoda_tarsata	9.88274e-009	1.23114e-007	2.34411e-005	0
N42	1.9214e-007	4.40749e-006	0.000710605	1.86375e-018
Zoniopoda_hempeli	1.28923e-008	3.38588e-007	0.000168787	0
Zoniopoda_omnicolor	1.28923e-008	3.38588e-007	0.000168787	0
N43	0.00972346	0.0293158	1.00879	1.70925e-007
Trimerotropis_ochraceipennis	9.79524e-007	5.55001e-005	0.00742357	0
Trimerotropis_pallidipennis	9.79524e-007	5.55001e-005	0.00742357	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00645696	1.00647	1.0162	4.96216e-017
Hyalopteryx_rufipennis	0.006905	0.00692936	1.0162	1.55887e-013
Leiotettix_viridis	0.006905	0.00692936	1.0162	1.55887e-013
Pseudoscopas_nigrigena	0.00690107	0.00720675	1.0162	3.09159e-013
Leiotettix_pulcher	0.00679132	1.00681	1.0162	6.49193e-013
Scotussa_lemniscata	0.012772	0.0127923	1.0162	6.49193e-013
Scotussa_impudica	0.00711238	0.0074265	1.0162	6.39046e-013
Scotussa_daguerrei	0.00645663	1.00647	1.0162	4.90695e-017
Dichromatos_lilloanus	0.00645781	1.00646	1.01619	4.81595e-017
Leptysma_sp	0.0087382	0.00946603	1.01619	3.51237e-013
Dichroplus_maculipennis	0.206604	0.206559	1.00986	3.25474e-007
Dichroplus_vittatus	0.0101584	1.9404	1.00986	1.59149e-011
Ronderosia_sp	0.00672925	1.0004	1.00986	4.59863e-015
Leiotettix_flavipes	0.00669232	1.00056	1.01005	4.68537e-017
Dichromorpha_sp	0.0194778	0.0212121	1.01517	2.76561e-012
Dichroplus_pratensis	0.00748028	2.02121	0.916503	2.76561e-012
Dichroplus_conspersus	0.00746517	0.0076617	1.01621	3.80456e-012
Dichroplus_democraticus	0.0131735	0.0182046	1.0179	8.95714e-012
Dichroplus_silveiraguidoi	0.00685651	2.00684	0.0162227	4.64292e-017
Dichroplus_elongatus	0.0071831	0.00731578	1.01621	3.69547e-012
Dichroplus_paraelongatus	0.00835698	0.00848658	1.01621	3.69547e-012
Dichroplus_patruelis	0.00717385	1.00729	1.0162	3.69547e-012
Dichroplus_exilis	0.00711642	0.00724742	1.01621	1.8092e-011
Dichroplus_fuscus	0.00711642	0.00724742	1.01621	1.8092e-011
Dichroplus_schulzi	0.00711643	0.00724741	1.01621	1.8092e-011
Chlorus_bolivianus	0.00746668	1.06416	1.01621	8.56811e-018
Schistocerca_cancellata	0.0056478	0.00713383	1.01622	1.41705e-006
Schistocerca_pallens	0.0056478	0.00713383	1.01622	1.41705e-006
Schistocerca_flavofasciata	0.00564709	0.00713309	1.01622	1.41705e-006
Diponthus_sp	0.00463343	0.00883191	1.0162	1.001e-007
Xyleus_modestus	0.00463343	0.00883191	1.0162	1.001e-007
Marellia_remipes	0.00519723	0.0071931	1.0162	1.39367e-007
Xyleus_insignis	0.00519723	0.0071931	1.0162	1.39367e-007
Tropidostethus_sp	0.00269937	1.00469	1.0162	1.39367e-007
Xyleus_laevipes	0.00269937	1.00469	1.0162	1.39367e-007
Paulinia_acuminata	0.00276415	0.00505056	1.0162	1.39367e-007
