#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.148096
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.993463
Leiotettix_pulcher: 0.976881
Scotussa_daguerrei: 0.982334
Chlorus_bolivianus: 1.04744
Ronderosia_sp: 0.544419
Dichroplus_pratensis: 1.13732
Dichroplus_patruelis: 0.998093
Dichroplus_silveiraguidoi: 1.98801
Dichroplus_vittatus: 1.19568
Leiotettix_flavipes: 0.99292
Xyleus_laevipes: 0.998456
Tropidostethus_sp: 1.00081
Total number of loss events: 14.2235
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.560356
N7: 0.96718
Leiotettix_viridis: 0.539939
Dichroplus_conspersus: 0.914743
Dichroplus_pratensis: 0.914585
N18: 0.828682
Dichroplus_democraticus: 1.00336
N24: 0.94564
Dichroplus_maculipennis: 0.843869
Dichroplus_vittatus: 0.843312
N28: 0.896343
N29: 0.961518
Xyleus_modestus: 0.538196
N41: 0.831759
N43: 1.57283
Total number of duplication events: 17.7035
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.17578e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00533646	0.0159057	0.560356	3.03087e-015
N3	0.000275762	0.000278324	0.0135957	5.70006e-019
N4	0.00103835	0.00109401	0.0220355	2.96732e-018
N5	1.2128e-007	3.73489e-007	4.13097e-005	3.7785e-024
N6	8.95607e-007	6.21383e-007	0.000183394	7.5091e-024
N7	0.000490172	0.00548057	0.96718	2.25241e-012
N8	0.000197625	0.00189435	0.0196102	6.93599e-014
Atrachelacris_sp	0.000139102	0.993463	0.0132446	0
Scotussa_impudica	0.00636004	0.00242368	0.0132447	1.89652e-012
N9	7.37873e-006	0.0128552	0.0156945	3.50387e-014
N10	0.00138347	0.00814725	0.0170602	2.76725e-009
Leiotettix_pulcher	4.31073e-009	0.976881	0.00010013	0
Scotussa_lemniscata	0.0232226	0.000107658	0.00010013	0
Scotussa_daguerrei	0.000164727	0.982334	0.0171603	0
N11	2.7872e-007	9.51292e-007	3.1563e-005	1.36324e-024
N12	3.5423e-007	0.00176954	0.460065	6.25134e-014
N13	1.26902e-006	0.457147	0.328878	7.34823e-014
N14	6.07084e-005	0.383825	0.100789	2.33947e-013
Chlorus_bolivianus	0.00265145	1.04744	0.110268	0
Dichromatos_lilloanus	0.0191834	0.161432	0.110268	1.26317e-008
Ronderosia_sp	0.00296689	0.544419	0.211058	5.89015e-011
Leiotettix_viridis	0.0034364	0.00803887	0.539939	2.59485e-012
N15	1.55766e-006	6.10614e-006	1.62997e-006	1.30558e-025
N16	4.86269e-006	6.56242e-006	0.0676496	2.9672e-013
N17	2.96195e-006	0.00118818	0.0177672	4.47841e-014
Dichroplus_conspersus	0.00245308	0.00528626	0.914743	8.76077e-010
Dichroplus_pratensis	9.8516e-007	1.13732	0.914585	0
N18	6.28682e-005	9.37806e-005	0.828682	2.84824e-011
N19	0.000114767	0.000138284	0.0972771	1.08147e-013
Dichroplus_elongatus	0.000127598	0.000124467	0.00639324	0
N20	0.000110656	0.00201122	0.00630564	5.13082e-017
Dichroplus_paraelongatus	0.00190719	2.0366e-007	8.76066e-005	0
Dichroplus_patruelis	4.47726e-011	0.998093	8.76066e-005	0
N21	0.000229644	0.000242298	0.0983003	9.30338e-014
N22	0.000111516	0.000116118	0.00532064	3.21789e-017
Dichroplus_exilis	8.96942e-009	1.4969e-007	4.93765e-005	0
Dichroplus_fuscus	8.96942e-009	1.4969e-007	4.93765e-005	0
Dichroplus_schulzi	0.000115318	0.000120038	0.00537002	0
N23	0.000286875	0.0122095	3.54364e-007	4.67955e-020
Dichroplus_democraticus	0.00573954	0.00519281	1.00336	5.95825e-011
Dichroplus_silveiraguidoi	2.05137e-005	1.98801	3.50681e-005	0
N24	0.00184912	0.00491194	0.94564	5.38714e-012
N25	0.000117489	0.000167355	0.0533938	2.55412e-013
Dichromorpha_sp	0.000108154	0.000109744	0.00119648	0
Pseudoscopas_nigrigena	0.000108154	0.000109744	0.00119648	0
Hyalopteryx_rufipennis	0.00024957	0.00029955	0.0545903	0
N26	0.000226657	0.000285445	0.0928683	1.24502e-014
N27	0.00023396	0.0051319	0.0640802	1.47678e-012
Dichroplus_maculipennis	0.00530914	0.00713687	0.843869	4.37969e-008
Dichroplus_vittatus	6.0964e-006	1.19568	0.843312	0
N28	0.00185542	0.0120442	0.896343	9.12556e-010
Leiotettix_flavipes	3.40358e-007	0.99292	0.0110524	0
Leptysma_sp	0.00688297	0.000770038	0.0110525	0
N29	0.00484259	0.0155363	0.961518	7.02059e-009
N30	0.000259881	0.000507538	0.0607948	1.58743e-013
Schistocerca_cancellata	5.99651e-009	1.99803e-007	4.87214e-005	0
Schistocerca_pallens	5.99651e-009	1.99803e-007	4.87214e-005	0
Schistocerca_flavofasciata	0.000264041	0.000771513	0.0608435	0
N31	0.000204408	0.000240235	0.193653	9.59993e-012
N32	0.000179029	0.000193427	0.219992	9.25314e-012
N33	0.000157922	0.000143671	0.0840489	1.12666e-011
N34	0.00159191	0.00408867	0.365748	3.79197e-009
Diponthus_sp	0.00137578	0.00418297	0.17245	1.76487e-009
Prionolopha_serrata	0.00137578	0.00418297	0.17245	1.76487e-009
Xyleus_modestus	0.00419657	0.025701	0.538196	1.19994e-009
N35	0.000376794	0.000751453	0.394557	1.29355e-010
N36	9.78645e-005	0.000136479	0.0658575	2.22075e-011
Marellia_remipes	0.00241977	0.00891659	0.161885	2.90008e-012
N37	0.000135357	0.000188545	0.110655	1.38636e-012
N38	0.000119541	0.00115621	0.0443098	2.21895e-013
N39	0.000887914	0.000135122	0.00548582	3.75558e-014
N40	5.30256e-006	0.00130434	0.000935422	1.59554e-014
Ommexecha_sp	0.00170469	0.000503146	0.000442202	0
Xyleus_laevipes	7.02239e-006	0.998456	0.000442201	0
Xyleus_insignis	0.000522329	0.00119163	0.00137763	0
Tropidostethus_sp	0.00182421	1.00081	0.00686343	0
Paulinia_acuminata	0.00174051	0.00450368	0.0511732	2.16602e-012
Ommatolampis_sp	0.00275184	0.0127847	0.227764	2.74696e-011
N41	0.00507877	0.0206117	0.831759	2.24355e-010
N42	1.42673e-006	3.61625e-005	0.00465626	4.4855e-014
Zoniopoda_hempeli	0.000377456	0.000389844	0.0058475	0
Zoniopoda_omnicolor	0.000377456	0.000389844	0.0058475	0
Zoniopoda_tarsata	0.000258775	0.000305095	0.0105038	0
N43	0.0192855	0.138235	1.57283	1.16807e-005
Trimerotropis_ochraceipennis	0.000260704	0.0012564	0.0324507	0
Trimerotropis_pallidipennis	0.000260704	0.0012564	0.0324507	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00747848	1.01812	1.59625	2.3248e-012
Scotussa_impudica	0.0136994	0.0270777	1.59625	4.22132e-012
Leiotettix_pulcher	0.00853261	1.02064	1.59625	2.76954e-009
Scotussa_lemniscata	0.0317552	0.0438697	1.59625	2.76954e-009
Scotussa_daguerrei	0.00731386	1.01795	1.59625	2.29048e-012
Chlorus_bolivianus	0.00936564	1.90746	1.59625	3.72978e-013
Dichromatos_lilloanus	0.0258976	1.02145	1.59625	1.26321e-008
Ronderosia_sp	0.00962038	1.02062	1.59625	5.90405e-011
Leiotettix_viridis	0.0100886	0.0270884	1.59625	2.66039e-012
Dichroplus_conspersus	0.00911432	0.0237671	1.59641	8.76421e-010
Dichroplus_pratensis	0.00666223	1.1558	1.59625	3.44538e-013
Dichroplus_elongatus	0.00696352	0.0176492	1.59625	2.88903e-011
Dichroplus_paraelongatus	0.00885377	0.0195362	1.59625	2.88904e-011
Dichroplus_patruelis	0.00694658	1.01763	1.59625	2.88904e-011
Dichroplus_exilis	0.00706232	0.017745	1.59625	2.88752e-011
Dichroplus_fuscus	0.00706232	0.017745	1.59625	2.88752e-011
Dichroplus_schulzi	0.00706611	0.0177488	1.59625	2.88752e-011
Dichroplus_democraticus	0.0126798	0.0346885	1.59961	5.95855e-011
Dichroplus_silveiraguidoi	0.00696081	2.01751	0.596281	3.03445e-015
Dichromorpha_sp	0.00872545	0.0224675	1.59626	5.64558e-012
Pseudoscopas_nigrigena	0.00872545	0.0224675	1.59626	5.64558e-012
Hyalopteryx_rufipennis	0.00874938	0.0224899	1.59626	5.39017e-012
