#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.49902
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Chlorus_bolivianus: 1.12294
Leiotettix_pulcher: 0.990569
Scotussa_daguerrei: 0.998822
Dichroplus_vittatus: 1.89197
Leiotettix_flavipes: 1.00226
Dichroplus_pratensis: 1.20031
Dichroplus_silveiraguidoi: 1.99467
Dichroplus_patruelis: 0.998909
Tropidostethus_sp: 1.00316
Xyleus_laevipes: 0.996714
Total number of loss events: 14.0448
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.782474
Dichroplus_conspersus: 0.809983
Dichroplus_pratensis: 0.80998
Dichroplus_democraticus: 1.00073
N22: 0.561659
N24: 0.553381
N27: 0.527196
N41: 1.00426
N43: 1.1755
Total number of duplication events: 10.7832
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.71479e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00400907	0.00556325	0.196642	1.20062e-016
N3	2.17017e-009	1.79088e-006	0.000282439	3.20929e-021
N4	0.00172309	0.0017336	0.00535652	9.89361e-021
N5	7.34713e-008	9.00061e-005	0.782474	7.90807e-017
N6	1.92789e-006	0.00708273	0.186201	1.36407e-016
N7	1.32202e-006	0.425943	0.0301465	1.17545e-017
N8	0.000424248	0.00107596	0.000669127	6.73092e-016
N9	5.05663e-005	0.453566	0.000486572	9.32574e-016
Atrachelacris_sp	0.000241138	0.113452	3.9122e-005	0
Dichromatos_lilloanus	0.000241138	0.113452	3.9122e-005	0
Leiotettix_viridis	0.421445	0.0260713	0.000525694	6.53971e-013
N10	1.41089e-006	0.442455	0.000191316	1.73481e-018
Chlorus_bolivianus	2.59508e-007	1.12294	0.00100417	0
Ronderosia_sp	0.00126295	0.125653	0.00100417	0
N11	0.00204421	0.00117103	0.030783	1.6598e-012
N12	0.00041654	5.34574e-007	3.37389e-005	3.6505e-016
N13	0.000188511	0.00439286	0.000516532	1.21951e-016
Leiotettix_pulcher	1.03258e-006	0.990569	8.74366e-006	0
Scotussa_lemniscata	0.00943132	1.1053e-006	8.74362e-006	0
Scotussa_impudica	0.00549472	0.000629998	0.000525276	0
Scotussa_daguerrei	7.68217e-007	0.998822	0.000559015	0
N14	6.21756e-006	0.000600913	0.0960646	6.30584e-016
N15	0.00021176	2.68869e-005	0.0102542	3.83087e-014
N16	7.7761e-006	0.00393583	0.00619342	9.40285e-015
Dichroplus_maculipennis	0.00455224	0.0010901	0.105031	1.33613e-009
Dichroplus_vittatus	3.39918e-007	1.89197	0.105031	0
Pseudoscopas_nigrigena	0.00128546	0.00197031	0.111225	7.43783e-012
Leiotettix_flavipes	1.50089e-006	1.00226	0.121479	0
N17	3.25494e-007	7.19221e-007	7.61502e-006	2.18636e-025
N18	0.000116033	0.000547199	3.09096e-006	1.55767e-026
N19	0.000127754	0.00641748	0.190028	4.43278e-013
Dichroplus_conspersus	0.00669164	0.000615216	0.809983	0
Dichroplus_pratensis	6.77274e-006	1.20031	0.80998	0
N20	0.000128808	0.00501395	8.09455e-007	7.05099e-023
Dichroplus_democraticus	0.0043718	0.00120952	1.00073	1.49101e-011
Dichroplus_silveiraguidoi	5.87999e-006	1.99467	7.89469e-006	0
N21	6.97943e-005	6.77506e-005	0.434854	3.04341e-016
N22	0.000860558	0.00143122	0.561659	1.01602e-011
Dichroplus_elongatus	1.32591e-005	2.75773e-006	0.0034978	0
N23	1.41991e-007	0.00108062	0.00347264	6.11469e-018
Dichroplus_paraelongatus	0.001091	2.70594e-008	2.51562e-005	0
Dichroplus_patruelis	2.62734e-012	0.998909	2.51562e-005	0
N24	0.000801448	0.00134259	0.553381	1.05664e-011
N25	3.66829e-007	7.73872e-006	0.0117742	2.203e-018
