#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.185436
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.892314
Dichromatos_lilloanus: 0.891953
N11: 0.795113
Chlorus_bolivianus: 1.09843
Leiotettix_pulcher: 0.990212
Scotussa_daguerrei: 0.967258
Leiotettix_flavipes: 0.976978
Dichroplus_vittatus: 1.42721
Dichroplus_pratensis: 1.01506
Dichroplus_silveiraguidoi: 1.99722
Dichroplus_patruelis: 0.999588
Xyleus_laevipes: 0.997343
Tropidostethus_sp: 0.997953
Total number of loss events: 14.3594
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.511265
Dichroplus_maculipennis: 0.57624
Dichroplus_vittatus: 0.57624
N17: 0.702591
Dichroplus_conspersus: 0.984277
Dichroplus_pratensis: 0.984238
Dichroplus_democraticus: 1.00036
N23: 0.974172
N25: 0.998562
N27: 0.560342
N41: 1.02349
N43: 1.15124
Total number of duplication events: 12.7506
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.02397e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00104459	0.00196502	0.141235	1.94432e-017
N3	0.000237229	0.000281228	0.0164743	3.24161e-018
N4	0.00112879	0.00116195	0.0109846	8.46766e-020
N5	1.88984e-008	1.24e-007	0.20261	3.42701e-019
N6	1.33362e-007	0.0106432	0.511265	1.71152e-020
N7	3.01664e-005	0.0111921	0.257515	3.17672e-016
N8	2.22191e-007	0.0662279	0.00746144	8.31038e-019
N9	6.28312e-005	0.00574297	0.00330117	2.42173e-015
N10	0.00222726	0.0018212	0.00219407	3.08345e-013
Atrachelacris_sp	6.56957e-005	0.892314	0.00119624	0
Leiotettix_viridis	0.102121	0.0135647	0.00119624	3.50571e-011
Dichromatos_lilloanus	0.000127673	0.891953	0.00339031	0
N11	2.50395e-005	0.795113	0.00285638	9.91524e-019
Chlorus_bolivianus	6.76557e-007	1.09843	0.00384582	0
Ronderosia_sp	0.00187847	0.104021	0.00384582	0
N12	0.0042646	0.00140216	0.0135444	8.55506e-015
N13	0.0254981	2.69585e-005	0.000639516	2.14631e-012
N14	0.000223521	0.00277427	0.000254969	5.02195e-014
Leiotettix_pulcher	1.07726e-009	0.990212	4.43524e-006	0
Scotussa_lemniscata	0.00978922	7.44073e-007	4.43524e-006	0
Scotussa_impudica	0.00708077	0.000373281	0.000259404	0
Scotussa_daguerrei	1.38451e-005	0.967258	0.000898922	0
Leiotettix_flavipes	0.00179271	0.976978	0.271959	7.24719e-015
N15	0.000160309	0.000169305	0.0947448	6.6495e-015
N16	0.00022783	0.00677707	0.126406	4.76033e-014
Dichroplus_maculipennis	0.00594392	0.00110783	0.57624	0
Dichroplus_vittatus	2.31589e-007	1.42721	0.57624	0
N17	0.000507915	0.00128702	0.702591	5.66243e-012
Diponthus_sp	1.13719e-009	4.44549e-008	5.60229e-005	0
Pseudoscopas_nigrigena	1.13719e-009	4.44549e-008	5.60229e-005	0
N18	2.6558e-007	1.64807e-007	5.73408e-006	1.69471e-026
N19	5.66305e-008	8.58003e-007	8.58115e-007	1.83916e-026
N20	1.22693e-006	0.000674455	0.0157414	1.17085e-019
Dichroplus_conspersus	0.00105343	0.000561155	0.984277	2.03092e-010
Dichroplus_pratensis	5.74095e-007	1.01506	0.984238	0
N21	8.54697e-007	3.20464e-006	5.80377e-008	1.23749e-025
N22	0.000225436	0.0030002	3.78859e-008	4.19305e-025
Dichroplus_democraticus	0.00207387	0.000355729	1.00036	5.89546e-012
Dichroplus_silveiraguidoi	1.12506e-006	1.99722	1.69951e-006	0
N23	1.71448e-005	1.6244e-005	0.974172	3.26615e-013
N24	1.91575e-007	4.75745e-006	0.025783	1.11614e-016
Dichroplus_exilis	1.52813e-009	2.81187e-008	4.5906e-005	0
Dichroplus_fuscus	1.52813e-009	2.81187e-008	4.5906e-005	0
Dichroplus_schulzi	1.69292e-007	4.7359e-006	0.0258289	0
N25	0.000795544	0.000799767	0.998562	5.77886e-014
Dichroplus_elongatus	3.67588e-006	5.76334e-007	0.00143916	0
N26	1.91775e-008	0.000398413	0.00142864	2.97696e-019
Dichroplus_paraelongatus	0.000401781	4.397e-009	1.02409e-005	0
Dichroplus_patruelis	1.2515e-013	0.999588	0	0
N27	0.000115264	0.000136455	0.560342	1.93095e-012
N28	9.53747e-005	0.000445663	0.286608	9.21902e-012
N29	0.00014691	0.00202235	0.148243	1.62165e-010
N30	4.64557e-006	3.50552e-005	0.0117716	1.08988e-013
Dichromorpha_sp	3.34912e-007	8.4994e-006	0.00401945	0
Leptysma_sp	3.34912e-007	8.4994e-006	0.00401945	0
Hyalopteryx_rufipennis	8.33536e-007	0.00059252	0.015791	5.22627e-013
N31	0.000504736	0.00307737	0.147892	1.96706e-010
N32	1.73018e-006	6.62171e-005	0.0160937	5.38917e-015
Schistocerca_cancellata	1.21033e-008	3.42241e-007	4.83731e-005	0
Schistocerca_pallens	1.21033e-008	3.42241e-007	4.83731e-005	0
Schistocerca_flavofasciata	1.57555e-006	0.000326077	0.016142	0
N33	6.5549e-005	8.53799e-005	0.245113	2.34806e-012
N34	3.59164e-005	6.97002e-005	0.10289	5.97183e-012
N35	8.44512e-006	4.25406e-005	0.0903003	2.603e-013
N36	9.13313e-007	1.43321e-005	0.0116056	1.31102e-015
N37	1.78615e-006	3.33742e-006	0.000297099	4.13758e-018
N38	9.39031e-007	0.00265847	0.000409723	9.47611e-018
Marellia_remipes	0.00265973	2.06877e-006	2.53093e-005	0
Xyleus_laevipes	6.24826e-007	0.997343	2.53093e-005	0
Paulinia_acuminata	3.57631e-006	0.000275639	0.000435032	0
N39	1.52749e-006	0.00205052	0.000630164	9.27801e-019
Ommexecha_sp	0.00199661	0.000110803	0.000101967	0
Tropidostethus_sp	5.14255e-007	0.997953	0.000101967	0
N40	5.3099e-006	0.000287432	0.0114742	6.89303e-015
Ommatolampis_sp	4.40328e-007	1.27736e-005	0.00086351	0
Xyleus_insignis	4.40328e-007	1.27736e-005	0.00086351	0
