#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.952465
Total number of gain events: 1.01662
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999999
Chlorus_bolivianus: 1.0123
Dichroplus_vittatus: 1.0198
Dichroplus_pratensis: 1.09472
Dichroplus_patruelis: 0.999102
Dichroplus_silveiraguidoi: 1.99306
Leiotettix_pulcher: 0.992995
Tropidostethus_sp: 0.997508
Xyleus_laevipes: 0.991069
Total number of loss events: 11.2023
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Atrachelacris_sp: 1.00023
Dichroplus_conspersus: 0.971367
Dichroplus_pratensis: 0.971329
N18: 0.707582
Dichroplus_democraticus: 1.00138
N24: 0.683627
N25: 0.997853
Scotussa_impudica: 1.00011
Diponthus_sp: 1.00218
N41: 0.598375
N43: 1.0138
Total number of duplication events: 13.4003
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.38308e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00125632	0.00131236	0.0530332	1.28843e-019
N3	0.00116309	0.00116357	0.0098908	2.59864e-019
N4	0.000239027	0.000254198	0.00194144	3.15271e-020
Atrachelacris_sp	2.83648e-006	0.999999	1.00023	0
N5	3.3741e-006	1.20955e-006	0.000122813	2.45927e-022
N6	1.15808e-006	9.6838e-007	8.65551e-005	3.06405e-022
N7	1.58208e-007	1.31994e-006	2.48308e-005	7.0239e-026
N8	3.1312e-009	4.46615e-006	0.264337	1.88006e-023
N9	3.64752e-006	0.15339	0.0381525	3.31193e-019
N10	8.3791e-006	0.175764	0.0384619	1.49768e-017
Chlorus_bolivianus	9.22229e-007	1.0123	0.0166843	0
N11	0.000706038	0.00448308	0.00742235	1.25422e-013
N12	0.000288593	0.000559041	0.0014982	1.33504e-013
N13	0.0121553	0.0093017	0.000784581	1.76178e-013
Dichroplus_maculipennis	0.952465	0.0415191	0.00697771	0
Dichroplus_vittatus	1.73713e-006	1.0198	0.00697771	0
Ronderosia_sp	0.000511718	0.0244256	0.00776229	0
Leiotettix_flavipes	0.000680393	0.0248652	0.00926054	0
Scotussa_daguerrei	0.000646614	0.20486	0.0551462	0
Dichromatos_lilloanus	0.000739149	0.38473	0.119668	0
N14	3.31744e-007	1.42096e-008	2.95148e-008	3.22891e-028
N15	1.33238e-007	1.35623e-006	2.29331e-008	7.82225e-025
N16	6.83516e-007	1.01459e-006	0.0224911	5.34553e-018
N17	5.98838e-007	0.000439222	0.0061749	3.48281e-019
Dichroplus_conspersus	0.000760123	0.000506916	0.971367	2.24056e-011
Dichroplus_pratensis	2.06967e-007	1.09472	0.971329	0
N18	0.00010467	0.000104297	0.707582	5.81263e-014
N19	0.000106155	0.000119334	0.267704	1.11862e-014
Dichroplus_elongatus	8.43772e-006	9.83313e-007	0.00222293	0
N20	6.62946e-008	0.000871683	0.00220424	2.62833e-019
Dichroplus_paraelongatus	0.000879081	1.20192e-008	1.86873e-005	0
Dichroplus_patruelis	1.05102e-012	0.999102	0	0
N21	0.000109568	0.000113651	0.249373	4.15464e-014
N22	3.73432e-007	4.31154e-006	0.0204556	2.77681e-017
Dichroplus_exilis	6.61015e-009	7.99608e-008	9.82653e-005	0
Dichroplus_fuscus	6.61015e-009	7.99608e-008	9.82653e-005	0
Dichroplus_schulzi	2.96769e-007	4.29687e-006	0.0205538	0
N23	0.000631672	0.00754769	2.50761e-009	2.84295e-026
Dichroplus_democraticus	0.00427258	0.00193557	1.00138	6.78638e-011
Dichroplus_silveiraguidoi	5.12004e-006	1.99306	7.56097e-006	0
N24	0.000265185	0.00026471	0.683627	1.00291e-013
Leiotettix_viridis	0.000205474	0.000219873	0.316374	1.29045e-011
Pseudoscopas_nigrigena	0.000205474	0.000219873	0.316374	1.29045e-011
N25	0.00101118	0.00801995	0.997853	2.64583e-015
Leiotettix_pulcher	2.93322e-008	0.992995	0.00217206	0
Scotussa_lemniscata	0.00700592	9.18762e-007	0.00217205	0
Scotussa_impudica	0.00165523	0.00298015	1.00011	1.74537e-014
Diponthus_sp	0.00297573	0.00563311	1.00218	2.3213e-012
N26	0.0003884	0.000397614	0.412871	1.70865e-012
