#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0536884
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998355
Chlorus_bolivianus: 1.65334
Dichromatos_lilloanus: 0.834927
Ronderosia_sp: 0.834927
Dichroplus_silveiraguidoi: 1.99313
Dichroplus_patruelis: 0.998835
Dichroplus_pratensis: 1.04443
Leiotettix_pulcher: 0.996212
Scotussa_daguerrei: 0.999712
Leiotettix_flavipes: 0.999998
Dichroplus_vittatus: 1.07403
Xyleus_laevipes: 0.997337
Tropidostethus_sp: 0.996156
Total number of loss events: 14.6729
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Dichroplus_conspersus: 1
Dichroplus_democraticus: 0.994625
N17: 0.596677
Dichroplus_pratensis: 0.987726
N22: 0.92818
Leiotettix_flavipes: 1.00004
Dichroplus_maculipennis: 0.950509
Dichroplus_vittatus: 0.950508
N26: 0.998423
N29: 0.555684
Leptysma_sp: 0.923578
N43: 1.05127
Total number of duplication events: 16.203
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.49078e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00100347	0.0011153	0.0614948	2.93358e-019
N3	0.000378291	0.000365169	0.0035367	4.63617e-021
N4	0.00089907	0.000922215	0.00346149	1.58853e-019
N5	7.24175e-006	3.6912e-006	9.1939e-005	5.03079e-021
N6	3.47171e-006	1.01409e-006	4.39525e-005	6.21471e-023
N7	3.5508e-008	1.70359e-007	8.33657e-007	4.40291e-028
N8	1.11521e-008	9.73531e-008	0.450676	1.15712e-021
N9	0.000104344	0.000289567	0.191951	3.41424e-017
N10	0.000222125	6.69937e-007	0.0584905	4.96184e-014
N11	7.81367e-006	0.000447288	0.102462	4.10713e-014
Atrachelacris_sp	1.53608e-006	0.998355	0.195172	0
Leiotettix_viridis	0.00237082	0.00118483	0.195172	0
Pseudoscopas_nigrigena	0.00216902	0.00127667	0.297634	0
Chlorus_bolivianus	1.80811e-010	1.65334	0.356127	0
N12	1.42876e-007	0.13569	0.13162	1.98943e-019
Dichromatos_lilloanus	0.000221852	0.834927	0.388115	0
Ronderosia_sp	0.000221852	0.834927	0.388115	0
N13	1.39153e-007	4.11937e-007	6.05216e-008	1.16535e-026
Dichroplus_conspersus	0.00169602	0.00254359	1	0
N14	2.33426e-008	6.81422e-006	3.77603e-009	1.72144e-029
N15	0.000642741	0.00748843	1.55691e-009	2.87614e-029
Dichroplus_democraticus	1.02073e-011	7.32525e-007	0.994625	0
Dichroplus_silveiraguidoi	5.10205e-006	1.99313	5.64404e-006	0
N16	7.67759e-008	3.96658e-005	0.012274	2.18876e-020
N17	2.70666e-005	1.58615e-007	0.596677	3.38335e-011
N18	0.000400273	0.000406851	0.381518	2.44735e-014
Dichroplus_elongatus	5.12392e-006	1.34841e-006	0.00951031	0
N19	7.72191e-008	0.00109944	0.00944825	2.91888e-018
Dichroplus_paraelongatus	0.00110316	2.39381e-008	6.20525e-005	0
Dichroplus_patruelis	3.31581e-012	0.998835	0	0
N20	0.000471561	0.00047309	0.382214	2.27471e-014
N21	6.44447e-008	1.45938e-006	0.00880933	2.60289e-019
Dichroplus_exilis	1.73805e-010	2.68692e-009	4.76154e-006	0
Dichroplus_fuscus	1.73805e-010	2.68692e-009	4.76154e-006	0
Dichroplus_schulzi	6.23828e-008	1.4589e-006	0.00881409	0
Dichroplus_pratensis	2.26529e-010	1.04443	0.987726	0
N22	0.000650179	0.000938583	0.92818	3.46015e-016
N23	0.000135712	4.05757e-006	0.0217078	3.72983e-015
N24	0.000279834	0.00391488	0.0488296	2.49949e-015
Leiotettix_pulcher	1.54082e-009	0.996212	0.00128301	0
Scotussa_lemniscata	0.00378915	1.63154e-006	0.00128301	0
Scotussa_impudica	0.00063238	0.000513806	0.0501126	0
Scotussa_daguerrei	2.86964e-007	0.999712	0.0718205	0
Leiotettix_flavipes	3.30817e-006	0.999998	1.00004	6.85859e-014
N25	0.000231098	0.00327173	0.0496286	1.96648e-014
Dichroplus_maculipennis	0.00485001	0.00496095	0.950509	1.42794e-005
Dichroplus_vittatus	7.87596e-007	1.07403	0.950508	0
N26	0.00200685	0.00831616	0.998423	4.89189e-011
Zoniopoda_hempeli	1.31754e-007	7.94684e-006	0.00517684	0
N27	2.55485e-007	7.80874e-006	0.00466008	1.26487e-015
Zoniopoda_omnicolor	1.23224e-008	3.26637e-007	0.000516767	0
Zoniopoda_tarsata	1.23224e-008	3.26637e-007	0.000516767	0
N28	2.95392e-006	2.68512e-006	0.0838742	2.00837e-014
N29	0.00090154	0.000903189	0.555684	3.54072e-013
N30	0.00106564	0.00112643	0.253967	1.09748e-009
Dichromorpha_sp	0.00123929	0.00183612	0.113608	2.14064e-010
N31	0.000493828	0.000599595	0.0908657	3.70809e-011
N32	0.000425663	0.000459226	0.0227389	1.48135e-015
Schistocerca_cancellata	6.52794e-010	1.81652e-008	3.45591e-006	0
Schistocerca_pallens	6.52794e-010	1.81652e-008	3.45591e-006	0
Schistocerca_flavofasciata	0.000428257	0.000461805	0.0227423	0
N33	7.5056e-006	7.8875e-006	0.0890021	1.04266e-012
N34	0.00036481	0.000380479	0.213211	2.13996e-013
N35	0.000289861	0.000313033	0.043378	1.09283e-013
N36	0.000424254	0.000461237	0.020137	1.08339e-012
Diponthus_sp	0.000119604	0.000129592	0.00184634	0
Prionolopha_serrata	0.000119604	0.000129592	0.00184634	0
Xyleus_modestus	0.000819028	0.000871206	0.0219833	0
N37	0.000237486	0.000250501	0.0581038	6.94903e-015
N38	5.55845e-008	1.21837e-006	0.00130233	8.21554e-017
N39	8.21748e-007	4.90778e-006	0.00495574	6.31458e-018
N40	0.000119126	0.00278372	0.000907934	7.9283e-018
Marellia_remipes	0.00290992	0.000246878	9.14222e-005	0
Xyleus_laevipes	3.29228e-007	0.997337	9.14226e-005	0
N41	5.1799e-006	8.38492e-006	0.000593775	1.02819e-016
Ommexecha_sp	0.000408361	0.000407073	0.000405581	0
N42	0.00025644	0.00409669	0.000404586	6.27543e-018
Tropidostethus_sp	3.16809e-011	0.996156	9.95191e-007	0
Xyleus_insignis	0.00384337	1.70539e-007	9.95191e-007	0
Paulinia_acuminata	0.00082015	0.000826339	0.00595509	5.11819e-017
Ommatolampis_sp	0.000829568	0.000843546	0.00725743	3.75844e-016
Hyalopteryx_rufipennis	0.00229093	0.00833618	0.278572	4.04153e-011
Leptysma_sp	0.00330447	0.021012	0.923578	8.24849e-009
N43	0.00718041	0.0292212	1.05127	6.18664e-007
Trimerotropis_ochraceipennis	0.000118697	0.000221159	0.017781	0
Trimerotropis_pallidipennis	0.000118697	0.000221159	0.017781	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00262741	1.0015	1.06738	9.07244e-014
Leiotettix_viridis	0.0049967	0.00433002	1.06738	9.07244e-014
Pseudoscopas_nigrigena	0.00478708	0.00397456	1.06738	4.96531e-014
Chlorus_bolivianus	0.00239594	1.65604	1.06738	3.46055e-017
Dichromatos_lilloanus	0.00251359	0.973025	1.03904	6.62041e-019
Ronderosia_sp	0.00251359	0.973025	1.03904	6.62041e-019
Dichroplus_conspersus	0.00398774	0.00495156	1.06863	4.61941e-019
Dichroplus_democraticus	0.00293448	0.00990394	1.06325	4.61941e-019
Dichroplus_silveiraguidoi	0.00293959	2.00303	0.0686354	4.61941e-019
Dichroplus_elongatus	0.00272428	0.00286281	1.06861	3.38579e-011
Dichroplus_paraelongatus	0.0038224	0.00396093	1.06861	3.38579e-011
Dichroplus_patruelis	0.00271924	1.0028	1.06855	3.38579e-011
Dichroplus_exilis	0.00279051	0.00292916	1.06861	3.38562e-011
Dichroplus_fuscus	0.00279051	0.00292916	1.06861	3.38562e-011
Dichroplus_schulzi	0.00279051	0.00292916	1.06861	3.38562e-011
Dichroplus_pratensis	0.00229182	1.04689	1.06863	4.83828e-019
Leiotettix_pulcher	0.00335727	1.00348	1.06863	6.5758e-015
Scotussa_lemniscata	0.00714641	0.00726654	1.06863	6.5758e-015
Scotussa_impudica	0.00370981	0.00386383	1.06863	4.0763e-015
Scotussa_daguerrei	0.00294201	1.00306	1.06863	3.46477e-016
Leiotettix_flavipes	0.00229138	1.0024	1.06863	6.85864e-014
Dichroplus_maculipennis	0.00736194	0.0106354	1.06863	1.42794e-005
Dichroplus_vittatus	0.00251272	1.07971	1.06863	1.96652e-014
Zoniopoda_hempeli	0.00338874	0.00980457	1.06863	4.89189e-011
Zoniopoda_omnicolor	0.00338888	0.00980476	1.06863	4.89202e-011
Zoniopoda_tarsata	0.00338888	0.00980476	1.06863	4.89202e-011
Dichromorpha_sp	0.00421289	0.00498372	1.06863	1.31192e-009
Schistocerca_cancellata	0.00389309	0.00420644	1.06863	1.13494e-009
Schistocerca_pallens	0.00389309	0.00420644	1.06863	1.13494e-009
Schistocerca_flavofasciata	0.00389569	0.004209	1.06863	1.13494e-009
Diponthus_sp	0.003114	0.0033134	1.06863	2.82348e-012
Prionolopha_serrata	0.003114	0.0033134	1.06863	2.82348e-012
Xyleus_modestus	0.00338917	0.00359378	1.06863	1.74009e-012
Marellia_remipes	0.00554769	0.00569677	1.06863	1.63786e-012
Xyleus_laevipes	0.0026381	1.00279	1.06863	1.63786e-012
Ommexecha_sp	0.00293218	0.00308162	1.06863	1.63795e-012
Tropidostethus_sp	0.00278026	1.00293	1.06863	1.63796e-012
Xyleus_insignis	0.00662364	0.00677141	1.06863	1.63796e-012
Paulinia_acuminata	0.00333797	0.0034876	1.06863	1.63789e-012
Ommatolampis_sp	0.00334734	0.00350359	1.06863	1.63814e-012
Hyalopteryx_rufipennis	0.0042064	0.0103652	1.06863	4.18322e-011
Leptysma_sp	0.00431089	0.02213	1.06895	8.24851e-009
Trimerotropis_ochraceipennis	0.0072991	0.0294424	1.06905	6.18664e-007
Trimerotropis_pallidipennis	0.0072991	0.0294424	1.06905	6.18664e-007
