#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.690975
Total number of gain events: 0.768534
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998761
Leiotettix_pulcher: 0.997738
Scotussa_daguerrei: 0.998499
Dichromatos_lilloanus: 0.987927
N12: 0.554146
Chlorus_bolivianus: 1.24065
Dichroplus_vittatus: 1.26483
Dichroplus_pratensis: 1.06029
Dichroplus_silveiraguidoi: 1.99509
Dichroplus_patruelis: 0.997448
Xyleus_laevipes: 0.99738
Tropidostethus_sp: 0.9987
Total number of loss events: 13.961
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N4: 0.763741
Dichroplus_conspersus: 0.95888
Dichroplus_pratensis: 0.958766
Dichroplus_democraticus: 1.00001
Diponthus_sp: 1.00066
N22: 0.92815
N24: 0.92743
N32: 0.548009
N43: 1.08663
Total number of duplication events: 10.6757
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.74023e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0024592	0.00302193	0.0976471	3.63732e-018
N3	0.00138805	0.00142903	0.00778988	2.01345e-019
N4	3.16464e-008	0.0157497	0.763741	2.7966e-018
N5	0.000332156	0.000355498	0.0948338	3.18337e-012
N6	0.0157564	0.000768016	0.133904	9.977e-011
N7	0.000240007	2.9941e-005	0.00646573	3.47799e-014
N8	2.08263e-006	0.00114386	0.000745758	5.49535e-016
Atrachelacris_sp	6.33175e-007	0.998761	0.000321869	0
Pseudoscopas_nigrigena	0.00136818	0.00038089	0.000321869	0
Leiotettix_viridis	0.00036795	0.00080204	0.00106763	0
N9	2.97208e-005	0.00145676	0.00730083	7.78011e-015
N10	0.00108187	5.97361e-006	0.000191638	1.10371e-015
N11	6.79194e-006	0.00184309	3.95444e-005	7.4317e-017
Leiotettix_pulcher	1.04499e-010	0.997738	1.35054e-006	0
Scotussa_lemniscata	0.00226193	3.20121e-007	1.35054e-006	0
Scotussa_impudica	0.000426392	0.000237433	4.0895e-005	0
Scotussa_daguerrei	7.50718e-007	0.998499	0.000232533	0
Dichromatos_lilloanus	0.00124555	0.987927	0.141437	9.41158e-012
N12	3.54574e-007	0.554146	0.0376221	3.0839e-018
Chlorus_bolivianus	1.88002e-006	1.24065	0.19865	0
N13	0.00119051	0.118479	0.138795	3.49391e-012
N14	0.0007532	0.0190431	0.0249595	1.54511e-012
N15	0.0103594	0.00940366	0.0045759	4.833e-013
Dichroplus_maculipennis	0.690975	0.0148085	0.0303192	0
Dichroplus_vittatus	1.45883e-006	1.26483	0.0303192	0
Leiotettix_flavipes	0.000745242	0.294178	0.0348951	0
Ronderosia_sp	0.00105345	0.312787	0.0598546	0
N16	1.67372e-007	3.01315e-007	1.07208e-005	6.14456e-028
N17	1.46646e-006	1.05676e-005	1.54348e-006	2.88329e-027
N18	4.58509e-006	0.00244118	0.0412352	2.33925e-015
Dichroplus_conspersus	0.00381197	0.0023037	0.95888	5.18646e-009
Dichroplus_pratensis	3.02209e-006	1.06029	0.958766	0
N19	0.000541519	0.000582846	8.04833e-007	1.62488e-021
Dichroplus_democraticus	0.0010034	0.000978416	1.00001	0
N20	2.08621e-006	0.00485119	5.82313e-007	1.13852e-024
Dichroplus_silveiraguidoi	4.73222e-006	1.99509	3.43402e-006	0
Diponthus_sp	0.00430215	0.00134577	1.00066	0
N21	1.05585e-006	1.52754e-007	0.0525756	1.21875e-016
N22	0.00155724	0.00172872	0.92815	1.8908e-013
Dichroplus_elongatus	2.1019e-005	9.9025e-006	0.0192772	0
N23	4.75642e-007	0.00250054	0.0192364	2.66996e-016
Dichroplus_paraelongatus	0.0025112	4.41499e-008	4.08366e-005	0
Dichroplus_patruelis	1.19087e-011	0.997448	0	0
N24	0.0015609	0.00171189	0.92743	1.96244e-013
N25	5.01394e-007	1.02573e-005	0.0199308	4.63038e-016
Dichroplus_exilis	5.54042e-009	7.3701e-008	6.63458e-005	0
Dichroplus_fuscus	5.54042e-009	7.3701e-008	6.63458e-005	0
Dichroplus_schulzi	4.63216e-007	1.02331e-005	0.0199971	0
N26	1.02494e-005	4.20772e-005	0.449948	1.46373e-011
N27	0.000854075	0.00140462	0.383361	1.21797e-011
N28	0.00124655	0.00380641	0.173167	8.50142e-011
N29	4.23969e-007	4.5245e-006	0.000974503	6.62437e-018
Dichromorpha_sp	3.46051e-008	7.00972e-007	0.000349572	0
Hyalopteryx_rufipennis	3.46051e-008	7.00972e-007	0.000349572	0
Leptysma_sp	1.73247e-007	4.84125e-006	0.00132408	0
N30	0.000678838	0.00175552	0.153147	1.4207e-011
N31	0.000142363	0.000696196	0.0213205	2.90445e-015
Schistocerca_cancellata	8.61325e-009	1.52505e-007	2.29841e-005	0
Schistocerca_pallens	8.61325e-009	1.52505e-007	2.29841e-005	0
Schistocerca_flavofasciata	0.000272838	0.000837137	0.0213435	0
N32	0.000846777	0.00183007	0.548009	1.52926e-011
N33	3.78049e-007	2.61456e-006	0.00838175	1.56096e-017
N34	2.41508e-006	1.10305e-006	0.000679023	2.56972e-018
Marellia_remipes	0.0011165	0.00366664	0.000781275	4.46609e-016
N35	3.2411e-006	2.34197e-005	0.000547388	1.08797e-016
Paulinia_acuminata	0.00060231	0.00175453	0.000233887	0
N36	3.06493e-006	0.00261364	0.000189622	4.46291e-016
Xyleus_insignis	0.00288581	0.000783854	4.42652e-005	0
Xyleus_laevipes	1.37648e-006	0.99738	4.42652e-005	0
N37	3.37776e-006	0.00130821	0.00119471	8.65243e-019
N38	0.00130256	0.000246828	0.000216472	6.3705e-014
Ommexecha_sp	0.000133868	0.000385298	4.91183e-005	0
Prionolopha_serrata	0.000133868	0.000385298	4.91183e-005	0
Tropidostethus_sp	9.66048e-007	0.9987	0.000265591	0
N39	1.59105e-006	1.15698e-006	0.0016354	5.39389e-017
N40	1.34729e-005	1.27149e-005	0.00358142	2.71172e-016
Ommatolampis_sp	0.00110172	0.00331233	0.00462522	3.04584e-013
N41	0.000596745	0.00209569	0.00462059	5.22514e-016
N42	3.01892e-008	3.23527e-007	3.49421e-006	1.07696e-021
Zoniopoda_hempeli	1.89444e-009	4.10548e-008	1.13021e-006	0
Zoniopoda_omnicolor	1.89444e-009	4.10548e-008	1.13021e-006	0
Zoniopoda_tarsata	1.50721e-008	3.47564e-007	4.62443e-006	0
Xyleus_modestus	0.00121193	0.00429694	0.00820664	2.40643e-016
N43	0.00798487	0.023046	1.08663	4.68577e-007
Trimerotropis_ochraceipennis	2.8744e-006	0.000410391	0.0189577	0
Trimerotropis_pallidipennis	2.8744e-006	0.000410391	0.0189577	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0201786	1.02126	1.10545	1.02989e-010
Pseudoscopas_nigrigena	0.0215461	0.0228789	1.10545	1.02989e-010
Leiotettix_viridis	0.0205438	0.0221562	1.10545	1.02988e-010
Leiotettix_pulcher	0.0210542	1.02237	1.10545	1.02962e-010
Scotussa_lemniscata	0.0233161	0.0246303	1.10545	1.02962e-010
Scotussa_impudica	0.0214738	0.0230244	1.10545	1.02962e-010
Scotussa_daguerrei	0.0199663	1.02128	1.10545	1.02961e-010
Dichromatos_lilloanus	0.005425	1.00848	1.10545	1.2595e-011
Chlorus_bolivianus	0.00384952	1.815	1.10545	9.71917e-018
Dichroplus_maculipennis	0.707126	0.736082	1.10545	5.52233e-012
Dichroplus_vittatus	0.0161522	1.9861	1.10545	5.52233e-012
Leiotettix_flavipes	0.00653659	1.00605	1.10545	5.03903e-012
Ronderosia_sp	0.0060916	1.00561	1.10545	3.49392e-012
Dichroplus_conspersus	0.00766544	0.00920672	1.10556	5.18647e-009
Dichroplus_pratensis	0.0038565	1.0672	1.10545	2.34309e-015
Dichroplus_democraticus	0.00539381	0.00602309	1.10546	3.84029e-018
Dichroplus_silveiraguidoi	0.00439723	2.00498	0.105454	3.8403e-018
Diponthus_sp	0.00869465	0.0112416	1.10611	3.8403e-018
Dichroplus_elongatus	0.00542673	0.00619003	1.10545	1.89205e-013
Dichroplus_paraelongatus	0.00791739	0.00868072	1.10545	1.89472e-013
Dichroplus_patruelis	0.00540619	1.00613	1.10541	1.89472e-013
Dichroplus_exilis	0.00540988	0.00617364	1.10545	1.96833e-013
Dichroplus_fuscus	0.00540988	0.00617364	1.10545	1.96833e-013
Dichroplus_schulzi	0.00540984	0.00617354	1.10545	1.96369e-013
Dichromorpha_sp	0.00457053	0.00828027	1.10545	1.11831e-010
Hyalopteryx_rufipennis	0.00457053	0.00828027	1.10545	1.11831e-010
Leptysma_sp	0.00457025	0.00827988	1.10545	1.11831e-010
Schistocerca_cancellata	0.00414474	0.00692049	1.10545	4.10269e-011
Schistocerca_pallens	0.00414474	0.00692049	1.10545	4.10269e-011
Schistocerca_flavofasciata	0.0042752	0.00706128	1.10545	4.1024e-011
Marellia_remipes	0.00443553	0.00856443	1.10545	2.99304e-011
Paulinia_acuminata	0.00392458	0.00667574	1.10545	2.99301e-011
Xyleus_insignis	0.00621114	0.00831871	1.10545	2.99305e-011
Xyleus_laevipes	0.00332671	1.00491	1.10545	2.99305e-011
Ommexecha_sp	0.00475642	0.00683703	1.10545	2.99937e-011
Prionolopha_serrata	0.00475642	0.00683703	1.10545	2.99937e-011
Tropidostethus_sp	0.00332095	1.0049	1.10545	2.99299e-011
Ommatolampis_sp	0.00443302	0.00822028	1.10545	3.02348e-011
Zoniopoda_hempeli	0.00392807	0.007004	1.10545	2.99308e-011
Zoniopoda_omnicolor	0.00392807	0.007004	1.10545	2.99308e-011
Zoniopoda_tarsata	0.00392806	0.00700398	1.10545	2.99308e-011
Xyleus_modestus	0.00452975	0.00919218	1.10545	2.99302e-011
Trimerotropis_ochraceipennis	0.00798774	0.0234564	1.10559	4.68577e-007
Trimerotropis_pallidipennis	0.00798774	0.0234564	1.10559	4.68577e-007
