#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0859186
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.98751
Dichromatos_lilloanus: 0.50156
Ronderosia_sp: 0.50156
Leiotettix_pulcher: 0.996463
Scotussa_daguerrei: 0.998522
Dichroplus_pratensis: 1.07575
Dichroplus_silveiraguidoi: 1.99178
Dichroplus_patruelis: 0.998114
Dichroplus_vittatus: 1.31547
Leiotettix_flavipes: 0.996837
Chlorus_bolivianus: 1.05495
Tropidostethus_sp: 0.997022
Xyleus_laevipes: 1.00081
Total number of loss events: 14.0504
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.520018
Dichroplus_conspersus: 0.945396
Dichroplus_pratensis: 0.944945
Dichroplus_democraticus: 1.00231
N19: 0.628294
N21: 0.575282
Dichroplus_maculipennis: 0.702899
Dichroplus_vittatus: 0.702447
Leiotettix_flavipes: 0.83112
Chlorus_bolivianus: 1.00215
N26: 0.712715
N40: 0.597227
N43: 1.06794
Total number of duplication events: 13.5531
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.19067e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000613497	0.000839555	0.0746482	3.43332e-020
N3	0.00114687	0.00497261	0.0236608	4.49732e-019
N4	0.00372937	0.000509322	0.00231041	1.24741e-017
N5	3.58501e-006	2.20263e-007	2.13108e-005	1.5203e-025
N6	4.28075e-008	7.32588e-005	0.520018	7.67126e-018
N7	5.3973e-005	0.0121132	0.363832	1.77857e-016
N8	0.00047179	0.000858475	0.0537502	5.97196e-013
Atrachelacris_sp	2.47322e-005	0.98751	0.0624034	3.04374e-012
N9	0.0125513	0.00104999	0.050211	2.49442e-010
Leiotettix_viridis	0.000200638	0.00106861	0.0121924	0
Pseudoscopas_nigrigena	0.000200638	0.00106861	0.0121924	0
N10	5.22529e-005	0.487332	0.0698552	5.60962e-015
Dichromatos_lilloanus	0.000984369	0.50156	0.0462954	7.2942e-013
Ronderosia_sp	0.000984369	0.50156	0.0462954	7.2942e-013
N11	0.000102961	0.00238983	0.434828	8.63933e-013
N12	0.00128768	0.000134206	0.0314862	3.11587e-012
N13	0.000131293	0.00406661	0.0131094	1.06406e-013
Leiotettix_pulcher	3.55037e-009	0.996463	0.000562081	0
Scotussa_lemniscata	0.00365421	0.000117029	0.000562081	0
Scotussa_impudica	0.000466325	0.000992145	0.0136715	0
Scotussa_daguerrei	1.79856e-006	0.998522	0.0451578	0
N14	0.000118809	0.000118994	3.80675e-006	2.41375e-024
N15	1.2338e-006	0.000217487	1.23264e-007	2.6068e-026
N16	0.00011413	0.00238077	0.0550556	2.2959e-013
Dichroplus_conspersus	0.00236101	0.00240184	0.945396	6.32285e-009
Dichroplus_pratensis	0.0032252	1.07575	0.944945	0
N17	0.000268024	0.00824153	2.57658e-007	1.64852e-022
Dichroplus_democraticus	0.00411274	0.00383181	1.00231	0
Dichroplus_silveiraguidoi	1.12221e-005	1.99178	8.96501e-006	0
N18	7.19262e-005	7.08406e-005	0.352704	2.14456e-012
N19	0.000601424	0.00136252	0.628294	4.52271e-012
Dichroplus_elongatus	0.000125058	0.000120056	0.0190021	0
N20	0.000109667	0.00199033	0.0189452	9.82296e-017
Dichroplus_paraelongatus	0.0018857	4.04753e-008	5.68658e-005	0
Dichroplus_patruelis	8.14432e-012	0.998114	5.68658e-005	0
N21	8.65939e-005	0.000957351	0.575282	1.30315e-011
N22	0.000116361	0.00082451	0.0719313	2.58795e-014
Dichroplus_exilis	3.22267e-009	7.06063e-008	8.22668e-005	0
Dichroplus_fuscus	3.22267e-009	7.06063e-008	8.22668e-005	0
Dichroplus_schulzi	0.000118361	0.000838851	0.0720136	0
N23	9.95983e-005	0.0032955	0.168916	2.57136e-013
N24	0.000318986	0.00766781	0.128663	1.64744e-010
Dichroplus_maculipennis	0.00894151	0.00227699	0.702899	0
Dichroplus_vittatus	9.83726e-007	1.31547	0.702447	0
Leiotettix_flavipes	0.00495406	0.996837	0.83112	1.10139e-011
Chlorus_bolivianus	3.58951e-005	1.05495	1.00215	0
N25	0.000116418	0.000118133	0.216211	2.19119e-009
N26	0.00070761	0.0016808	0.712715	2.03131e-010
N27	0.000125183	0.000122063	0.0321599	1.51036e-013
N28	0.00129274	0.00329624	0.0600647	1.93508e-011
Dichromorpha_sp	0.00013065	0.000955772	0.00465405	0
N29	0.000122307	0.000893664	0.00456302	3.83158e-014
Hyalopteryx_rufipennis	0.000106838	0.000107871	9.10279e-005	0
Leptysma_sp	0.000106838	0.000107871	9.10279e-005	0
N30	0.000594477	0.00123328	0.0482201	7.44642e-012
N31	0.000586775	0.00127759	0.0164897	1.29992e-014
Schistocerca_cancellata	5.05375e-009	1.64487e-007	8.94972e-006	0
Schistocerca_pallens	5.05375e-009	1.64487e-007	8.94972e-006	0
Schistocerca_flavofasciata	0.000744528	0.00144439	0.0164986	0
N32	0.000114993	0.000115889	0.0312767	1.61623e-013
N33	0.00012701	0.000828966	0.0472294	4.2442e-012
N34	0.00013831	0.000937054	0.0176907	8.6257e-014
N35	7.24072e-007	5.99923e-007	8.9431e-005	6.70128e-018
Marellia_remipes	0.0001379	0.000966948	0.000592244	0
Paulinia_acuminata	0.0001379	0.000966948	0.000592244	0
N36	0.000114263	0.00012056	0.000528555	5.92459e-018
Ommexecha_sp	0.000132082	0.000877822	0.000153119	0
N37	0.000119298	0.00356967	0.00015246	4.73432e-017
Prionolopha_serrata	0.00308197	0.000104005	6.5886e-007	0
Tropidostethus_sp	2.98893e-011	0.997022	6.5886e-007	0
N38	0.000141461	0.0026742	0.0172569	3.80055e-013
N39	0.00182782	0.00012025	0.000839367	1.4394e-013
Ommatolampis_sp	0.000135689	0.000870873	0.000276152	0
Xyleus_insignis	0.000135689	0.000870873	0.000276152	0
Xyleus_laevipes	0.00253109	1.00081	0.00111552	0
Xyleus_modestus	0.00305302	0.00894858	0.0656018	2.32144e-013
N40	0.00236762	0.00392756	0.597227	4.37615e-008
