#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.255114
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.907848
Dichromatos_lilloanus: 0.901942
N11: 0.536763
Chlorus_bolivianus: 1.27601
Leiotettix_pulcher: 0.993315
Scotussa_daguerrei: 1.00063
Dichroplus_pratensis: 1.11784
Dichroplus_silveiraguidoi: 1.99105
Dichroplus_patruelis: 0.997075
Dichroplus_vittatus: 1.39938
Leiotettix_flavipes: 0.991819
Tropidostethus_sp: 0.998513
Xyleus_laevipes: 0.989317
Total number of loss events: 15.0788
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.716907
N6: 0.583778
Dichroplus_conspersus: 0.907881
Dichroplus_pratensis: 0.907614
Dichroplus_democraticus: 1.00224
N19: 0.500694
Dichroplus_maculipennis: 0.595965
Dichroplus_vittatus: 0.595964
Leiotettix_flavipes: 0.724364
N26: 1.00357
N29: 0.501677
N42: 0.639482
N43: 1.73205
Total number of duplication events: 16.9866
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000499616
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0106718	0.0380232	0.716907	3.19524e-013
N3	0.00109607	0.00116161	0.0226862	9.66848e-017
N4	0.000136996	0.000193062	0.00403592	1.19228e-018
N5	2.11674e-006	6.91606e-006	0.000487668	1.35235e-022
N6	2.72929e-007	0.000779175	0.583778	4.4306e-016
N7	6.71658e-007	0.0987897	0.31221	5.20924e-016
N8	0.000593942	0.00176151	0.0584334	2.24762e-012
N9	0.00604301	0.000378629	0.0234176	5.63129e-012
Atrachelacris_sp	0.000507913	0.907848	0.0221753	2.68679e-011
N10	0.0917307	0.000619376	0.0109145	4.79632e-010
Leiotettix_viridis	0.00223643	0.00303193	0.0112607	6.36254e-009
Pseudoscopas_nigrigena	0.00223643	0.00303193	0.0112607	6.36254e-009
Dichromatos_lilloanus	0.00111389	0.901942	0.045593	1.17229e-012
N11	4.05964e-006	0.536763	0.0126928	1.71364e-015
Chlorus_bolivianus	5.736e-006	1.27601	0.0913351	0
Ronderosia_sp	0.00604142	0.366555	0.0913351	1.22742e-009
N12	0.000407878	0.00215754	0.35262	1.13043e-012
N13	0.00188969	6.79332e-005	0.0391335	4.23368e-011
N14	4.50224e-005	0.00709136	0.0243535	3.29743e-011
Leiotettix_pulcher	8.29451e-010	0.993315	0.000131366	0
Scotussa_lemniscata	0.00668703	1.60419e-006	0.000131366	0
Scotussa_impudica	0.000510747	0.00128189	0.0244849	3.33283e-011
Scotussa_daguerrei	0.000874859	1.00063	0.0636184	9.75371e-012
N15	8.04079e-007	1.2579e-006	1.10246e-005	2.13299e-024
N16	3.48425e-006	0.00029802	1.10631e-006	4.81871e-024
N17	0.000133525	0.00492442	0.0923924	4.97009e-012
Dichroplus_conspersus	0.00626772	0.00426519	0.907881	5.73557e-008
Dichroplus_pratensis	1.02129e-005	1.11784	0.907614	0
N18	0.000145495	0.0087447	9.60834e-007	2.93028e-021
Dichroplus_democraticus	0.00692994	0.00555041	1.00224	1.34085e-010
Dichroplus_silveiraguidoi	1.32731e-005	1.99105	2.13958e-005	0
N19	7.20764e-005	6.08283e-005	0.500694	2.7622e-012
N20	0.000932518	0.00196035	0.478297	9.60763e-011
Dichroplus_elongatus	0.00014521	0.000145661	0.0210152	0
N21	9.14192e-007	0.00282846	0.0209174	2.6035e-015
Dichroplus_paraelongatus	0.00282716	2.08384e-007	9.78658e-005	0
Dichroplus_patruelis	5.59915e-011	0.997075	0	0
N22	0.000322027	0.000472372	0.381262	2.13229e-011
N23	6.41541e-005	0.000863264	0.117776	2.18502e-011
Dichroplus_exilis	2.48798e-008	7.10498e-007	0.000273829	0
Dichroplus_fuscus	2.48798e-008	7.10498e-007	0.000273829	0
Dichroplus_schulzi	0.000118538	0.00119419	0.11805	2.1856e-011
N24	0.000202963	0.0091595	0.276142	1.68276e-012
N25	0.000710107	0.0113524	0.128401	1.07232e-010
Dichroplus_maculipennis	0.0166569	0.00849928	0.595965	3.73731e-007
Dichroplus_vittatus	1.07433e-005	1.39938	0.595964	0
Leiotettix_flavipes	0.0139029	0.991819	0.724364	2.36816e-010
N26	0.00623454	0.0114889	1.00357	3.40307e-010
Zoniopoda_hempeli	5.23536e-008	3.53581e-006	0.000977663	0
N27	1.12605e-007	3.27346e-006	0.000748082	5.13564e-018
Zoniopoda_omnicolor	5.77416e-009	3.28331e-007	0.000229578	0
Zoniopoda_tarsata	5.77416e-009	3.28331e-007	0.000229578	0
N28	2.27626e-006	2.30362e-005	0.0239443	2.464e-012
N29	0.00172471	0.0029991	0.501677	5.14672e-008
N30	0.002727	0.0139312	0.496072	4.37639e-008
N31	1.13115e-006	1.71259e-005	0.00197179	2.7709e-014
Dichromorpha_sp	0.000124005	0.000133133	0.00358312	0
Hyalopteryx_rufipennis	0.000124005	0.000133133	0.00358312	0
Leptysma_sp	0.000126516	0.000151688	0.00555497	0
N32	0.00144378	0.00430101	0.349998	3.54372e-008
N33	0.00106445	0.00490009	0.151622	1.60154e-009
Schistocerca_cancellata	6.52096e-009	2.97252e-007	3.25841e-005	0
Schistocerca_pallens	6.52096e-009	2.97252e-007	3.25841e-005	0
Schistocerca_flavofasciata	0.00107205	0.00525465	0.151655	1.60057e-009
N34	0.000301178	0.000331732	0.322508	2.90611e-012
N35	1.972e-005	2.8093e-005	0.157082	2.85349e-011
N36	0.000191658	0.000197624	0.190613	1.36898e-011
N37	0.0014894	0.00709035	0.266528	4.13856e-009
Diponthus_sp	0.000124457	0.00218144	0.0664683	6.84262e-010
Xyleus_modestus	0.000124457	0.00218144	0.0664683	6.84262e-010
N38	0.000202022	0.000975291	0.193272	1.08203e-010
N39	0.000159386	0.00456462	0.0815972	5.11978e-011
Ommexecha_sp	0.00456127	0.00735958	0.0581133	6.7294e-011
Tropidostethus_sp	0.00100977	0.998513	0.0581131	7.85096e-011
Prionolopha_serrata	0.00189405	0.0127191	0.13971	2.4088e-009
N40	0.00134964	0.00428413	0.357184	3.24371e-009
N41	7.22964e-005	0.000236115	0.0551763	2.61877e-010
Marellia_remipes	0.00101555	0.00575957	0.111268	6.46128e-011
Paulinia_acuminata	0.00101555	0.00575957	0.111268	6.46128e-011
Ommatolampis_sp	0.00152709	0.011525	0.166445	1.19869e-009
N42	0.00439899	0.0330585	0.639482	8.85984e-009
Xyleus_insignis	0.0130163	0.0045717	0.0412348	1.77647e-009
Xyleus_laevipes	0.000462604	0.989317	0.0412348	0
N43	0.02497	0.243009	1.73205	0.000499012
Trimerotropis_ochraceipennis	0.000128056	0.0014233	0.0212989	0
Trimerotropis_pallidipennis	0.000128056	0.0014233	0.0212989	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0190528	1.04894	1.74413	3.50674e-011
Leiotettix_viridis	0.112512	0.144745	1.74413	6.85037e-009
Pseudoscopas_nigrigena	0.112512	0.144745	1.74413	6.85037e-009
Dichromatos_lilloanus	0.0136157	1.04266	1.74413	3.7405e-012
Chlorus_bolivianus	0.0119177	1.95173	1.74413	3.223e-013
Ronderosia_sp	0.0179534	1.04227	1.74413	1.22774e-009
Leiotettix_pulcher	0.0142498	1.0428	1.74413	7.67616e-011
Scotussa_lemniscata	0.0209369	0.0494824	1.74413	7.67616e-011
Scotussa_impudica	0.0147155	0.0436713	1.74413	7.71156e-011
Scotussa_daguerrei	0.01319	1.04296	1.74413	1.12042e-011
Dichroplus_conspersus	0.0183125	0.0488737	1.7444	5.7361e-008
Dichroplus_pratensis	0.012055	1.16245	1.74414	5.28971e-012
Dichroplus_democraticus	0.0189867	0.0539792	1.74637	1.34404e-010
Dichroplus_silveiraguidoi	0.01207	2.03947	0.744151	3.19622e-013
Dichroplus_elongatus	0.0130576	0.0415529	1.74413	9.91582e-011
