#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.474434
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.819377
Leiotettix_pulcher: 0.821732
Scotussa_daguerrei: 0.824094
N13: 0.525764
Chlorus_bolivianus: 1.04726
Dichroplus_vittatus: 1.71753
Leiotettix_flavipes: 0.943091
Dichroplus_pratensis: 1.07842
Dichroplus_silveiraguidoi: 1.98471
Dichroplus_patruelis: 0.996154
Tropidostethus_sp: 0.997704
Xyleus_laevipes: 0.993537
Total number of loss events: 13.7633
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.620468
Dichroplus_conspersus: 0.93405
Dichroplus_pratensis: 0.93405
Dichroplus_democraticus: 1.00374
N22: 0.856592
N24: 0.918214
N26: 0.551219
N43: 1.05232
Total number of duplication events: 10.274
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000203602
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000636752	0.00081159	0.0602111	9.7177e-019
N3	0.00175982	0.0017926	0.0109779	1.01233e-017
N4	6.10093e-008	4.23712e-007	3.20111e-005	6.79791e-028
N5	9.10909e-008	2.69519e-005	0.620468	2.6815e-020
N6	6.33204e-010	9.99714e-005	0.0105694	1.59643e-018
N7	1.31935e-006	0.00406541	0.330916	7.14591e-018
N8	1.24096e-007	0.167007	0.0319159	5.32418e-019
N9	0.00283267	0.00769929	0.0056096	1.52632e-011
N10	0.0210673	0.000262263	0.000459987	3.85374e-013
N11	6.75607e-005	0.0254967	5.77348e-005	3.10511e-014
Atrachelacris_sp	4.55879e-005	0.819377	1.27859e-005	0
N12	0.00494121	0.00254083	1.26368e-005	3.67485e-013
Leiotettix_pulcher	1.12865e-008	0.821732	1.4907e-007	0
Scotussa_lemniscata	0.178267	5.17015e-007	1.4907e-007	0
Scotussa_impudica	0.147964	0.0153519	7.05207e-005	0
Scotussa_daguerrei	0.0001629	0.824094	0.000530507	0
N13	2.66234e-007	0.525764	0.00143233	7.5087e-021
N14	5.31666e-006	0.253873	0.000940662	1.07462e-016
Chlorus_bolivianus	0.00190982	1.04726	0.00249741	0
Ronderosia_sp	0.00268109	0.0503521	0.00249741	0
Dichromatos_lilloanus	0.000799842	0.302861	0.00343811	0
N15	0.00462382	0.00290864	0.0354755	1.59034e-010
Diponthus_sp	8.65762e-006	3.81817e-005	0.00258049	0
Leiotettix_viridis	8.65762e-006	3.81817e-005	0.00258049	0
N16	0.00045119	0.0569174	0.128201	3.35669e-015
N17	0.00063027	0.00512708	0.0164792	3.54019e-011
Dichroplus_maculipennis	0.0561013	0.0113687	0.224291	6.8367e-008
Dichroplus_vittatus	6.9351e-007	1.71753	0.224291	0
Leiotettix_flavipes	0.00507552	0.943091	0.24077	0
Pseudoscopas_nigrigena	0.00144749	0.00449596	0.379542	5.22303e-011
N18	2.7592e-006	0.000320957	2.04139e-006	3.44906e-029
N19	0.000144593	0.00375107	0.065959	7.58719e-013
Dichroplus_conspersus	0.00378798	0.00162779	0.93405	0.000202686
Dichroplus_pratensis	1.59174e-006	1.07842	0.93405	0
N20	0.000587608	0.0154765	2.67852e-006	6.88409e-022
Dichroplus_democraticus	0.00840625	0.00477052	1.00374	0
Dichroplus_silveiraguidoi	3.40338e-005	1.98471	3.4429e-005	0
N21	1.17912e-006	3.28022e-007	0.0694829	4.82743e-017
N22	0.00015286	0.00102024	0.856592	1.35764e-010
Dichroplus_elongatus	0.000147633	0.000387918	0.0739675	0
N23	0.000124807	0.00395359	0.0732439	2.6082e-014
Dichroplus_paraelongatus	0.0038456	5.94526e-007	0.0007236	0
Dichroplus_patruelis	5.48397e-010	0.996154	0.000723598	0
N24	0.000457771	0.00269828	0.918214	2.87059e-011
