#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.828054
Total number of gain events: 0.883765
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999996
Leiotettix_pulcher: 0.993264
Scotussa_daguerrei: 0.997476
N11: 0.851785
Chlorus_bolivianus: 1.03204
Dichroplus_vittatus: 1.09826
Dichromatos_lilloanus: 0.99359
Tropidostethus_sp: 0.99864
Dichroplus_silveiraguidoi: 1.99964
Dichroplus_pratensis: 1.02854
Dichroplus_patruelis: 0.996741
Xyleus_laevipes: 0.996441
Total number of loss events: 13.3389
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Atrachelacris_sp: 0.956655
N6: 0.805322
N11: 0.703953
Leiotettix_viridis: 0.645444
Pseudoscopas_nigrigena: 0.645444
N18: 0.905967
Paulinia_acuminata: 0.906087
Dichroplus_conspersus: 1
N24: 0.546616
Dichroplus_pratensis: 1
N26: 0.75999
Ommatolampis_sp: 1
N31: 0.917943
N36: 0.863512
N43: 1.01301
Total number of duplication events: 16.1402
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.60588e-010
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000280064	0.000296307	0.0295039	4.13974e-022
N3	0.000128623	0.000132816	0.00415363	8.96515e-021
N4	3.13142e-007	2.22395e-006	0.000419795	6.61485e-024
N5	3.42072e-013	3.43504e-007	0.0433483	1.00633e-019
Atrachelacris_sp	3.39269e-007	0.999996	0.956655	0
N6	5.79233e-005	0.000444772	0.805322	1.27215e-013
N7	0.000266733	0.00739824	0.150546	3.87446e-014
Leiotettix_pulcher	1.17989e-009	0.993264	0.000786445	0
Scotussa_lemniscata	0.00673561	6.97979e-007	0.000786445	0
N8	0.00010525	0.00228014	0.112848	6.29037e-014
Scotussa_daguerrei	2.96673e-007	0.997476	0.0384848	0
Scotussa_impudica	0.00279485	0.00106887	0.0384848	0
N9	1.55307e-008	3.58592e-008	7.19795e-006	7.28423e-030
N10	1.86174e-008	2.02475e-007	0.231817	9.1274e-023
N11	1.67935e-006	0.851785	0.703953	1.31009e-021
N12	0	0.0140969	0.000234755	8.83286e-021
N13	1.51648e-006	0.0424891	0.00158345	1.52836e-016
Chlorus_bolivianus	3.43316e-007	1.03204	0.0623794	0
Ronderosia_sp	0.00199712	0.0923734	0.0623794	0
Leiotettix_flavipes	0.000693152	0.134379	0.0639629	0
N14	0.0145479	0.0111323	0.0091962	2.44896e-011
Dichroplus_maculipennis	0.828054	1.90713e-005	0.0550249	0
Dichroplus_vittatus	6.74947e-007	1.09826	0.0550248	0
N15	1.23404e-005	9.58125e-007	0.12273	3.03551e-013
