#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.345884
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.999125
N11: 0.825001
Leiotettix_pulcher: 0.995859
Scotussa_daguerrei: 0.999211
Chlorus_bolivianus: 1.58598
Dichroplus_vittatus: 1.61273
Leiotettix_flavipes: 0.693693
Dichroplus_patruelis: 0.996662
Dichroplus_pratensis: 1.48229
Dichroplus_silveiraguidoi: 1.99298
Tropidostethus_sp: 0.996133
Xyleus_laevipes: 0.99663
Total number of loss events: 14.9214
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Dichroplus_conspersus: 0.525293
Dichroplus_pratensis: 0.525292
Dichroplus_democraticus: 1.0013
Ommatolampis_sp: 0.510712
N43: 1.03129
Total number of duplication events: 8.54845
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.46409e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00045793	0.000618765	0.0380558	2.10648e-019
N3	0.000298358	0.000304033	0.000997553	1.46634e-022
N4	2.79314e-006	7.85583e-007	0.374179	1.09152e-018
N5	1.00927e-008	2.93778e-009	0.0145037	9.13021e-019
N6	4.31516e-005	0.000760439	0.480342	2.26375e-019
N7	0.000329286	8.23475e-006	0.121602	4.3154e-015
N8	2.44098e-006	0.000220516	0.00785119	1.73763e-019
N9	0.000312232	6.11136e-006	0.000919048	5.74447e-017
N10	3.47255e-006	0.000570582	0.000220189	1.60357e-015
Atrachelacris_sp	5.15421e-007	0.999125	0.000413562	0
Leiotettix_viridis	0.000972365	0.000256337	0.000413562	1.32656e-014
Pseudoscopas_nigrigena	0.000597246	0.000950498	0.000633814	3.34527e-015
N11	1.99703e-005	0.825001	0.00145829	1.50506e-020
Dichromatos_lilloanus	0.000464785	0.174869	9.45675e-005	0
Ronderosia_sp	0.000464785	0.174869	9.45675e-005	0
N12	0.000196212	0.000589913	0.00903419	2.29026e-014
N13	0.000304411	2.07417e-006	9.79191e-005	1.16654e-016
N14	0.000142616	0.00379664	0.000270439	3.50689e-014
Leiotettix_pulcher	2.16059e-010	0.995859	2.37831e-006	0
Scotussa_lemniscata	0.00424698	0.000107292	2.37831e-006	0
Scotussa_impudica	0.000620333	0.000134078	0.000272817	3.38641e-014
Scotussa_daguerrei	2.11284e-007	0.999211	0.000370736	0
N15	2.45387e-007	0.294597	0.00850703	8.23267e-019
Chlorus_bolivianus	1.38898e-007	1.58598	0.1225	0
N16	0.000143047	0.0113119	0.0233854	2.06793e-012
N17	0.00622199	0.00958122	0.0193942	3.0364e-011
Dichroplus_maculipennis	0.3007	0.0095562	0.0797147	3.316e-007
Dichroplus_vittatus	2.11042e-006	1.61273	0.0797146	0
Leiotettix_flavipes	0.000556563	0.693693	0.0991086	0
N18	5.24762e-005	5.04671e-005	0.453076	6.39623e-015
N19	0.000113661	0.000135675	0.139175	8.83614e-013
Dichroplus_elongatus	0.000135884	0.000133594	0.0190979	1.11923e-013
N20	0.000119191	0.00343906	0.0190822	1.10291e-013
Dichroplus_paraelongatus	0.00332217	4.84646e-008	1.5691e-005	0
Dichroplus_patruelis	9.3772e-012	0.996662	0	0
N21	0.00011682	0.000126653	0.14777	8.6909e-013
N22	0.000115416	0.000124777	0.0104847	3.8279e-014
Dichroplus_exilis	2.95467e-009	5.86526e-008	1.88434e-005	0
Dichroplus_fuscus	2.95467e-009	5.86526e-008	1.88434e-005	0
Dichroplus_schulzi	0.000117619	0.00012699	0.0105035	3.82802e-014
N23	5.4526e-005	0.00732082	0.100561	6.3448e-017
Dichroplus_conspersus	0.00662135	0.00137406	0.525293	3.61552e-008
Dichroplus_pratensis	5.57301e-007	1.48229	0.525292	0
N24	4.79401e-006	0.00693294	8.63329e-006	3.90149e-024
Dichroplus_democraticus	0.00418439	0.0015183	1.0013	1.17867e-011
Dichroplus_silveiraguidoi	2.41991e-005	1.99298	4.35733e-005	0
N25	4.13025e-007	2.18772e-006	0.117452	4.89857e-015
N26	1.89734e-005	1.72042e-005	0.471621	7.08446e-014
N27	7.26103e-005	7.95263e-005	0.311532	3.22925e-012
N28	0.000330164	0.00180088	0.0994389	1.03218e-014
Dichromorpha_sp	0.000113697	0.000122875	0.000955796	0
N29	4.21098e-007	9.21188e-006	0.000887135	1.62052e-016
Hyalopteryx_rufipennis	0.000107466	0.000107836	6.86612e-005	0
Leptysma_sp	0.000107466	0.000107836	6.86612e-005	0
N30	6.27344e-007	7.93325e-007	0.00627677	3.2996e-015
N31	0.000111102	0.000113767	0.0822883	6.03217e-015
N32	3.86865e-006	2.19831e-006	0.00322771	1.18487e-015
N33	0.000136554	0.000142418	0.00749133	1.44797e-014
Diponthus_sp	0.000124836	0.000141265	0.00111051	6.06242e-014
