#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.624151
Total number of gain events: 0.797007
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.960596
Dichromatos_lilloanus: 0.955417
Leiotettix_pulcher: 0.994446
Scotussa_daguerrei: 0.957769
N14: 0.593253
Chlorus_bolivianus: 1.22607
Dichroplus_vittatus: 1.3415
Dichroplus_patruelis: 0.996884
Dichroplus_pratensis: 1.20923
Dichroplus_silveiraguidoi: 1.99251
Tropidostethus_sp: 0.997219
Xyleus_laevipes: 0.999538
Total number of loss events: 14.1658
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.532119
N18: 0.51161
Dichroplus_pratensis: 0.826537
Dichroplus_conspersus: 1.00004
Dichroplus_democraticus: 1.00152
N23: 0.92415
N26: 0.591446
N41: 0.650008
N43: 1.0223
Total number of duplication events: 8.37114
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.7638e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00157665	0.00179417	0.0370425	1.43137e-019
N3	0.00302488	0.00310179	0.0111395	6.42692e-019
N4	8.70572e-005	0.00048168	0.17352	5.07454e-017
N5	5.4105e-005	1.94194e-005	0.291515	7.49552e-013
N6	3.64977e-006	0.0448921	0.532119	4.0141e-015
N7	0.00131452	4.78891e-005	0.00215194	6.45368e-019
N8	0.000421601	0.00281957	0.000631495	1.3141e-016
N9	0.00507988	0.000176861	7.88068e-005	1.29633e-014
Atrachelacris_sp	0.00207742	0.960596	1.19751e-005	0
N10	0.0393341	1.5652e-005	4.4933e-006	1.75709e-012
Leiotettix_viridis	0.00220305	0.000803513	7.48177e-006	0
Pseudoscopas_nigrigena	0.00220305	0.000803513	7.48177e-006	0
Dichromatos_lilloanus	0.00180301	0.955417	9.0782e-005	0
N11	0.000755117	0.000774003	0.000428621	2.35933e-015
N12	0.0396725	0.00316366	0.000278742	3.24828e-010
N13	6.77142e-005	0.00238766	1.46978e-005	1.57696e-014
Leiotettix_pulcher	2.37076e-010	0.994446	2.15594e-007	0
Scotussa_lemniscata	0.00555335	4.07518e-007	2.15594e-007	0
Scotussa_impudica	0.00312344	0.000316191	1.49134e-005	0
Scotussa_daguerrei	0.00177412	0.957769	0.000293656	0
N14	5.70272e-008	0.593253	0.000462926	1.66503e-023
N15	9.54595e-008	0.134464	2.93032e-005	9.85403e-022
Chlorus_bolivianus	0.00138784	1.22607	0.00198923	0
Leiotettix_flavipes	0.00189305	0.228476	0.00198923	0
N16	0.000460084	0.0208857	0.000915439	3.18505e-014
N17	0.00970936	0.00938368	0.000187926	2.38638e-013
Dichroplus_maculipennis	0.624151	0.0431765	0.000925781	0
Dichroplus_vittatus	3.73728e-007	1.3415	0.000924878	0
Ronderosia_sp	0.00123171	0.341914	0.0011128	0
N18	0.00104385	0.00174961	0.51161	6.79846e-009
Dichroplus_elongatus	0.000165972	0.000141194	0.0233829	0
N19	1.52939e-006	0.00308719	0.0231758	3.63477e-015
Dichroplus_paraelongatus	0.00311591	3.58047e-007	0.000207094	0
Dichroplus_patruelis	1.52951e-010	0.996884	0.000207094	0
Dichroplus_pratensis	5.6044e-007	1.20923	0.826537	0
N20	0.000104281	0.000104566	1.96072e-005	3.51748e-024
Dichroplus_conspersus	0.000802012	0.00160406	1.00004	6.04175e-016
N21	5.59073e-011	3.88291e-007	2.45863e-007	5.61998e-026
N22	0.000370886	0.0077999	5.01425e-006	3.21681e-024
Dichroplus_democraticus	0.0052764	0.00325083	1.00152	0
Dichroplus_silveiraguidoi	1.77521e-005	1.99251	2.90428e-005	0
N23	0.000599656	0.00152506	0.92415	4.83055e-013
N24	0.000229179	0.00047634	0.0758514	3.63634e-015
Dichroplus_exilis	0	4.94856e-008	3.55881e-005	0
Dichroplus_fuscus	0	4.94856e-008	3.55881e-005	0
Dichroplus_schulzi	0.000231557	0.000481135	0.075887	0
N25	0.000263755	0.000310176	0.360367	3.96176e-011
N26	0.00055592	0.00144041	0.591446	1.83584e-010
N27	0.000144105	0.000660465	0.0498741	3.5694e-013
N28	6.28963e-006	2.64009e-005	0.00584832	4.29465e-014
N29	9.88755e-006	6.50604e-006	0.000985442	3.72556e-015
Dichromorpha_sp	0.00090737	0.00213082	0.00267104	0
Leptysma_sp	0.00090737	0.00213082	0.00267104	0
Hyalopteryx_rufipennis	0.0012674	0.00286013	0.00365649	0
N30	0.000914935	0.00215633	0.00920511	1.57987e-011
N31	9.07467e-007	2.11155e-005	0.000298828	6.02473e-017
Schistocerca_cancellata	7.06155e-009	1.06095e-007	8.72552e-007	0
Schistocerca_pallens	7.06155e-009	1.06095e-007	8.72552e-007	0
Schistocerca_flavofasciata	8.48715e-007	2.10696e-005	0.0002997	0
N32	5.57604e-006	2.05237e-005	0.0419399	9.35515e-014
N33	1.40588e-005	8.73295e-006	0.00492402	2.30978e-015
N34	0.000290974	0.00055108	0.00731081	2.00039e-012
Diponthus_sp	0.000940397	0.00227716	0.00520413	0
Xyleus_modestus	0.000940397	0.00227716	0.00520413	0
Prionolopha_serrata	0.00190961	0.00573503	0.0125149	9.70631e-014
N35	0.000247328	0.000497338	0.0166536	2.94611e-016
