#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.191875
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 1.00027
Chlorus_bolivianus: 1.12054
Dichromatos_lilloanus: 0.688787
Dichroplus_pratensis: 1.22905
Dichroplus_silveiraguidoi: 1.99241
Dichroplus_patruelis: 0.997966
Dichroplus_vittatus: 1.50262
Ronderosia_sp: 0.975319
Leiotettix_flavipes: 0.984236
Leiotettix_pulcher: 0.992394
Scotussa_daguerrei: 1.01053
Tropidostethus_sp: 0.998212
Xyleus_laevipes: 0.997415
Total number of loss events: 15.3826
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.619654
N8: 0.725753
Chlorus_bolivianus: 0.588934
Dichromatos_lilloanus: 0.588934
Dichroplus_pratensis: 0.82295
Dichroplus_democraticus: 1.00201
N16: 0.743537
Ronderosia_sp: 0.575489
Leiotettix_flavipes: 0.665026
N25: 0.930708
Scotussa_impudica: 0.939994
Scotussa_daguerrei: 1.01381
N26: 0.997808
N43: 1.82642
Total number of duplication events: 17.1926
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00133046
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00748276	0.0492518	0.619654	3.10051e-012
N3	0.00455843	0.00891875	0.204359	2.15204e-013
N4	0.000300053	0.00035197	0.0133825	5.40534e-018
N5	2.07991e-007	8.04895e-007	0.000326442	1.34156e-023
N6	3.50022e-007	4.13619e-007	8.31453e-005	1.07371e-024
N7	1.05719e-006	3.67617e-005	0.170721	1.97363e-016
N8	0.000307835	0.00103438	0.725753	9.21937e-010
N9	0.000207586	0.00154486	0.0545285	4.84671e-012
Atrachelacris_sp	0.00204025	1.00027	0.0489102	0
Pseudoscopas_nigrigena	0.00173338	0.00124709	0.0489102	1.3993e-012
Leiotettix_viridis	0.000545043	0.0018485	0.103439	1.04486e-011
N10	0.000155009	0.315053	0.240258	7.46097e-014
Chlorus_bolivianus	0.00246934	1.12054	0.588934	0
Dichromatos_lilloanus	0.039023	0.688787	0.588934	0
N11	0.000115997	0.000116087	8.45237e-006	2.02074e-023
N12	0.000326756	0.00237545	0.177054	4.91983e-014
N13	0.00184406	0.000195557	0.498577	4.66635e-008
Dichroplus_conspersus	0.000415062	0.000978743	0.324379	6.44917e-009
Diponthus_sp	0.000415062	0.000978743	0.324379	6.44917e-009
Dichroplus_pratensis	0.0044907	1.22905	0.82295	0
N14	1.97267e-006	5.37787e-006	5.02806e-007	4.23596e-022
N15	0.000261112	0.00778868	4.39035e-007	6.32662e-023
Dichroplus_democraticus	0.00467486	0.00426112	1.00201	5.95e-010
Dichroplus_silveiraguidoi	9.02291e-006	1.99241	2.1949e-005	0
N16	0.000113955	0.00102118	0.743537	3.44319e-011
N17	0.000534179	0.00147269	0.241499	3.50081e-011
Dichroplus_elongatus	0.000259053	0.000258928	0.014968	0
N18	0.000224387	0.00225779	0.0146945	2.47133e-015
Dichroplus_paraelongatus	0.00214193	0.000108778	0.000273464	0
Dichroplus_patruelis	5.06569e-010	0.997966	0.000273465	0
N19	0.000436862	0.00115009	0.241977	3.58907e-011
N20	0.000227642	0.000243952	0.0142682	2.33442e-015
Dichroplus_exilis	0.00010575	0.000106277	0.000221066	0
Dichroplus_fuscus	0.00010575	0.000106277	0.000221066	0
Dichroplus_schulzi	0.000239926	0.000256396	0.0144893	0
N21	7.80482e-005	0.0221684	0.335068	9.63433e-018
N22	0.000180317	0.00824058	0.0895357	7.12044e-012
N23	0.00155507	0.0120496	0.0967081	2.79784e-010
Dichroplus_maculipennis	0.0325433	0.0129138	0.479079	6.67589e-007
Dichroplus_vittatus	0.00369361	1.50262	0.478782	0
Ronderosia_sp	0.00340554	0.975319	0.575489	0
Leiotettix_flavipes	0.00550497	0.984236	0.665026	0
N24	8.95112e-006	2.39299e-006	0.0604275	7.90782e-015
N25	0.00151778	0.0121447	0.930708	7.36374e-010
Leiotettix_pulcher	2.11525e-006	0.992394	0.00928766	0
Scotussa_lemniscata	0.0078591	0.000251892	0.00928752	0
Scotussa_impudica	0.00222928	0.00703334	0.939994	4.55966e-008
Scotussa_daguerrei	0.00275617	1.01053	1.01381	1.20618e-009
N26	0.00234163	0.0095434	0.997808	1.7306e-006
N27	0.000369804	0.000561905	0.103149	3.51569e-010
N28	0.000527031	0.00134891	0.106147	1.51862e-010
N29	0.000242527	0.000256924	0.00827811	5.21562e-015
N30	0.000237883	0.000246285	0.00166151	5.75839e-015
N31	0.000232245	0.000236246	0.000404669	1.32378e-014
Dichromorpha_sp	0.000548625	0.00111084	0.000270733	7.51495e-014
Hyalopteryx_rufipennis	0.000548625	0.00111084	0.000270733	7.51495e-014
Leptysma_sp	0.000608966	0.00122906	0.000675404	3.08103e-014
N32	0.000402049	0.000420163	0.0018302	2.85859e-014
N33	0.000535584	0.00110931	0.000505199	6.88937e-013
Schistocerca_cancellata	1.68914e-008	6.06961e-007	1.52041e-006	0
Schistocerca_pallens	1.68914e-008	6.06961e-007	1.52041e-006	0
Schistocerca_flavofasciata	0.000553188	0.00114468	0.000506719	6.86555e-013
N34	0.000115684	0.000117667	0.00322272	2.84592e-014
N35	0.000394522	0.000946615	0.00702516	1.46879e-013
N36	7.09532e-015	3.18997e-007	8.20753e-006	1.49534e-017
Marellia_remipes	0.000601599	0.000904385	0.000358928	6.38754e-017
N37	0.000226615	0.00201961	0.000274483	1.39986e-017
Ommexecha_sp	0.00233437	0.00108665	8.44437e-005	7.27759e-014
Tropidostethus_sp	2.42927e-007	0.998212	8.44437e-005	0
Paulinia_acuminata	0.000602214	0.000905626	0.000367135	8.07641e-017
Ommatolampis_sp	0.000792307	0.00357363	0.0073923	1.47327e-013
N38	0.00222461	0.00824553	0.116113	4.3907e-010
N39	6.01156e-007	2.34122e-005	0.000461729	1.57157e-016
Zoniopoda_hempeli	0.000227569	0.000230583	0.000188511	0
Zoniopoda_omnicolor	0.000227569	0.000230583	0.000188511	0
Zoniopoda_tarsata	0.000235122	0.000260848	0.00065024	0
N40	0.000495594	0.00129072	0.11338	3.53328e-010
N41	0.000795461	0.00156126	0.0500411	9.36371e-011
Prionolopha_serrata	0.000850458	0.00377579	0.0564901	7.28486e-010
Xyleus_modestus	0.000850458	0.00377579	0.0564901	7.28486e-010
N42	0.000551054	0.00650851	0.0601258	3.12926e-011
Xyleus_insignis	0.00545368	0.00614678	0.0464055	2.60721e-010
Xyleus_laevipes	0.00272296	0.997415	0.0464052	0
N43	0.0271434	0.349153	1.82642	0.00132794
Trimerotropis_ochraceipennis	0.000389268	0.00301612	0.025886	8.93454e-010
Trimerotropis_pallidipennis	0.000389268	0.00301612	0.025886	8.93454e-010
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0148985	1.06141	1.83772	9.301e-010
Pseudoscopas_nigrigena	0.0145917	0.0623868	1.83772	9.31499e-010
Leiotettix_viridis	0.0131957	0.0614434	1.83772	9.35702e-010
Chlorus_bolivianus	0.0149672	1.49416	1.83772	3.39053e-012
Dichromatos_lilloanus	0.0515209	1.0624	1.83772	3.39053e-012
Dichroplus_conspersus	0.0150437	0.0621896	1.83782	5.3116e-008
Diponthus_sp	0.0150437	0.0621896	1.83782	5.3116e-008
Dichroplus_pratensis	0.0172753	1.29007	1.83782	3.36492e-012
Dichroplus_democraticus	0.0173957	0.070695	1.83983	5.98316e-010
Dichroplus_silveiraguidoi	0.0127299	2.05884	0.837837	3.31572e-012
Dichroplus_elongatus	0.013367	0.061398	1.83782	7.27557e-011
