#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0876629
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.988556
Leiotettix_pulcher: 0.994642
Scotussa_daguerrei: 0.988569
Dichromatos_lilloanus: 0.990448
N15: 0.88808
Chlorus_bolivianus: 1.11075
Dichroplus_vittatus: 1.98637
Leiotettix_flavipes: 1.00077
Dichroplus_patruelis: 0.998982
Dichroplus_silveiraguidoi: 1.99595
Dichroplus_pratensis: 1.03682
Tropidostethus_sp: 0.998767
Xyleus_laevipes: 1.00049
Total number of loss events: 15.2397
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.720805
Dichroplus_democraticus: 1.00047
N23: 0.933678
Dichroplus_conspersus: 1.00032
Dichroplus_pratensis: 0.999949
N26: 0.997399
N43: 1.03514
Total number of duplication events: 7.66543
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000408276
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	6.60301e-005	8.12286e-005	0.0113065	2.56128e-019
N3	0.00611649	0.00641212	0.0344996	3.26126e-017
N4	8.15462e-005	4.18792e-006	0.00027158	3.9671e-020
N5	2.47668e-007	1.26e-007	0.720805	3.60684e-016
N6	4.19378e-007	1.06062e-005	0.247841	2.08869e-015
N7	6.09345e-007	0.000368434	0.0298879	3.77706e-019
N8	1.19859e-005	1.7877e-007	5.10179e-005	7.6906e-018
N9	9.32077e-005	7.83419e-005	0.000997328	7.63408e-016
N10	0.00011087	0.0111918	0.000397748	1.02048e-015
N11	0.00038867	0.000398699	2.40655e-005	4.35664e-016
Atrachelacris_sp	2.92699e-006	0.988556	3.36467e-006	0
N12	0.00868471	9.6858e-006	2.68136e-006	4.60288e-014
N13	0.000182016	0.00277603	6.72193e-007	3.75112e-015
Leiotettix_pulcher	5.76803e-007	0.994642	2.501e-014	0
Scotussa_lemniscata	0.00535894	5.17496e-007	1.1108e-008	0
Scotussa_impudica	0.00288896	0.000124214	6.83301e-007	2.60169e-013
Scotussa_daguerrei	6.14494e-006	0.988569	2.7435e-005	0
Leiotettix_viridis	0.00093382	0.00149207	0.000425183	0
N14	0.000629507	0.0106789	0.00141705	6.1926e-013
