#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.184687
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.920301
Leiotettix_pulcher: 0.919985
Scotussa_daguerrei: 0.992698
N12: 0.759429
Chlorus_bolivianus: 1.05728
Leiotettix_flavipes: 0.975489
Dichroplus_pratensis: 1.06347
Dichroplus_silveiraguidoi: 1.9957
Dichroplus_patruelis: 0.999153
Ronderosia_sp: 1.00546
Dichroplus_vittatus: 1.31598
Tropidostethus_sp: 0.997818
Xyleus_laevipes: 0.99405
Total number of loss events: 14.3949
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.961936
N11: 0.715567
Dichroplus_conspersus: 0.945931
Dichroplus_pratensis: 0.94593
N19: 0.973303
Dichroplus_democraticus: 1.00074
N22: 0.990416
Ronderosia_sp: 1
Dichroplus_maculipennis: 0.677614
Dichroplus_vittatus: 0.677612
Pseudoscopas_nigrigena: 0.80989
N41: 0.915179
Diponthus_sp: 1.00243
N43: 0.990472
Total number of duplication events: 16.0994
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.51224e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000705322	0.000752384	0.0392613	7.57113e-021
N3	1.58579e-011	2.70425e-007	0.000143622	1.72124e-024
N4	0.000793902	0.000794587	0.00226346	2.99063e-022
N5	0.000451666	0.00775846	0.961936	1.46316e-012
N6	4.14299e-005	1.67767e-005	0.00301396	1.63706e-015
N7	1.03301e-005	0.0724521	0.0323552	1.56936e-015
Atrachelacris_sp	2.0336e-005	0.920301	0.00271176	0
N8	0.00175567	0.00261118	0.00266244	6.3881e-016
Leiotettix_pulcher	8.68484e-006	0.919985	4.93146e-005	0
Scotussa_lemniscata	0.0800231	4.46318e-007	4.93146e-005	0
Scotussa_impudica	0.00776602	0.00177395	0.035067	4.01012e-014
Scotussa_daguerrei	4.60614e-006	0.992698	0.038081	0
N9	5.97347e-014	7.03448e-008	1.7943e-006	8.27472e-027
N10	0.000107849	0.000107943	1.44924e-005	9.1135e-031
N11	6.48835e-005	0.023101	0.715567	1.23188e-016
N12	3.76257e-005	0.759429	0.132958	8.61505e-016
Chlorus_bolivianus	1.33387e-005	1.05728	0.151475	0
Dichromatos_lilloanus	0.0223826	0.218973	0.151475	0
N13	0.000558927	0.00222701	0.181033	1.89961e-010
Leiotettix_flavipes	2.16062e-005	0.975489	0.103383	0
Leiotettix_viridis	0.0238933	0.00424633	0.103383	1.55218e-010
N14	7.58521e-016	9.01238e-009	5.75951e-009	1.37217e-030
N15	0.000110864	0.000109943	2.72981e-007	1.07073e-025
N16	0.000111814	0.000114233	8.85476e-008	2.00745e-024
N17	1.38335e-007	1.04013e-006	0.0154233	5.35123e-018
N18	0.000106157	0.00176982	0.0386461	3.96576e-017
Dichroplus_conspersus	0.00203906	0.000484286	0.945931	1.59866e-009
Dichroplus_pratensis	6.96801e-007	1.06347	0.94593	0
N19	0.000420029	0.000432615	0.973303	2.4481e-012
N20	0.000105305	0.000106483	0.0111013	2.91832e-020
Dichroplus_exilis	2.53741e-009	3.62715e-008	0.000172625	0
Dichroplus_fuscus	2.53741e-009	3.62715e-008	0.000172625	0
Dichroplus_schulzi	4.86542e-008	1.25919e-006	0.0112739	0
N21	0.000241342	0.00452672	9.30954e-009	3.3144e-027
Dichroplus_democraticus	0.00327591	0.00118581	1.00074	0
Dichroplus_silveiraguidoi	2.686e-006	1.9957	3.01695e-006	0
N22	1.46261e-005	0.000755899	0.990416	4.85912e-012
Dichroplus_elongatus	6.64151e-006	2.9449e-006	0.00958383	0
N23	0.000104639	0.000946676	0.00936159	1.59008e-019
Dichroplus_paraelongatus	0.000952981	0.000105586	0.000222243	0
Dichroplus_patruelis	7.51113e-012	0.999153	0.000222243	0
Ronderosia_sp	0.010929	1.00546	1	0
N24	0.000316147	0.000330329	0.190127	1.78206e-015
N25	0.000401017	0.00652345	0.132275	1.90783e-013
Dichroplus_maculipennis	0.0056232	0.000329001	0.677614	0
Dichroplus_vittatus	3.50558e-007	1.31598	0.677612	0
Pseudoscopas_nigrigena	0.00033533	0.00185655	0.80989	3.57602e-011
N26	9.55882e-007	3.7033e-007	0.0849028	8.72946e-017
N27	0.000122532	0.000120661	0.420203	1.3268e-013
N28	0.000553948	0.00103793	0.43195	9.07396e-011
N29	5.27679e-006	2.32637e-005	0.0517816	6.42736e-014
N30	0.000611877	0.00122095	0.0134177	2.70192e-015
N31	2.2922e-008	3.70361e-007	2.13077e-005	3.70151e-022
Dichromorpha_sp	1.0817e-009	2.13697e-008	3.21469e-006	0
Leptysma_sp	1.0817e-009	2.13697e-008	3.21469e-006	0
Hyalopteryx_rufipennis	0.000106223	0.00010659	2.45224e-005	0
N32	0.000106145	0.000107327	0.00693702	7.64739e-017
N33	6.04431e-007	3.78126e-006	0.00597595	1.78996e-017
N34	2.48752e-006	6.07029e-007	0.000242366	4.83798e-019
Marellia_remipes	1.15247e-007	1.27057e-006	0.000286867	0
Paulinia_acuminata	1.15247e-007	1.27057e-006	0.000286867	0
N35	6.01355e-007	0.00218267	0.000498685	4.83985e-019
Ommexecha_sp	0.00195331	0.000460497	3.05483e-005	0
Tropidostethus_sp	2.52421e-007	0.997818	3.05484e-005	0
Ommatolampis_sp	0.000615384	0.00122978	0.00650518	6.29391e-016
N36	0.000305434	0.000589019	0.0529475	1.23452e-013
N37	0.000133555	0.00016079	0.0122656	2.02002e-016
Schistocerca_cancellata	3.04673e-009	7.80322e-008	1.06471e-005	0
Schistocerca_pallens	3.04673e-009	7.80322e-008	1.06471e-005	0
Schistocerca_flavofasciata	0.000135868	0.000432845	0.0122763	0
N38	7.87926e-005	9.26282e-005	0.235116	7.34587e-013
N39	0.000402642	0.000643966	0.170477	8.32819e-010
Prionolopha_serrata	0.00063456	0.00190527	0.0915814	2.38146e-011
Xyleus_modestus	0.00063456	0.00190527	0.0915814	2.38146e-011
N40	0.000597392	0.0073022	0.22652	1.55843e-010
Xyleus_insignis	0.0061751	0.00116224	0.0355383	2.10268e-011
Xyleus_laevipes	4.65675e-006	0.99405	0.0355383	0
N41	0.00143446	0.00618273	0.915179	3.82958e-009
Zoniopoda_hempeli	5.12099e-008	3.66964e-006	0.00220021	0
N42	1.24153e-007	3.48609e-006	0.00170877	4.05039e-018
Zoniopoda_omnicolor	6.47954e-009	2.50543e-007	0.000491442	0
Zoniopoda_tarsata	6.47954e-009	2.50543e-007	0.000491442	0
Diponthus_sp	0.00240824	0.0058492	1.00243	9.82395e-010
N43	0.00364426	0.0104661	0.990472	7.17269e-009
Trimerotropis_ochraceipennis	0.000128964	0.000271545	0.0513052	0
Trimerotropis_pallidipennis	0.000128964	0.000271545	0.0513052	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00202299	1.00208	1.04169	1.46637e-012
Leiotettix_pulcher	0.003767	1.00437	1.04169	1.46701e-012
Scotussa_lemniscata	0.0837814	0.0843863	1.04169	1.46701e-012
Scotussa_impudica	0.00975834	0.0110964	1.04169	1.5049e-012
Scotussa_daguerrei	0.0019555	1.002	1.04169	1.46316e-012
Chlorus_bolivianus	0.00172292	1.84146	1.04168	9.84701e-016
Dichromatos_lilloanus	0.0240922	1.00316	1.04169	9.84701e-016
Leiotettix_flavipes	0.00225249	1.00247	1.04167	1.89961e-010
Leiotettix_viridis	0.0261242	0.0312296	1.04167	3.45179e-010
Dichroplus_conspersus	0.00397511	0.00413458	1.04169	1.59866e-009
Dichroplus_pratensis	0.00193674	1.06712	1.04168	4.50168e-017
