#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.0744907
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998823
Leiotettix_pulcher: 0.991295
Scotussa_daguerrei: 0.998239
Dichroplus_vittatus: 1.81739
Ronderosia_sp: 0.991158
Leiotettix_flavipes: 0.998149
Chlorus_bolivianus: 1.2986
Dichromatos_lilloanus: 0.987005
Dichroplus_pratensis: 1.06816
Dichroplus_silveiraguidoi: 1.99632
Dichroplus_patruelis: 0.998696
Xyleus_laevipes: 0.997717
Tropidostethus_sp: 0.997888
Total number of loss events: 15.221
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N4: 0.516185
Chlorus_bolivianus: 0.728467
Dichromorpha_sp: 1
Dichroplus_conspersus: 0.965633
Dichroplus_pratensis: 0.965632
Dichroplus_democraticus: 1.0006
N23: 0.606985
N25: 0.526269
N27: 0.619373
N30: 0.526823
N39: 0.644805
N41: 0.76459
N43: 1.02273
Total number of duplication events: 15.2488
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000458587
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000136039	0.000167199	0.0244414	4.15631e-023
N3	0.000137914	0.000139392	0.00131842	2.84448e-018
N4	2.65414e-007	7.6408e-005	0.516185	1.53153e-018
N5	5.50503e-006	0.00323514	0.454277	1.33536e-015
Atrachelacris_sp	0.00212831	0.998823	0.0295427	0
N6	0.000111803	3.64743e-005	0.010865	8.5965e-015
N7	0.000496624	0.00601259	0.0185936	4.89175e-006
Leiotettix_pulcher	5.66606e-010	0.991295	8.39375e-005	0
Scotussa_lemniscata	0.00870604	8.67804e-007	8.39378e-005	0
N8	2.96563e-005	0.000872517	0.00868738	7.78491e-016
Scotussa_daguerrei	0.00231205	0.998239	0.00999015	0
Scotussa_impudica	0.00432119	0.00106376	0.00999015	0.000101865
N9	1.79483e-006	0.00335958	0.237173	8.65382e-015
N10	0.000248636	0.00025167	0.0418049	2.18619e-013
N11	7.83046e-005	0.00605632	0.0316778	7.27525e-010
Dichroplus_maculipennis	0.00885903	0.000693447	0.173164	0
Dichroplus_vittatus	1.51307e-008	1.81739	0.173164	0
N12	0.00068234	0.00631481	0.204776	5.51592e-006
Leptysma_sp	0.00877687	6.84912e-008	6.53479e-005	0
Ronderosia_sp	5.95068e-011	0.991158	0	0
Leiotettix_flavipes	0.00158262	0.998149	0.246646	0
N13	8.63308e-009	1.63497e-007	2.85097e-006	8.23446e-028
N14	9.32335e-005	0.0146802	0.271534	1.81195e-017
Chlorus_bolivianus	3.19185e-005	1.2986	0.728467	0
N15	0.000747352	0.000354361	0.317901	4.12684e-010
Dichromatos_lilloanus	0.0015339	0.987005	0.410553	0
Hyalopteryx_rufipennis	0.0140318	0.00272386	0.410553	0.000345059
N16	3.13623e-007	1.04626e-007	1.35992e-006	8.34152e-027
N17	6.67578e-007	2.98151e-007	3.09204e-007	2.65454e-026
Dichromorpha_sp	0.000376423	0.000377048	1	1.20334e-014
N18	1.51128e-007	7.53454e-007	8.5152e-008	1.6192e-026
N19	3.3237e-007	0.000175768	4.23301e-009	2.75234e-029
N20	2.38127e-006	0.00107475	0.0343675	2.80734e-016
Dichroplus_conspersus	0.00171407	0.000504231	0.965633	1.02223e-006
Dichroplus_pratensis	7.25932e-007	1.06816	0.965632	0
N21	3.53095e-006	0.00350001	3.78017e-009	9.86424e-024
Dichroplus_democraticus	0.00247102	0.000600987	1.0006	7.73553e-013
