#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.384775
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.84581
N8: 0.802511
Chlorus_bolivianus: 1.02961
Leiotettix_flavipes: 0.83528
Dichromatos_lilloanus: 0.860886
Leiotettix_pulcher: 0.944456
Scotussa_daguerrei: 0.867701
Dichroplus_pratensis: 1.23876
Dichroplus_patruelis: 0.999556
Dichroplus_silveiraguidoi: 1.99686
Dichroplus_vittatus: 1.14253
Xyleus_laevipes: 0.998639
Tropidostethus_sp: 0.996546
Total number of loss events: 13.8258
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.984646
Dichroplus_conspersus: 0.780964
Dichroplus_pratensis: 0.780964
N17: 0.830701
Dichroplus_democraticus: 1.00046
N21: 0.976427
Dichroplus_maculipennis: 0.866768
Dichroplus_vittatus: 0.866767
Pseudoscopas_nigrigena: 0.961723
N26: 0.768957
N43: 0.999909
Total number of duplication events: 11.3818
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.41261e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000124932	0.00013178	0.00778421	5.74157e-026
N3	0.000420917	0.00042207	0.000786382	2.74391e-023
N4	2.27179e-007	1.10286e-006	2.67499e-005	1.02893e-026
N5	7.75344e-009	0.131294	0.984646	9.43819e-020
N6	9.31087e-012	0.0229827	0.00428905	2.95577e-021
Atrachelacris_sp	0.000145926	0.84581	0.0110053	0
N7	1.24303e-005	0.0119142	0.00608977	5.4712e-022
N8	4.03294e-006	0.802511	0.00353392	5.61283e-017
Chlorus_bolivianus	2.17493e-007	1.02961	0.00133751	0
Ronderosia_sp	0.00177055	0.0325537	0.00133751	0
N9	0.00340165	0.00203898	0.00379231	3.85366e-011
Leiotettix_flavipes	3.74952e-007	0.83528	0.00107902	0
Leiotettix_viridis	0.15969	0.0106411	0.00107902	0
N10	0.000697555	0.00873283	0.0142244	2.68631e-013
Dichromatos_lilloanus	1.91045e-005	0.860886	0.00112951	0
N11	0.00714361	0.000310196	0.00105566	9.3002e-016
N12	0.0773785	7.00816e-006	4.5549e-005	1.58699e-016
N13	0.000934222	0.00156759	2.68197e-005	6.93997e-015
Leiotettix_pulcher	5.60845e-009	0.944456	1.47996e-006	0
Scotussa_lemniscata	0.0556505	0.000318506	1.47996e-006	0
Scotussa_impudica	0.0550344	0.00035794	2.82996e-005	0
Scotussa_daguerrei	3.02133e-009	0.867701	7.38487e-005	0
N14	4.27462e-007	1.32831e-007	4.62027e-007	7.97821e-027
N15	6.11822e-007	4.55999e-006	0.16665	1.5384e-016
N16	1.90047e-005	0.00190651	0.0523858	3.26032e-016
Dichroplus_conspersus	0.00186209	0.000207308	0.780964	0
Dichroplus_pratensis	2.19144e-008	1.23876	0.780964	0
N17	2.88833e-005	0.000120486	0.830701	1.39502e-012
Dichroplus_elongatus	2.00011e-006	1.87367e-007	0.00264928	0
N18	9.94051e-009	0.000431889	0.00263927	7.28547e-024
Dichroplus_paraelongatus	0	1.4632e-009	9.44369e-006	0
Dichroplus_patruelis	6.10112e-014	0.999556	0	0
N19	5.0268e-007	3.35137e-006	4.18584e-008	6.96369e-027
N20	5.90865e-007	0.00313187	1.23548e-008	1.00145e-026
Dichroplus_democraticus	0.00222565	0.000455172	1.00046	0
Dichroplus_silveiraguidoi	9.0256e-007	1.99686	1.3169e-006	0
N21	6.54431e-006	3.96253e-006	0.976427	1.73534e-014
N22	0.000108996	0.000109444	0.0233182	4.99679e-018
Dichroplus_exilis	5.31107e-009	7.88869e-008	0.000254835	0
Dichroplus_fuscus	5.31107e-009	7.88869e-008	0.000254835	0
N23	0.000103701	0.00010409	0.0212205	4.69767e-017
Dichroplus_schulzi	0.000108953	0.000109142	0.00235252	0
Diponthus_sp	0.000108953	0.000109142	0.00235252	0
N24	1.30046e-006	4.57366e-006	0.0383037	1.03031e-016
N25	0.00011679	0.0041103	0.0949551	3.30088e-014
Dichroplus_maculipennis	0.00377677	0.000540653	0.866768	1.40478e-008
Dichroplus_vittatus	2.19186e-007	1.14253	0.866767	0
Pseudoscopas_nigrigena	0.000708018	0.000804522	0.961723	4.07895e-013
N26	2.02932e-007	2.04435e-006	0.768957	9.1797e-016
N27	4.71137e-007	1.35571e-007	0.0374086	2.39479e-018
N28	0.00015297	0.00174505	0.177134	1.27779e-015
Dichromorpha_sp	0.00014066	0.000722353	0.0173129	2.13255e-013
N29	0.000113245	0.000352927	0.012294	4.01236e-014
Hyalopteryx_rufipennis	0.000125716	0.000381411	0.00501892	0
Leptysma_sp	0.000125716	0.000381411	0.00501892	0
N30	4.81793e-006	1.25376e-006	0.0286578	1.20192e-016
N31	0.000162586	0.000679662	0.122992	4.47074e-013
N32	0.000145262	0.000773415	0.0427943	5.28329e-012
Schistocerca_cancellata	0	1.47552e-008	3.25118e-006	0
Schistocerca_pallens	0	1.47552e-008	3.25118e-006	0
Schistocerca_flavofasciata	0.0001462	0.000778134	0.0427975	5.28305e-012
N33	0.00104602	0.00428266	0.164471	1.59762e-012
Zoniopoda_hempeli	0.000112103	0.000341837	0.00131843	0
N34	1.99844e-007	5.87377e-006	0.00124428	3.46976e-017
Zoniopoda_omnicolor	0.00010636	0.0001065	7.41504e-005	0
Zoniopoda_tarsata	0.00010636	0.0001065	7.41504e-005	0
N35	8.90756e-005	8.74421e-005	0.105388	1.9713e-017
N36	0.000102622	0.000307948	0.0882889	1.11829e-013
N37	0.000117709	0.000356523	0.034197	3.31714e-015
N38	0.000111482	0.00011478	0.00288324	8.25604e-017
N39	0.000138626	0.000397519	0.00107328	2.25682e-015
Marellia_remipes	0.00010922	0.000110836	2.50465e-005	0
Paulinia_acuminata	0.00010922	0.000110836	2.50465e-005	0
N40	0.0001103	0.00146721	0.000803964	1.85802e-017
Xyleus_insignis	0.00144921	0.000487111	0.00029436	0
