#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.54811
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.951467
Chlorus_bolivianus: 1.83744
Dichromatos_lilloanus: 0.843805
Leiotettix_pulcher: 0.789499
Scotussa_daguerrei: 0.78805
Ronderosia_sp: 0.936428
Dichroplus_vittatus: 1.83226
Leiotettix_flavipes: 0.903188
Dichroplus_patruelis: 0.993044
Dichroplus_pratensis: 1.07068
Dichroplus_silveiraguidoi: 1.99338
Tropidostethus_sp: 0.998931
Xyleus_laevipes: 0.997689
Total number of loss events: 15.3673
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.655175
N17: 0.52135
N22: 0.924789
Dichroplus_pratensis: 0.954604
Dichroplus_democraticus: 1.00112
N25: 0.950998
N28: 0.585347
N41: 0.738304
N43: 1.06216
Total number of duplication events: 10.6502
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000359507
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00155983	0.00183558	0.0636979	3.18561e-019
N3	0.0016362	0.00164403	0.00353424	5.35786e-022
N4	7.735e-008	1.29976e-007	0.237304	2.62714e-018
N5	1.34744e-007	0.0385055	0.655175	5.47602e-018
N6	2.24157e-005	0.0118488	0.0973677	9.63991e-019
N7	0.000168839	2.28382e-005	0.000667861	4.18514e-021
Atrachelacris_sp	0.00178422	0.951467	0.00948558	0
N8	0.0467999	0.0037742	0.00460719	2.83993e-012
Leiotettix_viridis	0.00168783	0.000952588	0.00487839	9.44394e-010
Pseudoscopas_nigrigena	0.00168783	0.000952588	0.00487839	9.44394e-010
N9	1.6163e-010	0.0148922	0.000183784	2.93788e-023
N10	1.68279e-005	0.0899041	0.00231335	2.19699e-019
Chlorus_bolivianus	8.54017e-009	1.83744	0.00765483	0
N11	0.000385973	0.00158883	0.00390302	4.94642e-012
Dichromatos_lilloanus	0.000160755	0.843805	0.00375118	0
N12	0.0190375	0.00193236	0.00308878	7.64375e-012
N13	9.88986e-005	0.0750131	0.00064243	8.66219e-014
N14	0.00249295	0.00104421	1.88624e-005	2.67499e-016
Leiotettix_pulcher	1.57311e-008	0.789499	1.10347e-006	0
Scotussa_lemniscata	0.198119	0.0247652	1.10347e-006	0
Scotussa_daguerrei	1.99878e-008	0.78805	1.99659e-005	0
Scotussa_impudica	0.134213	0.00596591	0.000662396	0
Ronderosia_sp	0.00178947	0.936428	0.00996819	0
N15	6.21299e-005	0.0600849	0.0369536	7.61778e-015
N16	0.00128938	0.00690861	0.00685823	1.36045e-013
Dichroplus_maculipennis	0.0994001	0.00428374	0.0637094	0
Dichroplus_vittatus	7.12584e-007	1.83226	0.0637094	0
Leiotettix_flavipes	0.00238257	0.903188	0.0705676	0
N17	0.000188827	0.000265948	0.52135	1.56505e-012
Dichroplus_elongatus	0.00037186	0.000834702	0.241346	3.16276e-011
N18	0.000236279	0.00763953	0.240934	3.12673e-011
Dichroplus_paraelongatus	0.00695569	5.08184e-007	0.000412139	0
Dichroplus_patruelis	7.97501e-010	0.993044	0.000412139	0
N19	7.93692e-007	5.10179e-007	2.48702e-006	4.32001e-026
N20	0.000235359	0.000594278	3.57797e-006	3.93543e-026
N21	7.61405e-006	0.000834874	0.0453991	2.33128e-015
N22	0.00118694	3.61796e-005	0.924789	5.28945e-009
N23	8.01421e-007	2.32341e-006	0.0225131	6.00012e-014
Dichromorpha_sp	6.77241e-008	9.04656e-007	0.00730175	0
Leptysma_sp	6.77241e-008	9.04656e-007	0.00730175	0
Dichroplus_conspersus	1.28253e-007	2.3883e-006	0.0298148	0
Dichroplus_pratensis	6.81017e-007	1.07068	0.954604	0
N24	0.000252291	0.00648773	3.40298e-007	6.69574e-024
Dichroplus_democraticus	0.00437576	0.00111104	1.00112	3.92839e-012
Dichroplus_silveiraguidoi	5.92779e-006	1.99338	7.35772e-006	0
N25	0.000469886	0.000472822	0.950998	1.79968e-013
N26	6.54867e-007	1.43729e-005	0.0489504	9.85159e-016
Dichroplus_exilis	3.32747e-009	5.33707e-008	5.75111e-005	0
Dichroplus_fuscus	3.32747e-009	5.33707e-008	5.75111e-005	0
Dichroplus_schulzi	6.1323e-007	1.43833e-005	0.0490079	0
N27	8.86291e-007	2.71599e-006	0.0494496	3.64834e-014
N28	0.000233014	0.000245921	0.585347	6.62515e-014
N29	1.93306e-006	3.63624e-006	0.0607494	3.21706e-013
N30	4.33626e-006	4.74042e-006	0.132046	1.33315e-014
N31	0.000119062	0.000327426	0.0713053	4.8391e-013
Diponthus_sp	0.000924959	0.00396762	0.104595	4.7284e-011
Xyleus_modestus	0.000924959	0.00396762	0.104595	4.7284e-011
N32	2.37781e-005	0.000243881	0.149271	4.16455e-014
N33	2.01744e-006	1.30702e-005	0.016416	2.26265e-014
N34	5.58779e-006	4.24792e-006	0.00603581	1.48628e-016
N35	8.70179e-006	1.05241e-005	0.00255372	2.97102e-015
Marellia_remipes	9.36615e-007	0.000286282	0.00162352	0
Prionolopha_serrata	9.36615e-007	0.000286282	0.00162352	0
Paulinia_acuminata	0.000463559	0.000780724	0.00417724	8.29098e-015
N36	2.82437e-006	0.00257686	0.00976427	1.15506e-016
N37	0.00183508	0.000228697	0.000424587	1.96073e-015
N38	2.59383e-006	0.00069134	1.96268e-005	1.24358e-016
Ommexecha_sp	0.00102973	7.95094e-005	4.58224e-006	0
Tropidostethus_sp	8.14192e-011	0.998931	4.58225e-006	0
Xyleus_insignis	0.000368808	2.53987e-005	2.42091e-005	0
Xyleus_laevipes	6.17784e-007	0.997689	0.000448798	0
Ommatolampis_sp	0.000891649	0.00378349	0.0266291	8.76726e-014
N39	0.00135814	0.0060351	0.307155	8.40879e-009
Zoniopoda_hempeli	7.37715e-008	3.90502e-006	0.000791652	0
N40	1.78223e-007	3.25063e-006	0.000419728	6.43941e-018
Zoniopoda_omnicolor	1.21194e-008	7.62501e-007	0.000371924	0
Zoniopoda_tarsata	1.21194e-008	7.62501e-007	0.000371924	0
Hyalopteryx_rufipennis	0.00247534	0.0104007	0.368709	2.44423e-012
N41	0.00119424	0.00249856	0.738304	8.79863e-008
N42	0.000481487	0.00118257	0.215679	9.51628e-010
Schistocerca_cancellata	7.66002e-009	2.24869e-007	7.83192e-005	0
Schistocerca_pallens	7.66002e-009	2.24869e-007	7.83192e-005	0
