#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.900115
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.9995
Dichromatos_lilloanus: 1.00054
Leiotettix_pulcher: 0.998525
Scotussa_daguerrei: 0.997001
Chlorus_bolivianus: 1.50764
Tropidostethus_sp: 0.543381
Dichroplus_vittatus: 1.52063
Ronderosia_sp: 0.617155
Leiotettix_flavipes: 0.619559
Dichroplus_silveiraguidoi: 1.99561
Dichroplus_pratensis: 1.01998
Dichroplus_patruelis: 0.998041
Xyleus_laevipes: 0.996368
Total number of loss events: 14.3498
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.85039
Dichroplus_conspersus: 0.533627
Ommatolampis_sp: 0.533627
Dichroplus_democraticus: 1.00053
Dichroplus_pratensis: 1
N27: 0.625247
N29: 0.594206
N31: 0.674829
Xyleus_modestus: 0.50191
N41: 0.72145
N43: 0.980584
Total number of duplication events: 12.1855
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.19346e-008
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000132383	0.000538335	0.0155726	1.03616e-022
N3	0.000139437	0.00050937	0.00209524	1.03651e-021
N4	0.000309567	0.000782143	0.000924645	7.8573e-022
N5	1.55094e-007	0.00160785	0.85039	1.08913e-016
N6	0.000435595	2.64275e-005	0.119894	3.56133e-014
N7	2.05452e-005	0.000327915	0.0154304	7.38629e-016
N8	0.00143356	2.02357e-005	0.0139078	2.96459e-016
N9	7.67951e-007	0.000407373	0.000160757	4.05019e-017
Atrachelacris_sp	1.30477e-007	0.9995	0.00022067	0
Pseudoscopas_nigrigena	0.000500477	8.67886e-007	0.00022067	0
N10	9.4548e-005	1.89683e-006	0.000298682	2.01181e-016
Leiotettix_viridis	8.99752e-007	2.84894e-006	8.27776e-005	0
Paulinia_acuminata	8.99752e-007	2.84894e-006	8.27776e-005	0
Dichromatos_lilloanus	0.00205142	1.00054	0.0142892	0
N11	9.8487e-005	0.0019078	0.0268373	3.57443e-016
N12	0.003006	7.96301e-006	0.00284304	1.01726e-015
N13	5.06947e-007	7.65299e-007	1.99033e-005	1.3339e-018
N14	1.52624e-007	0.00147317	2.16961e-005	5.01671e-021
Leiotettix_pulcher	2.56161e-011	0.998525	6.21415e-007	0
Scotussa_lemniscata	0.00147451	1.49119e-007	6.21415e-007	0
Scotussa_impudica	1.49424e-006	1.22597e-007	2.23175e-005	0
Marellia_remipes	1.55431e-006	3.84013e-007	4.22208e-005	0
Scotussa_daguerrei	1.25495e-006	0.997001	0.00288526	0
N15	8.26845e-008	0.357563	0.0130043	1.86921e-019
Chlorus_bolivianus	2.91466e-008	1.50764	0.131849	0
N16	7.65705e-005	0.0169064	0.0618714	5.65767e-013
N17	0.00153905	0.00636652	0.0472836	8.53696e-014
N18	0.000251862	0.0768119	0.00551961	2.13192e-016
N19	0.00750164	0.000921831	0.0145853	1.13724e-010
Dichroplus_maculipennis	0.456669	1.73043e-006	0.00150053	0
Tropidostethus_sp	5.86421e-005	0.543381	0.00150053	0
Dichroplus_vittatus	1.26989e-007	1.52063	0.0160859	0
N20	0.00453443	0.000838054	0.0134449	2.57228e-012
Ommexecha_sp	0.383098	0.000265843	0.00816062	0
Ronderosia_sp	0.000159119	0.617155	0.00816062	0
Leiotettix_flavipes	0.00144064	0.619559	0.0688891	0
N21	1.8902e-007	1.22299e-006	6.77213e-006	3.64459e-026
N22	1.03072e-008	1.56171e-005	3.91119e-008	7.50509e-031
N23	2.36795e-006	1.63132e-007	1.15878e-009	2.70396e-027
N24	1.80002e-005	6.27894e-007	0.466374	1.2281e-013
Dichroplus_conspersus	0.000811058	0.000954347	0.533627	0
Ommatolampis_sp	0.000811058	0.000954347	0.533627	0
