#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.450519
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.748539
N9: 0.679259
Leiotettix_pulcher: 0.959741
Scotussa_daguerrei: 0.749082
Dichroplus_pratensis: 1.10202
Dichroplus_silveiraguidoi: 1.99529
Dichroplus_patruelis: 0.997895
Chlorus_bolivianus: 1.04098
Leiotettix_flavipes: 1.00097
Xyleus_laevipes: 0.896359
Tropidostethus_sp: 0.896404
Total number of loss events: 11.6775
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.988583
Dichroplus_conspersus: 0.910546
Dichroplus_pratensis: 0.910546
Dichroplus_democraticus: 1.00066
N17: 0.650191
Chlorus_bolivianus: 0.984121
Leiotettix_viridis: 0.984121
Leiotettix_flavipes: 0.687975
N27: 0.730284
N41: 1.05345
N43: 0.861383
Total number of duplication events: 13.6091
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.6503e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N26:ML=12 to Dichroplus_vittatus:ML=10  ProbOfChange = 0.999946  sum expections= 7.70747e-007
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.000130202	0.000132101	0.034497	4.265e-021
N3	0.00100387	0.00105018	0.0466447	3.27094e-018
N4	0.000961963	0.000984174	0.00751332	1.41153e-019
N5	8.15157e-007	4.85242e-006	0.000214459	7.05872e-026
N6	9.22239e-007	1.12952e-007	5.52602e-007	6.89665e-027
N7	2.92513e-007	0.251619	0.988583	1.58339e-019
Atrachelacris_sp	0.000158055	0.748539	0.0114173	0
N8	2.48398e-005	0.00230347	0.00772484	1.53643e-018
N9	2.14668e-006	0.679259	0.0036138	2.23386e-018
Dichromatos_lilloanus	0.000248814	0.0670814	6.64408e-005	0
Ronderosia_sp	0.000248814	0.0670814	6.64408e-005	0
N10	0.00308152	0.000240855	0.00186488	4.35893e-018
N11	0.213027	0.000190645	0.00148828	4.27874e-012
N12	0.00118905	0.00375872	0.000324631	2.15909e-013
Leiotettix_pulcher	2.00775e-009	0.959741	2.451e-006	0
Scotussa_lemniscata	0.0402587	6.75125e-007	2.451e-006	0
Scotussa_impudica	0.0363328	0.00352707	0.000327082	0
Scotussa_daguerrei	0.000150456	0.749082	0.00181536	0
N13	3.84274e-007	3.1169e-007	1.62456e-007	3.84475e-027
N14	1.1881e-006	0.000274149	2.29638e-008	4.67212e-026
N15	8.5084e-006	0.00322301	0.0894542	9.86355e-016
Dichroplus_conspersus	0.0042898	0.00103498	0.910546	0
Dichroplus_pratensis	3.47148e-006	1.10202	0.910546	0
N16	7.07037e-006	0.00443898	1.36175e-008	3.09281e-024
