#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.827156
Total number of gain events: 1.49151
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.934463
Chlorus_bolivianus: 1.31533
Dichroplus_vittatus: 1.16268
Dichromatos_lilloanus: 0.620058
Leiotettix_pulcher: 0.88176
Scotussa_daguerrei: 0.637828
Dichroplus_pratensis: 1.63541
Dichroplus_silveiraguidoi: 1.99482
Dichroplus_patruelis: 0.997334
Tropidostethus_sp: 1.0047
Xyleus_laevipes: 0.997818
Total number of loss events: 13.4919
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.993457
Dichroplus_conspersus: 0.797758
N21: 0.622065
Dichroplus_democraticus: 1.00055
N23: 0.942166
N25: 0.988797
N27: 1.00349
N29: 0.87651
N43: 1.02392
Total number of duplication events: 9.19923
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 7.34663e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00113453	0.0013681	0.0329032	1.03489e-018
N3	0.000282669	0.000255159	0.00237151	9.38142e-019
N4	0.00247428	0.00250888	0.00546786	3.07767e-018
N5	0.000236755	0.000266421	0.000365769	7.78051e-020
N6	1.82041e-006	6.51608e-006	4.60783e-005	7.38675e-023
N7	3.30554e-006	0.0717849	0.993457	7.86218e-015
N8	0.00712182	0.000909253	0.00582756	6.84156e-014
Atrachelacris_sp	3.93363e-005	0.934463	0.000721285	0
N9	0.0640213	0.000143209	0.000439973	2.43179e-012
Leiotettix_viridis	0.00209869	0.000865489	0.000281309	3.42812e-011
Pseudoscopas_nigrigena	0.00209869	0.000865489	0.000281309	3.42812e-011
N10	2.22314e-007	0.307353	0.00537752	1.5861e-022
N11	1.06063e-007	0.304412	3.23399e-005	5.07888e-025
Chlorus_bolivianus	1.80074e-008	1.31533	0.00112286	0
N12	6.09403e-005	0.151385	0.000980465	1.87162e-015
N13	0.000349441	0.00955562	7.14538e-005	2.77807e-015
N14	0.013291	0.00645372	1.71457e-005	1.58758e-014
Dichroplus_maculipennis	0.827156	5.91046e-005	5.24871e-005	0
Dichroplus_vittatus	7.74237e-007	1.16268	5.24871e-005	0
Ronderosia_sp	0.000241773	0.156138	6.96325e-005	0
Leiotettix_flavipes	0.000475845	0.165576	0.000141089	0
N15	0.00045204	0.0016576	0.00072824	8.25186e-020
Dichromatos_lilloanus	0.000404065	0.620058	0.000443051	0
N16	0.0185528	0.000543173	0.00038009	9.41044e-015
N17	0.244182	0.000200694	4.12582e-005	4.1071e-012
N18	0.00524394	0.00578867	2.16273e-005	7.12026e-011
Leiotettix_pulcher	6.4519e-009	0.88176	7.40142e-008	0
Scotussa_lemniscata	0.118241	6.33149e-007	7.40142e-008	0
