#Nodes with GAIN events with expectation above 0.5
N5: 0.53629
Coptotermes_acinaciformis: 0.638788
N33: 0.544491
Incisitermes_sp: 0.537082
Neotermes_insularis: 0.630664
N42: 0.624497
Cryptotermes_queenslandis: 1.00512
Cryptotermes_cynocephalus: 1.28323
Procryptotermes_australiensis: 1.74268
N48: 0.807416
Stolotermes_sp: 0.827087
Porotermes_adamsoni: 1.32044
Mastotermes_darwiniensis: 1.30831
Total number of gain events: 18.0865
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.93253
Coptotermes_acinaciformis: 0.540017
Schedorhinotermes_lamanianus: 1.83193
Bifiditermes_improbus: 3.0158
N40: 0.947515
Cryptotermes_primus: 4.29775
Cryptotermes_brevis: 1.54752
Cryptotermes_domesticus: 1.81676
Kalotermes_flavicollis: 1.59977
N49: 4.29187
Stolotermes_sp: 0.628019
N50: 2.00841
Porotermes_adamsoni: 1.6006
Mastotermes_darwiniensis: 2.51183
Total number of loss events: 36.0156
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.542951
N50: 0.7279
Mastotermes_darwiniensis: 0.999135
Total number of duplication events: 2.42484
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0505559	0.150781	6.33163e-015	0
N3	0.0230835	0.0884182	9.77903e-017	0
N4	0.447169	0.115522	1.42675e-012	0
N5	0.53629	0.164439	9.97627e-017	0
N6	0.137375	0.0473146	1.70556e-023	0
N7	0.0201096	0.0158189	4.65236e-026	0
N8	0.0477041	0.0516473	9.4906e-027	0
N9	0.0176052	0.0248192	3.70609e-029	0
N10	0.0128071	0.0145153	4.64209e-036	0
N11	0.0123353	0.0116181	1.51547e-036	0
N12	0.00981877	0.00965111	7.48765e-036	0
Amitermes_darwini	0.0146243	0.0153918	0	0
Amitermes_germanus	0.0146243	0.0153918	0	0
N13	0.00199583	0.00172547	1.22422e-034	0
Amitermes_parvus	0.0330999	0.0339704	0	0
Drepanotermes_septentrionalis	0.0330999	0.0339704	0	0
N14	0.00413048	0.00889827	5.94318e-035	0
N15	0.0180977	0.0130438	1.74213e-038	0
N16	0.000899665	0.000910133	6.32642e-037	0
Ephelotermes_melachoma	0.0138862	0.0140445	0	0
N17	0.00157291	0.00156232	1.23464e-039	0
Ephelotermes_taylori	0.00668941	0.00685837	0	0
Macrognathotermes_sunteri	0.00668941	0.00685837	0	0
Lophotermes_septentrionalis	0.0205341	0.0207029	0	0
N18	0.00634422	0.0756621	1.49157e-036	0
Procubitermes_sp	0.00673675	1.93253	0	0
N19	0.0827113	0.0110702	1.62355e-033	0
Tuberculitermes_bycanistes	0.00849846	0.00593684	0	0
Unguitermes_sp	0.00849846	0.00593684	0	0
N20	0.00246276	0.00276875	5.06516e-035	0
N21	0.00254103	0.00233039	2.20896e-035	0
