#Nodes with GAIN events with expectation above 0.5
N4: 0.939764
Neotermes_insularis: 5.42795
N41: 0.913726
Cryptotermes_queenslandis: 0.994545
Cryptotermes_cynocephalus: 1.97058
N45: 1.08458
Procryptotermes_australiensis: 2.89452
N47: 0.795386
Glyptotermes_brevicornis: 0.56116
Glyptotermes_iridipennis: 0.56116
Stolotermes_sp: 0.836642
Mastotermes_darwiniensis: 1.82287
Porotermes_adamsoni: 1.17926
Total number of gain events: 25.0186
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.96454
Schedorhinotermes_lamanianus: 1.8103
Bifiditermes_improbus: 2.06191
Neotermes_insularis: 0.675051
N39: 0.603605
Cryptotermes_primus: 2.69068
Cryptotermes_brevis: 1.31914
Cryptotermes_domesticus: 3.87977
Kalotermes_flavicollis: 3.72815
N48: 4.07988
N49: 1.33295
Mastotermes_darwiniensis: 2.08591
Porotermes_adamsoni: 1.0158
Total number of loss events: 31.8128
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.999681
N49: 0.523249
Mastotermes_darwiniensis: 0.999999
Total number of duplication events: 2.57788
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0812522	0.235915	4.52715e-020	0
N3	0.417872	0.0371729	4.1723e-014	0
N4	0.939764	0.0902337	2.94851e-017	0
N5	0.199162	0.0201705	4.01675e-024	0
N6	0.0669309	0.0288329	3.57652e-034	0
N7	0.00559086	0.00687665	7.19209e-042	0
N8	0.0157109	0.0137716	6.19971e-043	0
N9	0.0328858	0.0328078	1.05701e-035	0
Amitermes_darwini	0.00509971	0.00515366	0	0
Amitermes_germanus	0.00509971	0.00515366	0	0
N10	0.00246578	0.00234225	1.58807e-033	0
Amitermes_parvus	0.0490569	0.0491564	0	0
Drepanotermes_septentrionalis	0.0490569	0.0491564	0	0
N11	0.000195895	0.0018172	1.03804e-039	0
N12	0.00422688	0.0527467	6.48073e-037	0
N13	0.0694997	0.0185231	1.18803e-035	0
N14	0.00176478	0.000822708	7.31161e-038	0
N15	0.00689536	0.00669517	8.67342e-037	0
Cubitermes_sp	0.00510669	0.00512064	0	0
Ephelotermes_melachoma	0.00510669	0.00512064	0	0
N16	0.00229669	0.00211252	3.0714e-037	0
Ephelotermes_taylori	0.0108426	0.0108405	0	0
Macrognathotermes_sunteri	0.0108426	0.0108405	0	0
Lophotermes_septentrionalis	0.0265829	0.0254544	0	0
Procubitermes_sp	0.016647	1.96454	0	0
N17	0.0921796	0.0885753	1.97647e-033	0
Tuberculitermes_bycanistes	0.0022626	0.00228174	0	0
Unguitermes_sp	0.0022626	0.00228174	0	0
N18	0.00078049	0.000437372	4.07584e-038	0
N19	0.0168598	0.0160876	1.006e-037	0
Crenetermes_albotarsalis	0.101811	0.102249	0	0
Thoracotermes_macrothorax	0.101811	0.102249	0	0
N20	0.00287333	0.00263462	6.99477e-037	0
N21	0.0846654	0.0845185	2.07345e-035	0
N22	0.00104793	0.00107675	2.73542e-038	0
Microcerotermes_boreus	0.00509648	0.00511857	0	0
Pericapritermes_sp	0.00509648	0.00511857	0	0
Microcerotermes_nervosus	0.00862754	0.00867855	0	0
N23	0.0801049	0.0799656	1.8414e-035	0
N24	0.00112209	0.00114396	2.46451e-037	0
Nasutitermes_graveolus	0.0059637	0.00598512	0	0
