#Nodes with GAIN events with expectation above 0.5
N4: 0.684274
N41: 0.544852
Cryptotermes_cynocephalus: 1.76268
Procryptotermes_australiensis: 1.04085
Neotermes_insularis: 2.86967
Stolotermes_sp: 0.683374
Porotermes_adamsoni: 1.01977
Total number of gain events: 14.3176
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 2.01801
Schedorhinotermes_lamanianus: 1.99472
Bifiditermes_improbus: 2.62908
Cryptotermes_austrinus: 0.631333
Cryptotermes_primus: 3.63253
Cryptotermes_brevis: 2.3468
Cryptotermes_domesticus: 3.19603
Kalotermes_flavicollis: 1.84887
N49: 4.25919
N50: 2.21949
Mastotermes_darwiniensis: 1.92315
Porotermes_adamsoni: 1.14188
Total number of loss events: 32.3318
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N50: 0.850454
Mastotermes_darwiniensis: 0.999999
Total number of duplication events: 2.50894
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0477201	0.11927	7.74776e-017	0
N3	0.0525907	0.179941	7.78517e-016	0
N4	0.684274	0.076177	3.46243e-013	0
N5	0.42988	0.0358971	1.55025e-020	0
N6	0.0611641	0.0089635	7.21057e-025	0
N7	0.0512779	0.0288803	7.71992e-029	0
N8	0.00570023	0.00539489	1.82553e-032	0
N9	0.00542313	0.00611346	1.39567e-040	0
N10	0.00585684	0.0129362	9.33782e-038	0
N11	0.0205609	0.0129395	3.74395e-036	0
N12	0.00946181	0.00923141	6.48917e-035	0
Amitermes_darwini	0.00874401	0.00907545	0	0
Amitermes_germanus	0.00874401	0.00907545	0	0
N13	0.00946374	0.00923467	6.25736e-035	0
Amitermes_parvus	0.00873728	0.00906737	0	0
Drepanotermes_septentrionalis	0.00873728	0.00906737	0	0
N14	0.000235207	0.00601749	1.29244e-036	0
Procubitermes_sp	0.0313136	2.01801	0	0
N15	0.0680488	0.0546875	1.91073e-033	0
Tuberculitermes_bycanistes	0.000909487	0.000967919	0	0
Unguitermes_sp	0.000909487	0.000967919	0	0
N16	0.0332208	0.0322251	1.65059e-037	0
N17	0.00186896	0.00221603	1.70896e-034	0
N18	0.000760592	0.000756192	1.56808e-038	0
Ephelotermes_melachoma	0.0126775	0.0128897	0	0
