#Nodes with GAIN events with expectation above 0.5
N5: 1.39434
N38: 0.592165
Neotermes_insularis: 1.99377
N40: 0.565365
Cryptotermes_austrinus: 0.620696
N42: 0.974493
Cryptotermes_cynocephalus: 1.8634
Procryptotermes_australiensis: 2.76545
N48: 1.18613
Glyptotermes_brevicornis: 0.549999
Glyptotermes_iridipennis: 0.549999
Stolotermes_sp: 0.957977
Mastotermes_darwiniensis: 2.3136
Porotermes_adamsoni: 1.98404
Total number of gain events: 24.8868
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.7249
Schedorhinotermes_lamanianus: 1.83038
N38: 0.641235
Bifiditermes_improbus: 2.28952
N40: 0.522237
N41: 0.698976
Cryptotermes_brevis: 2.23179
Cryptotermes_domesticus: 0.815355
Kalotermes_flavicollis: 3.79293
N49: 4.07014
Stolotermes_sp: 0.73373
N50: 2.07329
Mastotermes_darwiniensis: 3.0886
Porotermes_adamsoni: 2.00133
Total number of loss events: 33.7342
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.991541
N50: 0.789894
Mastotermes_darwiniensis: 0.999645
Total number of duplication events: 2.89434
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N41:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 0.999999  sum expections= 0.270115
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.110244	0.200392	6.1909e-013	0
N3	0.117484	0.361351	5.5957e-013	0
N4	0.423756	0.108227	4.12771e-010	0
N5	1.39434	0.440576	2.88198e-013	0
N6	0.0659397	0.0194431	4.69578e-025	0
N7	0.00493675	0.00350727	1.22066e-037	0
N8	0.00700206	0.00854434	2.08874e-043	0
N9	0.0294651	0.0270498	3.76811e-037	0
N10	0.0180573	0.0186885	1.06987e-034	0
N11	0.000594318	0.000639431	8.17354e-036	0
Amitermes_darwini	0.0152204	0.0155177	0	0
Amitermes_germanus	0.0152204	0.0155177	0	0
Pericapritermes_sp	0.0192215	0.0195639	0	0
N12	0.0171377	0.0169857	8.42283e-032	0
Amitermes_parvus	0.0257422	0.0268678	0	0
Drepanotermes_septentrionalis	0.0257422	0.0268678	0	0
N13	0.00122653	0.0039577	2.32559e-034	0
N14	0.057605	0.0529097	3.26478e-034	0
N15	0.00299357	0.003321	1.35287e-036	0
Ephelotermes_melachoma	0.018775	0.0189703	0	0
N16	0.000251506	0.000248426	7.88211e-039	0
Ephelotermes_taylori	0.0173398	0.0175382	0	0
Macrognathotermes_sunteri	0.0173398	0.0175382	0	0
Lophotermes_septentrionalis	0.0331606	0.0336833	0	0
N17	0.0698231	0.342779	2.22464e-035	0
Procubitermes_sp	0.00203335	1.7249	0	0
N18	0.281854	0.00806102	6.05009e-033	0
Tuberculitermes_bycanistes	0.00419688	0.000872391	0	0
Unguitermes_sp	0.00419688	0.000872391	0	0
N19	0.000435457	0.00026804	1.68084e-038	0
N20	0.00450125	0.00356841	1.55006e-034	0
N21	0.0323882	0.0309802	4.63825e-033	0
Crenetermes_albotarsalis	0.0845478	0.0871566	0	0
N22	0.0100336	0.0100975	5.22918e-030	0
