#Nodes with GAIN events with expectation above 0.5
Coptotermes_acinaciformis: 0.575111
Neotermes_insularis: 4.01839
Cryptotermes_queenslandis: 0.657115
Incisitermes_sp: 1.12928
Cryptotermes_cynocephalus: 1.65209
Procryptotermes_australiensis: 3.25445
N48: 0.531373
N49: 0.532622
N50: 3.30934
Mastotermes_darwiniensis: 2.61045
Porotermes_adamsoni: 1.19211
Total number of gain events: 27.8822
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 0.636533
N5: 0.607247
Procubitermes_sp: 1.74392
Coptotermes_acinaciformis: 0.505568
Schedorhinotermes_lamanianus: 2.05602
N35: 0.689967
Bifiditermes_improbus: 3.13819
Neotermes_insularis: 0.650354
Cryptotermes_austrinus: 0.515058
N42: 0.834914
Cryptotermes_brevis: 2.49865
Cryptotermes_domesticus: 2.73637
Kalotermes_flavicollis: 3.87256
N49: 0.726523
Stolotermes_sp: 5.18756
N50: 0.542068
Mastotermes_darwiniensis: 2.01224
Porotermes_adamsoni: 3.28371
Total number of loss events: 39.8937
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.912204
Mastotermes_darwiniensis: 0.997206
Total number of duplication events: 2.02444
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N42:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 0.999998  sum expections= 0.0106363
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.054377	0.0481531	8.8056e-014	0
N3	0.145767	0.636533	6.0089e-014	0
N4	0.0736181	0.386441	5.98913e-012	0
N5	0.341041	0.607247	2.67379e-015	0
N6	0.092953	0.100962	5.6932e-022	0
N7	0.0264758	0.0385033	1.13034e-025	0
N8	0.00168607	0.00243557	6.15868e-031	0
N9	0.0138293	0.0181348	4.55632e-034	0
N10	0.0101183	0.0174523	1.16685e-030	0
N11	0.0573419	0.0483014	8.46657e-030	0
N12	0.0440862	0.0457219	1.1467e-028	0
Amitermes_darwini	0.0276849	0.0305306	0	0
Amitermes_germanus	0.0276849	0.0305306	0	0
N13	0.0542028	0.0569028	7.82485e-030	0
Amitermes_parvus	0.015436	0.0172173	0	0
Drepanotermes_septentrionalis	0.015436	0.0172173	0	0
N14	0.107982	0.372224	3.94613e-031	0
Procubitermes_sp	0.012722	1.74392	0	0
N15	0.270273	0.011518	2.38456e-027	0
Tuberculitermes_bycanistes	0.0153512	0.00531199	0	0
Unguitermes_sp	0.0153512	0.00531199	0	0
N16	0.0706294	0.0672445	5.05354e-031	0
N17	0.0272699	0.0312076	5.99466e-028	0
N18	2.90565e-005	3.18367e-005	2.98595e-041	0
Ephelotermes_melachoma	0.0437716	0.0459909	0	0
Macrognathotermes_sunteri	0.0437716	0.0459909	0	0
Ephelotermes_taylori	0.0439538	0.0461758	0	0
Lophotermes_septentrionalis	0.118631	0.124791	0	0
N19	0.105256	0.0992141	5.08455e-030	0
Crenetermes_albotarsalis	0.151871	0.164994	0	0
N20	0.0429505	0.0471659	3.25834e-024	0
Cubitermes_sp	0.0625419	0.0714488	0	0
Thoracotermes_macrothorax	0.0625419	0.0714488	0	0
N21	0.0575615	0.0547384	2.9535e-032	0
N22	0.0388071	0.0406614	1.39982e-025	0
