#Nodes with GAIN events with expectation above 0.5
N4: 0.929139
Neotermes_insularis: 3.06425
N42: 0.545101
Cryptotermes_queenslandis: 0.854392
Procryptotermes_australiensis: 2.58361
Cryptotermes_cynocephalus: 1.7614
Incisitermes_sp: 0.866338
Glyptotermes_brevicornis: 0.571001
Glyptotermes_iridipennis: 0.571001
Stolotermes_sp: 0.735036
N50: 0.534717
Mastotermes_darwiniensis: 1.83847
Porotermes_adamsoni: 1.52702
Total number of gain events: 21.635
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.82176
Schedorhinotermes_lamanianus: 1.96403
Bifiditermes_improbus: 2.83647
N41: 0.871618
Cryptotermes_primus: 1.42408
Cryptotermes_brevis: 1.98939
Cryptotermes_domesticus: 0.918577
Kalotermes_flavicollis: 1.44826
N49: 3.55111
Stolotermes_sp: 1.03116
N50: 1.83821
Mastotermes_darwiniensis: 2.06968
Porotermes_adamsoni: 1.7629
Total number of loss events: 30.2701
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N50: 0.692101
Mastotermes_darwiniensis: 0.999872
Total number of duplication events: 2.24153
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0493536	0.0853099	1.48052e-013	0
N3	0.073016	0.284067	7.95907e-014	0
N4	0.929139	0.337443	1.39976e-011	0
N5	0.347718	0.0677758	3.17685e-020	0
N6	0.143038	0.0189102	3.69006e-026	0
N7	0.0161677	0.00652155	3.67267e-028	0
N8	0.032823	0.0257816	3.38566e-031	0
N9	0.00398375	0.00407249	1.39448e-031	0
N10	0.00962898	0.0110079	5.98949e-037	0
N11	0.00625388	0.00543893	4.97265e-038	0
N12	0.0254363	0.0258787	2.89355e-037	0
N13	0.00173575	0.00188182	1.404e-034	0
Amitermes_darwini	0.000800291	0.00082711	0	0
Protermes_sp	0.000800291	0.00082711	0	0
N14	0.00195961	0.00211379	1.5691e-034	0
Amitermes_germanus	0.000565386	0.000584098	0	0
Microtermes_sp	0.000565386	0.000584098	0	0
N15	0.00219308	0.00188874	2.14297e-034	0
Amitermes_parvus	0.04599	0.0469102	0	0
Drepanotermes_septentrionalis	0.04599	0.0469102	0	0
N16	0.001382	0.00304306	8.51354e-037	0
N17	0.00895408	0.00682936	5.13959e-038	0
N18	0.00174569	0.00172352	6.71952e-037	0
Ephelotermes_melachoma	0.0285619	0.0288483	0	0
N19	0.00146792	0.00135816	2.51219e-038	0
Ephelotermes_taylori	0.0214118	0.0218081	0	0
Macrognathotermes_sunteri	0.0214118	0.0218081	0	0
Lophotermes_septentrionalis	0.0394215	0.0396857	0	0
N20	0.0401556	0.216979	1.2003e-032	0
Procubitermes_sp	0.000440092	1.82176	0	0
