#Nodes with GAIN events with expectation above 0.5
Neotermes_insularis: 2.53978
N40: 0.634776
Cryptotermes_queenslandis: 0.54919
Cryptotermes_cynocephalus: 1.8714
Procryptotermes_australiensis: 3.48688
N47: 0.738909
N49: 2.40019
Zootermopsis_angusticollis: 0.589793
Zootermopsis_nevadensis: 0.589793
N50: 0.697476
Mastotermes_darwiniensis: 1.5291
Total number of gain events: 23.2851
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.82428
Schedorhinotermes_lamanianus: 1.94836
N34: 0.645122
Bifiditermes_improbus: 2.61681
Cryptotermes_austrinus: 0.536517
Cryptotermes_primus: 4.14999
Cryptotermes_brevis: 2.15288
Cryptotermes_domesticus: 3.71659
Kalotermes_flavicollis: 3.56169
N48: 0.613408
Stolotermes_sp: 4.22557
Mastotermes_darwiniensis: 0.962182
Porotermes_adamsoni: 2.10734
Total number of loss events: 36.4171
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.986079
Mastotermes_darwiniensis: 0.829473
Total number of duplication events: 1.89219
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.112196	0.361809	4.38119e-016	0
N3	0.067132	0.244097	1.03389e-013	0
N4	0.304781	0.282385	3.7533e-017	0
N5	0.0934938	0.0547967	3.9248e-023	0
N6	0.0223673	0.0203092	1.73143e-033	0
N7	0.000754031	0.000430418	2.19196e-035	0
N8	0.0177296	0.0145204	6.70426e-036	0
N9	0.0432202	0.0425387	8.45383e-030	0
N10	0.0458213	0.0472984	2.94861e-030	0
Amitermes_darwini	0.0357766	0.0383734	0	0
Amitermes_germanus	0.0357766	0.0383734	0	0
N11	0.0239383	0.0238839	9.39067e-030	0
Amitermes_parvus	0.0744719	0.0786003	0	0
Drepanotermes_septentrionalis	0.0744719	0.0786003	0	0
Pericapritermes_sp	0.270186	0.273578	0	0
N12	0.0204967	0.0174549	1.65769e-038	0
N13	0.00199222	0.00172255	5.30135e-030	0
N14	0.0784551	0.0794507	2.06422e-034	0
Crenetermes_albotarsalis	0.0635572	0.0660572	0	0
N15	0.00430616	0.00463187	5.05614e-030	0
Cubitermes_sp	0.0452805	0.0474547	0	0
Thoracotermes_macrothorax	0.0452805	0.0474547	0	0
N16	0.173992	0.177345	5.08261e-035	0
Nasutitermes_graveolus	0.00580719	0.00594958	0	0
N17	0.000416497	0.000531341	7.82418e-039	0
N18	0.000377958	0.000392976	4.93582e-035	0
Nasutitermes_longipennis	0.00164881	0.0016613	0	0
Tumulitermes_pastinator	0.00164881	0.0016613	0	0
Nasutitermes_triodiae	0.0035031	0.0035306	0	0
