#Nodes with GAIN events with expectation above 0.5
N4: 0.791451
N5: 0.637486
Macrotermes_bellicosus: 0.569393
Coptotermes_acinaciformis: 0.594055
Neotermes_insularis: 2.78482
N42: 0.645763
Incisitermes_sp: 0.824275
Cryptotermes_queenslandis: 1.0328
Procryptotermes_australiensis: 2.33633
Cryptotermes_cynocephalus: 1.94761
N48: 0.868526
N49: 0.628749
Stolotermes_sp: 0.759451
N50: 1.66211
Mastotermes_darwiniensis: 3.25261
Porotermes_adamsoni: 2.54078
Total number of gain events: 29.9777
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 1.10538
N4: 0.670127
Procubitermes_sp: 1.80644
Macrotermes_bellicosus: 0.554237
Schedorhinotermes_lamanianus: 1.93462
N35: 0.532974
Bifiditermes_improbus: 2.669
N41: 0.6068
Cryptotermes_primus: 1.55615
N45: 0.557315
Cryptotermes_brevis: 1.80183
Cryptotermes_domesticus: 1.39718
Kalotermes_flavicollis: 3.9552
N49: 2.64625
Stolotermes_sp: 2.93232
N50: 1.25668
Mastotermes_darwiniensis: 3.19898
Porotermes_adamsoni: 3.71547
Total number of loss events: 41.0172
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.988373
Mastotermes_darwiniensis: 0.960354
Total number of duplication events: 2.39788
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.211588	0.229292	6.09737e-009	0
N3	0.386917	1.10538	2.7708e-009	0
N4	0.791451	0.670127	1.24224e-007	0
N5	0.637486	0.305304	2.26184e-013	0
N6	0.101736	0.0344945	3.88951e-020	0
N7	0.132354	0.0909935	3.70025e-027	0
N8	0.12322	0.119579	2.22059e-029	0
N9	0.0124388	0.0135108	2.83276e-028	0
N10	0.0214471	0.0234085	2.78546e-033	0
N11	0.0040243	0.00429287	2.95251e-035	0
Amitermes_darwini	0.016712	0.0171419	0	0
Amitermes_germanus	0.016712	0.0171419	0	0
Pericapritermes_sp	0.0276247	0.0283232	0	0
Amitermes_parvus	0.0805528	0.0832126	0	0
Drepanotermes_septentrionalis	0.122726	0.126458	0	0
N12	0.00584378	0.00528498	8.18933e-030	0
N13	0.00598675	0.00457704	1.2023e-033	0
N14	0.0534908	0.0492799	1.55006e-032	0
N15	0.0466474	0.0471584	2.12835e-026	0
Crenetermes_albotarsalis	0.0884809	0.0942403	0	0
Cubitermes_sp	0.0884809	0.0942403	0	0
Thoracotermes_macrothorax	0.188452	0.194722	0	0
N16	0.0196348	0.0173992	5.32391e-032	0
N17	0.176742	0.179129	3.92997e-025	0
Microcerotermes_boreus	0.0251303	0.0270382	0	0
Microcerotermes_nervosus	0.0251303	0.0270382	0	0
N18	0.139299	0.143117	1.99006e-029	0
N19	0.000733082	0.000750117	4.03707e-034	0
Nasutitermes_graveolus	0.0271367	0.027597	0	0
Nasutitermes_triodiae	0.0271367	0.027597	0	0
N20	0.00361523	0.00370539	1.95381e-036	0
Nasutitermes_longipennis	0.0200507	0.0204378	0	0
Tumulitermes_pastinator	0.0200507	0.0204378	0	0
