#Nodes with GAIN events with expectation above 0.5
N5: 1.35421
Neotermes_insularis: 1.73863
Cryptotermes_queenslandis: 1.01671
Cryptotermes_cynocephalus: 1.98821
Incisitermes_sp: 0.998446
Kalotermes_flavicollis: 0.544623
N48: 1.08604
Glyptotermes_brevicornis: 0.627265
Glyptotermes_iridipennis: 0.627265
Stolotermes_sp: 1.07187
Mastotermes_darwiniensis: 1.07655
Porotermes_adamsoni: 1.5914
Total number of gain events: 19.1504
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.86958
Schedorhinotermes_lamanianus: 1.952
Bifiditermes_improbus: 2.30111
Cryptotermes_primus: 1.3517
Cryptotermes_brevis: 1.75656
Cryptotermes_domesticus: 1.25444
Kalotermes_flavicollis: 3.42479
N49: 4.59913
Mastotermes_darwiniensis: 3.02923
Porotermes_adamsoni: 1.16541
Total number of loss events: 28.5914
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998752
Mastotermes_darwiniensis: 1
Total number of duplication events: 2.35476
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N46:ML=20 to Procryptotermes_australiensis:ML=24  ProbOfChange = 1  sum expections= 0.192012
	HEURISTIC ESTIMATION:	Gains = 4	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0156743	0.0254287	1.02248e-018	0
N3	0.0250759	0.0729877	3.67237e-020	0
N4	0.339651	0.0527327	1.84578e-014	0
N5	1.35421	0.273427	1.27638e-015	0
N6	0.126666	0.0167385	6.53076e-028	0
N7	0.0064385	0.0013085	3.75259e-036	0
N8	0.0126375	0.0134835	8.8024e-042	0
N9	0.00608206	0.0140186	1.26339e-035	0
N10	0.0356387	0.0260313	8.09663e-034	0
N11	0.00356761	0.0034305	8.31596e-038	0
Amitermes_darwini	0.0103603	0.0103801	0	0
Amitermes_germanus	0.0103603	0.0103801	0	0
N12	0.00250502	0.00237383	1.02157e-038	0
Amitermes_parvus	0.0119133	0.0119272	0	0
Drepanotermes_septentrionalis	0.0119133	0.0119272	0	0
N13	0.0195717	0.142536	5.80175e-036	0
Procubitermes_sp	0.00226951	1.86958	0	0
N14	0.131142	0.00784938	1.03111e-032	0
Tuberculitermes_bycanistes	0.01737	0.00797538	0	0
Unguitermes_sp	0.01737	0.00797538	0	0
N15	0.0191434	0.0173646	1.38884e-037	0
N16	0.00327165	0.00320739	1.26709e-035	0
Ephelotermes_melachoma	0.0400148	0.0400696	0	0
N17	0.000809858	0.000798046	7.56055e-039	0
N18	0.0145852	0.0146296	9.27882e-037	0
N19	0.00155595	0.0015753	1.21373e-034	0
Ephelotermes_taylori	0.000555729	0.000558591	0	0
Microtermes_sp	0.000555729	0.000558591	0	0
Protermes_sp	0.00476517	0.00478737	0	0
Macrognathotermes_sunteri	0.0307981	0.0308647	0	0
Lophotermes_septentrionalis	0.0557282	0.0557188	0	0
N20	0.00193264	0.00112306	1.27239e-034	0
