#Nodes with GAIN events with expectation above 0.5
N5: 0.779096
N41: 0.645586
N42: 0.878025
Cryptotermes_cynocephalus: 2.19808
N48: 0.633986
Glyptotermes_brevicornis: 0.601174
Glyptotermes_iridipennis: 0.601174
Stolotermes_sp: 0.948753
Mastotermes_darwiniensis: 0.587705
Porotermes_adamsoni: 0.995738
Total number of gain events: 13.3635
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.9424
Schedorhinotermes_lamanianus: 1.95992
N38: 1.05281
Bifiditermes_improbus: 1.07966
Cryptotermes_primus: 1.82638
Cryptotermes_brevis: 1.72616
N46: 0.975419
Kalotermes_flavicollis: 3.09398
N49: 4.61564
Mastotermes_darwiniensis: 2.86328
Porotermes_adamsoni: 1.20375
Total number of loss events: 27.9256
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.998207
Mastotermes_darwiniensis: 0.999999
Total number of duplication events: 2.47686
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N38:ML=18 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.31884
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 1	Demi-dupl = 0
N46:ML=20 to Procryptotermes_australiensis:ML=24  ProbOfChange = 0.999998  sum expections= 0.0162696
	HEURISTIC ESTIMATION:	Gains = 4	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	5.73664e-007	3.79666e-005	0	0
N3	0.0783392	0.269327	7.02981e-022	0
N4	0.258233	0.0442334	1.27596e-013	0
N5	0.779096	0.102784	1.19708e-017	0
N6	0.095372	0.0182843	4.84343e-022	0
N7	0.0487237	0.0328181	2.98354e-030	0
N8	0.00146497	0.00151976	1.2846e-036	0
N9	0.0119144	0.0105367	9.21291e-039	0
N10	0.0219445	0.02161	6.4063e-032	0
Amitermes_darwini	0.0238243	0.0257771	0	0
Amitermes_germanus	0.0238243	0.0257771	0	0
N11	0.0240746	0.0241346	1.9426e-032	0
Amitermes_parvus	0.0201211	0.0216794	0	0
N12	0.0163789	0.0179023	8.75808e-034	0
Drepanotermes_septentrionalis	0.000452341	0.000487183	0	0
Pericapritermes_sp	0.000452341	0.000487183	0	0
N13	0.000983362	0.00130418	2.03063e-037	0
N14	0.0300163	0.0284199	9.20956e-034	0
N15	0.0084317	0.0094297	4.69642e-032	0
Ephelotermes_melachoma	0.0154219	0.0159402	0	0
N16	0.00277808	0.00306337	3.49763e-036	0
Ephelotermes_taylori	0.00651336	0.00674637	0	0
Macrognathotermes_sunteri	0.00651336	0.00674637	0	0
Lophotermes_septentrionalis	0.0382015	0.0397178	0	0
N17	0.0436609	0.108508	3.12817e-036	0
Procubitermes_sp	0.00733028	1.9424	0	0
N18	0.044502	0.000875031	4.06025e-030	0
Tuberculitermes_bycanistes	0.0364375	0.0156535	0	0
Unguitermes_sp	0.0364375	0.0156535	0	0
N19	0.00554638	0.00508546	7.12059e-036	0
N20	2.83658e-005	2.09814e-005	3.35752e-035	0
N21	0.0288012	0.027726	1.39333e-033	0
Crenetermes_albotarsalis	0.0330747	0.0349135	0	0
N22	0.0123848	0.0136148	5.54738e-032	0
Cubitermes_sp	0.0085238	0.00913258	0	0
Thoracotermes_macrothorax	0.0085238	0.00913258	0	0
N23	0.0369626	0.035137	2.07338e-033	0
Microcerotermes_boreus	0.027714	0.0303032	0	0
Microcerotermes_nervosus	0.027714	0.0303032	0	0
N24	0.0509577	0.0515323	2.10228e-033	0
