#Nodes with GAIN events with expectation above 0.5
N3: 0.519561
N4: 1.05656
Macrotermes_bellicosus: 0.518384
Pseudacanthotermes_militaris: 0.518384
Coptotermes_acinaciformis: 0.769347
N32: 0.590092
N36: 0.936294
Incisitermes_sp: 0.968621
Neotermes_insularis: 4.82359
Cryptotermes_queenslandis: 1.38682
Procryptotermes_australiensis: 4.43865
N45: 0.52954
Cryptotermes_cynocephalus: 2.4264
N47: 1.09795
Glyptotermes_brevicornis: 0.867204
Glyptotermes_iridipennis: 0.867204
Porotermes_adamsoni: 2.35348
Stolotermes_sp: 1.16512
N50: 0.893188
Mastotermes_darwiniensis: 3.66098
Total number of gain events: 37.7389
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.7541
Schedorhinotermes_lamanianus: 1.86279
N37: 1.00182
Bifiditermes_improbus: 2.14618
N39: 0.567708
Cryptotermes_primus: 4.35251
Cryptotermes_brevis: 1.90927
Cryptotermes_domesticus: 4.62026
Kalotermes_flavicollis: 3.10538
N48: 1.02109
Porotermes_adamsoni: 0.985841
N49: 3.14743
Stolotermes_sp: 0.625906
N50: 2.37045
Mastotermes_darwiniensis: 2.47403
Total number of loss events: 40.9592
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.996253
N50: 0.822845
Mastotermes_darwiniensis: 0.997696
Total number of duplication events: 2.8821
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.183325	0.417579	9.09538e-013	0
N3	0.519561	0.173648	1.82098e-011	0
N4	1.05656	0.295017	6.53649e-014	0
N5	0.334691	0.0554661	3.33817e-020	0
N6	0.139498	0.0371587	3.14277e-026	0
N7	0.0656762	0.0483854	2.31401e-029	0
N8	0.067442	0.0609829	2.21748e-028	0
N9	0.0250452	0.0240881	4.00365e-032	0
Amitermes_darwini	0.0229541	0.0223879	0	0
Amitermes_germanus	0.0229541	0.0223879	0	0
N10	0.0226454	0.0217802	1.03852e-031	0
Amitermes_parvus	0.0282676	0.0276096	0	0
Drepanotermes_septentrionalis	0.0282676	0.0276096	0	0
N11	0.0111553	0.0128988	1.04387e-031	0
N12	0.00623076	0.00289869	6.45898e-032	0
N13	0.0166626	0.0118576	1.66261e-034	0
N14	0.00648441	0.00554534	2.58405e-034	0
N15	0.00178083	0.00172863	1.10459e-035	0
Ephelotermes_melachoma	0.0658022	0.0652046	0	0
N16	0.0365725	0.0360694	9.53232e-036	0
Ephelotermes_taylori	0.00418456	0.00409004	0	0
Odontotermes_sp	0.00418456	0.00409004	0	0
Macrognathotermes_sunteri	0.0747528	0.074103	0	0
Lophotermes_septentrionalis	0.110267	0.108678	0	0
N17	0.159483	0.153129	2.24353e-033	0
Microtermes_sp	0.00103548	0.000996495	0	0
Protermes_sp	0.00103548	0.000996495	0	0
N18	0.100664	0.337233	1.16706e-034	0
Procubitermes_sp	0.000390547	1.7541	0	0
N19	0.222421	0.00223372	1.01699e-031	0
Tuberculitermes_bycanistes	0.0302364	0.00413535	0	0
Unguitermes_sp	0.0302364	0.00413535	0	0
N20	0.0279513	0.0144326	4.33495e-029	0
N21	0.0866286	0.0796702	1.11314e-026	0
N22	0.0289818	0.027284	2.50363e-027	0
Crenetermes_albotarsalis	0.0920276	0.0889292	0	0
Cubitermes_sp	0.0920276	0.0889292	0	0
Thoracotermes_macrothorax	0.162984	0.158188	0	0
N23	0.0311405	0.0254076	2.09973e-030	0
N24	0.116785	0.112876	1.53161e-026	0
Microcerotermes_boreus	0.056547	0.0544349	0	0
Microcerotermes_nervosus	0.056547	0.0544349	0	0
N25	0.0328307	0.0308076	5.92983e-029	0
N26	0.0780649	0.0744633	2.1716e-028	0
N27	0.00724578	0.00691937	7.13585e-036	0
Nasutitermes_graveolus	0.00420316	0.00413264	0	0
Nasutitermes_triodiae	0.00420316	0.00413264	0	0
