#Nodes with GAIN events with expectation above 0.5
N5: 0.657306
Incisitermes_sp: 0.612473
Cryptotermes_queenslandis: 0.68926
Procryptotermes_australiensis: 0.525157
Cryptotermes_cynocephalus: 1.89782
N48: 0.636462
Stolotermes_sp: 0.650117
Mastotermes_darwiniensis: 1.27605
Porotermes_adamsoni: 1.05868
Total number of gain events: 13.4693
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.90816
Schedorhinotermes_lamanianus: 1.94068
N38: 0.61597
Bifiditermes_improbus: 1.90497
Cryptotermes_brevis: 1.97937
Cryptotermes_domesticus: 0.609244
Kalotermes_flavicollis: 2.24017
N49: 3.73958
N50: 0.939946
Mastotermes_darwiniensis: 2.29733
Porotermes_adamsoni: 1.26796
Total number of loss events: 25.0559
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.732531
Mastotermes_darwiniensis: 0.977521
Total number of duplication events: 2.33211
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N38:ML=20 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.39783
	HEURISTIC ESTIMATION:	Gains = 6	Losses = 0	Duplications = 0	Demi-dupl = 0
N40:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 1  sum expections= 0.38861
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.115868	0.288271	4.18809e-015	0
N3	0.0398028	0.149758	1.73352e-014	0
N4	0.384633	0.0520749	2.23361e-011	0
N5	0.657306	0.0691513	3.69079e-017	0
N6	0.191402	0.0438388	5.29325e-023	0
N7	0.0176167	0.01267	4.57366e-031	0
N8	0.00239585	0.00220628	5.91749e-037	0
N9	0.0316522	0.0312638	1.25625e-036	0
N10	0.0022647	0.00259263	2.82654e-034	0
N11	0.00757599	0.00792484	8.53354e-038	0
Amitermes_darwini	0.00418439	0.00434152	0	0
Amitermes_germanus	0.00418439	0.00434152	0	0
Drepanotermes_septentrionalis	0.0181934	0.0186993	0	0
Amitermes_parvus	0.0282396	0.0290735	0	0
N12	0.00898993	0.00962508	4.10229e-037	0
N13	0.0137396	0.0132495	6.06298e-038	0
N14	0.00105262	0.00120239	3.14312e-038	0
Ephelotermes_melachoma	0.0154295	0.0155803	0	0
N15	0.000859295	0.000823805	6.09751e-041	0
Ephelotermes_taylori	0.0107454	0.0109316	0	0
Macrognathotermes_sunteri	0.0107454	0.0109316	0	0
Lophotermes_septentrionalis	0.0217701	0.0220706	0	0
N16	0.00524561	0.0109048	1.94196e-034	0
Pericapritermes_sp	0.0477382	0.0418894	0	0
N17	0.0135071	0.0999597	4.00173e-033	0
Procubitermes_sp	0.000462246	1.90816	0	0
N18	0.0924813	0.00255548	1.01067e-033	0
Tuberculitermes_bycanistes	0.00410606	0.00173066	0	0
Unguitermes_sp	0.00410606	0.00173066	0	0
N19	0.0036093	0.00328263	7.94971e-038	0
N20	0.0114524	0.0104442	5.8581e-036	0
N21	0.0120979	0.0120292	7.00027e-032	0
Crenetermes_albotarsalis	0.0272829	0.0289424	0	0
