#Nodes with GAIN events with expectation above 0.5
N4: 0.947504
N37: 0.904967
Neotermes_insularis: 0.701499
Incisitermes_sp: 0.840828
Cryptotermes_queenslandis: 0.98979
Procryptotermes_australiensis: 3.43484
Cryptotermes_cynocephalus: 2.01432
Stolotermes_sp: 0.504173
Porotermes_adamsoni: 0.874337
Total number of gain events: 15.712
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.8832
Schedorhinotermes_lamanianus: 1.8883
Bifiditermes_improbus: 2.2879
Cryptotermes_brevis: 2.01445
Kalotermes_flavicollis: 3.15423
N48: 3.77898
N49: 0.686671
Mastotermes_darwiniensis: 2.38236
Porotermes_adamsoni: 0.833739
Total number of loss events: 23.2609
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.936292
Mastotermes_darwiniensis: 0.999998
Total number of duplication events: 2.31358
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N41:ML=20 to Cryptotermes_primus:ML=15  ProbOfChange = 1  sum expections= 0.0764409
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
N45:ML=20 to Cryptotermes_domesticus:ML=15  ProbOfChange = 0.999993  sum expections= 0.485432
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0942484	0.319176	3.17505e-021	0
N3	0.343689	0.0265095	1.14112e-014	0
N4	0.947504	0.0368887	1.7332e-022	0
N5	0.0785713	0.00425869	2.65741e-029	0
N6	0.024401	0.00935022	1.24386e-035	0
N7	0.00452893	0.00450739	1.23515e-038	0
N8	0.022947	0.0221675	2.21029e-037	0
N9	0.0021591	0.00223742	1.75485e-033	0
N10	0.0126737	0.012943	6.50013e-037	0
Amitermes_darwini	0.0043551	0.00447783	0	0
Amitermes_germanus	0.0043551	0.00447783	0	0
Amitermes_parvus	0.0258614	0.0262535	0	0
Drepanotermes_septentrionalis	0.0355839	0.0360543	0	0
N11	0.00270384	0.00481538	1.45771e-035	0
N12	0.0282938	0.0257442	3.75693e-037	0
N13	0.000249485	0.000270348	2.37561e-037	0
Ephelotermes_melachoma	0.018225	0.018333	0	0
N14	0.00217854	0.0021643	1.91106e-038	0
Ephelotermes_taylori	0.00977204	0.00989436	0	0
Macrognathotermes_sunteri	0.00977204	0.00989436	0	0
Lophotermes_septentrionalis	0.0207458	0.0208748	0	0
N15	0.0468128	0.161692	2.68276e-032	0
Procubitermes_sp	0.000499999	1.8832	0	0
N16	0.107685	0.000445829	1.31185e-033	0
Tuberculitermes_bycanistes	0.0123233	0.00226293	0	0
Unguitermes_sp	0.0123233	0.00226293	0	0
N17	0.00174038	0.00130141	3.69533e-039	0
N18	0.000204247	0.000152756	1.32895e-039	0
N19	0.0350096	0.0345646	2.19483e-037	0
Crenetermes_albotarsalis	0.0277931	0.0283979	0	0
N20	0.00275464	0.00290328	7.58348e-033	0
Cubitermes_sp	0.0183336	0.0187899	0	0
Thoracotermes_macrothorax	0.0183336	0.0187899	0	0
N21	0.00992147	0.00898385	1.65716e-035	0
N22	0.0388061	0.0398278	1.00543e-033	0
N23	0.000885719	0.000912796	8.79664e-039	0
Nasutitermes_graveolus	0.00533106	0.00537969	0	0
Nasutitermes_triodiae	0.00533106	0.00537969	0	0
N24	0.000885051	0.000911958	8.72092e-039	0
Nasutitermes_longipennis	0.00533591	0.00538471	0	0
Tumulitermes_pastinator	0.00533591	0.00538471	0	0
Pericapritermes_sp	0.0797246	0.080822	0	0
N25	0.0274183	0.0257209	5.27499e-040	0
Microcerotermes_boreus	0.0495159	0.0513217	0	0
Microcerotermes_nervosus	0.0495159	0.0513217	0	0
N26	0.0351691	0.0218097	1.11068e-030	0
Macrotermes_bellicosus	0.116606	0.114584	0	0
N27	0.0378954	0.0351218	1.43542e-028	0
N28	0.0107141	0.0113022	2.31264e-034	0
N29	0.00127851	0.00135173	2.11806e-038	0
Microtermes_sp	0.00747715	0.00756723	0	0
Odontotermes_sp	0.00747715	0.00756723	0	0
Protermes_sp	0.0124942	0.0126575	0	0
Pseudacanthotermes_militaris	0.0349142	0.0356657	0	0
N30	0.0117682	0.0182933	5.7109e-028	0
