#Nodes with GAIN events with expectation above 0.5
N5: 1.00322
Incisitermes_sp: 0.844299
Cryptotermes_queenslandis: 1.05558
Cryptotermes_cynocephalus: 1.93564
Procryptotermes_australiensis: 0.745232
N48: 1.17875
Stolotermes_sp: 0.564129
Mastotermes_darwiniensis: 1.18433
Porotermes_adamsoni: 1.05558
Total number of gain events: 14.1117
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.86114
Schedorhinotermes_lamanianus: 1.85114
Bifiditermes_improbus: 1.94271
Cryptotermes_primus: 1.24461
Cryptotermes_brevis: 2.05173
N47: 2.17498
Kalotermes_flavicollis: 0.590329
N49: 3.71122
N50: 2.15784
Mastotermes_darwiniensis: 2.11165
Porotermes_adamsoni: 0.996965
Total number of loss events: 25.087
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.912861
N50: 0.827328
Mastotermes_darwiniensis: 0.999988
Total number of duplication events: 2.88601
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N45:ML=20 to Cryptotermes_domesticus:ML=15  ProbOfChange = 0.950819  sum expections= 0.0469772
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
N47:ML=17 to Neotermes_insularis:ML=26  ProbOfChange = 0.999999  sum expections= 0.441544
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 4	Duplications = 1	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0343984	0.092925	3.11277e-019	0
N3	0.0471234	0.173929	1.35691e-017	0
N4	0.256342	0.0269312	7.15077e-014	0
N5	1.00322	0.0753397	9.10661e-017	0
N6	0.0853139	0.0134269	1.18108e-022	0
N7	0.0259455	0.0117642	8.5956e-031	0
N8	0.00235496	0.00308074	1.43729e-035	0
N9	0.0689762	0.0675251	2.25285e-035	0
N10	0.00325463	0.0035016	1.59491e-035	0
Amitermes_darwini	0.00432048	0.00448387	0	0
Amitermes_germanus	0.00432048	0.00448387	0	0
N11	0.00224322	0.00246978	4.42453e-035	0
Amitermes_parvus	0.0048392	0.00502299	0	0
Drepanotermes_septentrionalis	0.0048392	0.00502299	0	0
N12	0.00132462	0.00392973	1.56738e-035	0
N13	0.0350695	0.0301495	5.76719e-034	0
N14	0.0112054	0.0123577	1.32619e-035	0
N15	0.000159671	0.000169808	6.61313e-040	0
Ephelotermes_melachoma	0.00722521	0.00733692	0	0
Ephelotermes_taylori	0.00722521	0.00733692	0	0
Macrognathotermes_sunteri	0.00776387	0.00788572	0	0
Lophotermes_septentrionalis	0.0353696	0.0366438	0	0
N16	0.0227826	0.174093	6.15716e-036	0
Procubitermes_sp	0.0160923	1.86114	0	0
N17	0.174458	0.0219388	1.72134e-030	0
Tuberculitermes_bycanistes	0.00623017	0.0037936	0	0
Unguitermes_sp	0.00623017	0.0037936	0	0
N18	0.00317013	0.00222926	2.0169e-034	0
N19	0.0261491	0.0248313	5.30046e-035	0
N20	0.00399763	0.00406792	5.74892e-030	0
Crenetermes_albotarsalis	0.0337391	0.0356125	0	0
Cubitermes_sp	0.0337391	0.0356125	0	0
Thoracotermes_macrothorax	0.0516858	0.0536295	0	0
N21	0.0239914	0.0232693	5.01135e-035	0
N22	0.0178084	0.0182118	7.42371e-033	0
Microcerotermes_boreus	0.0130404	0.013985	0	0
Microcerotermes_nervosus	0.0130404	0.013985	0	0
N23	0.0112708	0.0118307	1.31286e-032	0
N24	0.00790369	0.00866367	4.21107e-034	0
N25	0.00058761	0.000601704	1.00715e-034	0
Nasutitermes_graveolus	0.000665782	0.000679802	0	0
Nasutitermes_triodiae	0.000665782	0.000679802	0	0
N26	0.00037421	0.000386503	7.97411e-035	0
Nasutitermes_longipennis	0.000997688	0.00101351	0	0
Tumulitermes_pastinator	0.000997688	0.00101351	0	0
Pericapritermes_sp	0.0195995	0.0203876	0	0
N27	0.107657	0.0924601	2.55895e-031	0
Macrotermes_bellicosus	0.0375692	0.0382695	0	0
N28	1.70449e-005	2.06211e-005	2.33793e-040	0
N29	0.00224029	0.00231154	2.17126e-036	0
N30	0.0116285	0.0120755	2.81486e-036	0
Microtermes_sp	0.00293962	0.00311808	0	0
Protermes_sp	0.00293962	0.00311808	0	0
Pseudacanthotermes_militaris	0.0240856	0.024711	0	0
Odontotermes_sp	0.0374128	0.0381095	0	0
