#Nodes with GAIN events with expectation above 0.5
N4: 0.613915
N41: 0.81368
Cryptotermes_cynocephalus: 1.82508
Procryptotermes_australiensis: 0.673005
N47: 0.949236
Mastotermes_darwiniensis: 1.92143
Porotermes_adamsoni: 0.90879
Total number of gain events: 13.6022
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.82913
Schedorhinotermes_lamanianus: 2.04135
Bifiditermes_improbus: 2.25556
Cryptotermes_primus: 0.517245
Cryptotermes_brevis: 2.24799
Cryptotermes_domesticus: 3.802
Kalotermes_flavicollis: 3.39584
N48: 3.14283
Stolotermes_sp: 1.24064
N49: 0.508182
Mastotermes_darwiniensis: 2.13471
Porotermes_adamsoni: 1.45473
Total number of loss events: 29.936
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.989538
Mastotermes_darwiniensis: 0.999165
Total number of duplication events: 2.23703
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N37:ML=20 to Neotermes_insularis:ML=26  ProbOfChange = 1  sum expections= 0.463333
	HEURISTIC ESTIMATION:	Gains = 6	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.105048	0.381081	1.94717e-018	0
N3	0.152143	0.0317858	3.24153e-014	0
N4	0.613915	0.0962005	1.65832e-019	0
N5	0.105262	0.0221931	8.63074e-024	0
N6	0.0415561	0.030414	2.53507e-030	0
N7	0.00229465	0.0025892	1.79532e-033	0
N8	0.0285575	0.0269246	7.60613e-038	0
N9	0.0160108	0.0161089	5.96377e-032	0
Amitermes_darwini	0.0224272	0.0242885	0	0
Amitermes_germanus	0.0224272	0.0242885	0	0
N10	0.0059216	0.00546388	2.498e-030	0
Amitermes_parvus	0.0421886	0.0446058	0	0
Drepanotermes_septentrionalis	0.0421886	0.0446058	0	0
N11	0.00256399	0.00463651	5.03765e-035	0
N12	0.0399607	0.0369767	1.53569e-035	0
N13	0.00271708	0.00338547	1.38753e-032	0
Ephelotermes_melachoma	0.0255369	0.0261066	0	0
N14	0.000589114	0.000569477	1.64699e-036	0
Ephelotermes_taylori	0.0224724	0.0230617	0	0
Macrognathotermes_sunteri	0.0224724	0.0230617	0	0
Lophotermes_septentrionalis	0.041554	0.0427921	0	0
N15	0.0619086	0.232441	1.00497e-034	0
Procubitermes_sp	0.00141344	1.82913	0	0
N16	0.169394	0.00494653	5.4315e-031	0
Tuberculitermes_bycanistes	0.0121378	0.00431011	0	0
Unguitermes_sp	0.0121378	0.00431011	0	0
N17	0.00457025	0.00371419	2.69325e-033	0
N18	0.00370883	0.00294086	3.84264e-032	0
N19	0.0324538	0.0329186	5.06553e-035	0
