#Nodes with GAIN events with expectation above 0.5
N5: 0.507435
Coptotermes_acinaciformis: 0.556639
Neotermes_insularis: 0.643489
N43: 0.73794
Cryptotermes_cynocephalus: 1.75906
Procryptotermes_australiensis: 3.48562
N48: 0.659465
Kalotermes_flavicollis: 0.501797
N50: 1.58464
Porotermes_adamsoni: 0.996789
Mastotermes_darwiniensis: 1.9134
Total number of gain events: 21.2714
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N27: 0.604995
Procubitermes_sp: 1.53776
Schedorhinotermes_lamanianus: 1.65127
Bifiditermes_improbus: 2.73968
Cryptotermes_primus: 4.41157
Cryptotermes_brevis: 2.0619
Cryptotermes_domesticus: 3.42175
Kalotermes_flavicollis: 3.96372
N49: 1.83698
Stolotermes_sp: 2.75879
N50: 1.10622
Porotermes_adamsoni: 1.93089
Mastotermes_darwiniensis: 1.2154
Total number of loss events: 36.4959
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Kalotermes_flavicollis: 0.999597
Mastotermes_darwiniensis: 0.764978
Total number of duplication events: 2.15429
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.037484	0.219873	5.13514e-016	0
N3	0.067523	0.304822	3.96574e-017	0
N4	0.125868	0.19459	6.11085e-014	0
N5	0.507435	0.230883	2.76675e-015	0
N6	0.166877	0.0752372	2.17216e-022	0
N7	0.0364687	0.0326669	5.43479e-029	0
N8	0.0114455	0.0105986	6.90703e-034	0
N9	0.0210681	0.0200961	1.91068e-034	0
N10	0.0578939	0.0592735	2.00372e-034	0
Amitermes_darwini	0.0122719	0.013145	0	0
Amitermes_germanus	0.0122719	0.013145	0	0
N11	0.0112232	0.0108036	1.94971e-030	0
Amitermes_parvus	0.0697761	0.0724484	0	0
N12	0.0510615	0.0536103	7.82786e-034	0
Drepanotermes_septentrionalis	0.000775892	0.000899327	0	0
Pericapritermes_sp	0.000775892	0.000899327	0	0
N13	0.00723967	0.00632734	1.67993e-032	0
N14	0.0365504	0.0379302	1.6636e-034	0
N15	0.00154442	0.00192775	9.71962e-037	0
Ephelotermes_melachoma	0.0326402	0.03307	0	0
N16	0.000247574	0.000236446	2.41145e-038	0
Ephelotermes_taylori	0.0314257	0.0318667	0	0
Macrognathotermes_sunteri	0.0314257	0.0318667	0	0
Lophotermes_septentrionalis	0.0460255	0.0468387	0	0
N17	0.132992	0.135129	1.52979e-033	0
Tuberculitermes_bycanistes	0.000430929	0.000486148	0	0
Unguitermes_sp	0.000430929	0.000486148	0	0
N18	0.00648465	0.00821417	5.86831e-034	0
