#Nodes with GAIN events with expectation above 0.5
Neotermes_insularis: 3.56333
N42: 0.707373
Cryptotermes_queenslandis: 0.863888
Cryptotermes_cynocephalus: 1.7987
Procryptotermes_australiensis: 3.24815
N47: 0.660542
N49: 3.35974
N50: 0.584553
Mastotermes_darwiniensis: 1.70303
Total number of gain events: 22.4614
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Procubitermes_sp: 1.81276
Schedorhinotermes_lamanianus: 1.95799
Bifiditermes_improbus: 2.78899
Cryptotermes_primus: 1.84015
Cryptotermes_brevis: 1.83551
Kalotermes_flavicollis: 1.89662
Stolotermes_sp: 4.61539
Mastotermes_darwiniensis: 0.652033
Porotermes_adamsoni: 1.82236
Total number of loss events: 26.9297
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Mastotermes_darwiniensis: 0.646482
Total number of duplication events: 1.20839
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N45:ML=20 to Cryptotermes_domesticus:ML=15  ProbOfChange = 0.999003  sum expections= 0.410819
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 5	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.043372	0.139905	2.64164e-019	0
N3	0.0993613	0.355371	2.95641e-015	0
N4	0.217374	0.12966	3.14064e-020	0
N5	0.116044	0.0627999	1.30197e-023	0
N6	0.0343733	0.0292745	9.13495e-032	0
N7	0.00255599	0.00222231	3.25505e-038	0
N8	0.0494383	0.0494744	2.75389e-037	0
N9	0.00681019	0.00693222	1.49287e-037	0
Amitermes_darwini	0.0126606	0.0129718	0	0
Amitermes_germanus	0.0126606	0.0129718	0	0
N10	0.00291517	0.0029381	1.74855e-035	0
Amitermes_parvus	0.0208233	0.0212336	0	0
Drepanotermes_septentrionalis	0.0208233	0.0212336	0	0
N11	0.00321624	0.00274101	3.26179e-036	0
N12	0.0652475	0.0658867	4.31007e-036	0
N13	0.000965562	0.00106587	6.30121e-036	0
Microcerotermes_boreus	0.0101804	0.0103855	0	0
Microcerotermes_nervosus	0.0101804	0.0103855	0	0
Pericapritermes_sp	0.0142302	0.0145356	0	0
N14	0.0798479	0.0807237	1.96486e-036	0
Nasutitermes_graveolus	0.00694298	0.0070117	0	0
N15	8.65876e-005	0.000110441	2.93965e-039	0
N16	0.00185033	0.00187676	1.03114e-034	0
Nasutitermes_longipennis	0.00178115	0.00179959	0	0
Tumulitermes_pastinator	0.00178115	0.00179959	0	0
Nasutitermes_triodiae	0.00612968	0.00617455	0	0
N17	0.00184176	0.00212907	4.2055e-038	0
N18	0.0338639	0.0323149	2.9743e-037	0
