#Nodes with GAIN events with expectation above 0.5
N3: 1.16156
N4: 1.81803
Liturgusa_cursor: 0.7864
Liturgusa_maya: 0.758381
Parathespis_humbertiana: 1.98579
Choeradodis_rhombicollis: 1.97315
Deiphobe_sp: 2.69743
Didymocorypha_lanceolata: 0.717339
Schizocephala_bicornis: 1.00893
N37: 0.926682
Humbertiella_similis: 0.764244
Miomantis_sp: 1.02684
Bolbe_pallida: 1.03679
Pseudomiopteryx_infuscata: 1.63441
Total number of gain events: 21.4191
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Harpagomantis_tricolor: 0.729062
Orthodera_sp: 0.758833
Iris_sp: 1.06373
Dystacta_alticeps: 0.812435
Ligaria_sp: 0.840875
Cliomantis_cornuta: 1.00034
Total number of loss events: 7.48683
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.999673
N9: 0.918613
Iris_sp: 0.999525
Schizocephala_bicornis: 0.999999
Antistia_sp: 0.914669
Dystacta_alticeps: 0.999981
Ligaria_sp: 0.999889
N37: 0.936019
N38: 0.828396
N40: 0.979249
Total number of duplication events: 10.33
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N36:ML=7 to Callimantis_antillarum:ML=9  ProbOfChange = 0.998528  sum expections= 0.0838528
	HEURISTIC ESTIMATION:	Gains = 2	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00861717	0.010774	2.06235e-014	0
N3	1.16156	0.00195859	3.08075e-007	0
N4	1.81803	0.0239223	1.2733e-005	0
Acanthops_falcata	4.19173e-006	2.61804e-008	0	0
Pseudacanthops_sp	4.19173e-006	2.61804e-008	0	0
N5	0.0720939	0.00443477	5.77291e-008	0
Liturgusa_cursor	0.7864	0.36991	0.999673	0
Liturgusa_maya	0.758381	0.031855	0	0
N6	6.82734e-005	0.0363554	5.29143e-014	0
N7	0.0037735	0.0128486	1.01661e-015	0
N8	8.60477e-005	0.000216147	4.71915e-007	0
N9	0.000164789	0.000793381	0.918613	0
N10	0.00588537	0.00136552	0.0571	0
N11	0.000178952	0.00358178	0.0207249	0
N12	0.00362149	0.000291148	0.000958118	0
N13	0.000921241	0.00532373	0.00250013	0
N14	0.000129572	0.000177818	4.81228e-005	0
Antemna_rapax	0.012696	0.0126661	1.95698e-005	0
N15	0.000188162	0.00025709	8.84969e-006	0
Archimantis_sobrina	0.00921495	0.00911613	1.072e-005	0
Sphodropoda_sp	0.00921495	0.00911613	1.072e-005	0
N16	0.000590155	0.00066049	5.32865e-005	0
N17	0.00112206	0.00110024	1.36122e-005	0
N18	0.000264248	0.000242003	7.55369e-007	0
N19	0.000117935	0.000121853	2.68204e-008	0
Polyspilota_aeruginosa	0.00142729	0.00141546	1.21197e-008	0
Tenodera_aridifolia	0.00142729	0.00141546	1.21197e-008	0
Tenodera_australasiae	0.00217573	0.00216782	3.89405e-008	0
Tenodera_superstitiosa	0.00402419	0.00399404	7.94313e-007	0
Sphodromantis_sp	0.0101106	0.0100586	1.44065e-005	0
Parathespis_humbertiana	1.98579	0.0299129	0.00256783	0
