#Nodes with GAIN events with expectation above 0.5
N3: 0.501134
N4: 1.53863
Parathespis_humbertiana: 1.91806
Choeradodis_rhombicollis: 1.82631
Kongobatha_sp: 0.947903
Miomantis_sp: 0.946416
Deiphobe_sp: 1.94583
Bolbe_pallida: 0.675368
Schizocephala_bicornis: 0.527416
Callimantis_antillarum: 1.6773
Pseudomiopteryx_infuscata: 1.13534
Total number of gain events: 18.3701
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.862549
N9: 0.643545
Orthodera_sp: 1.0893
Harpagomantis_tricolor: 1.01923
N33: 0.674523
Cliomantis_cornuta: 1.39668
Schizocephala_bicornis: 0.695131
Dystacta_alticeps: 0.833996
Ligaria_sp: 1.29644
Iris_sp: 1.47057
Oligonyx_sp: 0.86638
Thesprotia_graminis: 0.86638
Total number of loss events: 16.9178
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.981101
N11: 0.707954
Cheddikulama_straminea: 0.582961
Kongobatha_sp: 0.582961
Harpagomantis_tricolor: 0.99996
Creobroter_laevicollis: 0.696278
N33: 0.575376
Schizocephala_bicornis: 0.62424
N37: 0.95649
Ligaria_sp: 0.954128
Iris_sp: 0.991808
Humbertiella_similis: 0.999485
N40: 0.662107
Total number of duplication events: 14.3866
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.135688	0.175169	1.88727e-006	0
N3	0.501134	0.0063855	0.000417212	0
N4	1.53863	0.136514	0.00887992	0
Acanthops_falcata	1.90476e-005	3.15099e-006	0	0
Pseudacanthops_sp	1.90476e-005	3.15099e-006	0	0
N5	0.196667	0.0453462	0.000236854	0
Liturgusa_cursor	0.417967	0.862549	0.981101	0
Liturgusa_maya	0.429362	0.12645	3.58378e-005	0
N6	0.00249873	0.28235	6.23015e-011	0
N7	0.00141776	0.0581498	1.41124e-009	0
N8	0.00206965	0.0156194	2.91847e-010	0
N9	0.00253188	0.643545	1.47969e-005	0
N10	0.00182646	0.0305772	4.09843e-006	0
N11	0.00756945	0.0324315	0.707954	0
N12	0.0153617	0.0105888	0.209669	0
N13	0.00539402	0.00871394	0.0673195	0
N14	0.000619638	0.00193659	0.00456142	0
Antemna_rapax	0.0452741	0.047378	0.0104774	0
N15	0.00710068	0.00872982	0.00858979	0
N16	0.00257849	0.00274214	0.00123725	0
Archimantis_sobrina	0.0133653	0.0136762	0.000650329	0
Sphodropoda_sp	0.0133653	0.0136762	0.000650329	0
Vates_sp	0.0224801	0.0229547	0.00188758	0
N17	0.0273738	0.00334182	0.00500517	0
Parathespis_humbertiana	1.91806	0.107943	0.0100336	0
N18	0.00226873	0.0291668	0.00953647	0
N19	0.000334786	0.000540121	0.000165761	0
N20	0.00860739	0.00886472	0.000309178	0
Polyspilota_aeruginosa	0.00413326	0.00423731	2.21757e-005	0
Tenodera_aridifolia	0.00413326	0.00423731	2.21757e-005	0
Tenodera_australasiae	0.0191457	0.019507	0.000331353	0
N21	0.000434657	0.000565233	0.000132748	0
Sphodromantis_sp	0.0189282	0.0193643	0.000364385	0
