#Nodes with GAIN events with expectation above 0.5
N4: 1.33737
Parathespis_humbertiana: 1.95875
Choeradodis_rhombicollis: 1.8102
Bolbe_pallida: 0.679348
Kongobatha_sp: 0.674688
Schizocephala_bicornis: 0.674688
Miomantis_sp: 0.800173
Iris_sp: 0.775816
Didymocorypha_lanceolata: 0.899444
Callimantis_antillarum: 1.29774
Humbertiella_similis: 0.671937
Pseudomiopteryx_infuscata: 0.966545
Total number of gain events: 17.7157
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 0.516199
Liturgusa_cursor: 1.25833
N6: 0.895677
Orthodera_sp: 1.02754
Harpagomantis_tricolor: 0.954606
Cliomantis_cornuta: 1.13036
Kongobatha_sp: 0.618844
Schizocephala_bicornis: 0.618844
N35: 1.41934
Deiphobe_sp: 2.22482
Callimantis_antillarum: 0.586635
Ligaria_sp: 1.28017
Dystacta_alticeps: 1.50679
Oligonyx_sp: 1.12296
Thesprotia_graminis: 1.12296
Total number of loss events: 23.0519
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.922546
N30: 0.734588
Kongobatha_sp: 0.668171
Schizocephala_bicornis: 0.668171
N35: 0.918813
Ligaria_sp: 0.83262
Dystacta_alticeps: 0.936481
Humbertiella_similis: 0.978952
N40: 0.539128
Total number of duplication events: 11.9867
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0602247	0.0870177	3.02122e-007	0
N3	0.332518	0.0344361	0.00236425	0
N4	1.33737	0.516199	0.0561362	0
Acanthops_falcata	7.23536e-006	5.42612e-006	0	0
Pseudacanthops_sp	7.23536e-006	5.42612e-006	0	0
N5	0.204395	0.135	0.00290506	0
Liturgusa_cursor	0.359008	1.25833	0.922546	0
Liturgusa_maya	0.445289	0.372432	0.00104668	0
N6	0.028044	0.895677	2.68368e-006	0
N7	0.0083434	0.266215	6.29762e-006	0
N8	0.00946059	0.172217	0.00246135	0
N9	0.00256488	0.22065	0.499816	0
N10	0.0102077	0.024701	0.277497	0
N11	0.0123512	0.0121533	0.154829	0
N12	0.0260845	0.00368729	0.0177301	0
N13	0.00406881	0.0255195	0.038316	0
N14	0.00250238	0.006647	0.00371689	0
Antemna_rapax	0.0736868	0.0813193	0.00555912	0
N15	0.00987978	0.0125371	0.00322885	0
Archimantis_sobrina	0.0407795	0.045753	0.00233027	0
Sphodropoda_sp	0.0407795	0.045753	0.00233027	0
N16	0.0116157	0.00646187	0.00561598	0
N17	0.00732116	0.000435372	0.000191387	0
Parathespis_humbertiana	1.95875	0.131811	0.00346793	0
N18	0.00436363	0.021478	0.00249706	0
Polyspilota_aeruginosa	0.0366023	0.0433042	0.000970871	0
N19	0.00373756	0.00721884	0.000581605	0
Tenodera_aridifolia	0.019648	0.0228666	0.000389266	0
Tenodera_australasiae	0.019648	0.0228666	0.000389266	0
N20	0.0144945	0.0267359	0.00290174	0
Sphodromantis_sp	0.0195185	0.0242037	0.000758283	0
Tenodera_superstitiosa	0.0195185	0.0242037	0.000758283	0
Choeradodis_rhombicollis	1.8102	0.234036	0.0475921	0
N21	0.0121273	0.0386005	0.0505143	0
