#Nodes with GAIN events with expectation above 0.5
N3: 0.95722
N4: 1.74854
Liturgusa_cursor: 0.643065
Liturgusa_maya: 0.616087
Parathespis_humbertiana: 1.99972
Choeradodis_rhombicollis: 1.98954
Kongobatha_sp: 0.908181
Deiphobe_sp: 2.69435
Didymocorypha_lanceolata: 0.716817
Schizocephala_bicornis: 0.724882
Callimantis_antillarum: 2.00204
Humbertiella_similis: 1.08139
Bolbe_pallida: 1.02479
Miomantis_sp: 1.01452
Pseudomiopteryx_infuscata: 1.6193
Total number of gain events: 22.426
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N25: 0.700765
Ligaria_sp: 1.13707
Dystacta_alticeps: 0.782033
Iris_sp: 0.987189
Cliomantis_cornuta: 1.02398
Total number of loss events: 8.04825
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.999344
N9: 0.902212
Schizocephala_bicornis: 1
Dystacta_alticeps: 0.561192
Iris_sp: 0.983904
Humbertiella_similis: 0.997696
N38: 0.707715
N40: 0.963012
Total number of duplication events: 9.48703
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0154127	0.0121444	3.27043e-014	0
N3	0.95722	0.00261185	4.74073e-007	0
N4	1.74854	0.0329087	3.63419e-005	0
Acanthops_falcata	2.58046e-005	2.04114e-007	0	0
Pseudacanthops_sp	2.58046e-005	2.04114e-007	0	0
N5	0.143725	0.0171241	9.56629e-008	0
Liturgusa_cursor	0.643065	0.462497	0.999344	0
Liturgusa_maya	0.616087	0.0268198	0	0
N6	0.00422386	0.31028	1.41788e-014	0
N7	0.00135097	0.0113651	2.02999e-010	0
N8	0.000573642	0.000239981	2.54713e-010	0
N9	0.000211681	0.013963	0.902212	0
N10	0.00414495	0.00189593	0.083382	0
N11	2.7035e-005	0.00236078	0.0135237	0
N12	0.00081138	0.000778362	0.000793659	0
N13	0.00119353	0.00132809	5.44837e-005	0
Antemna_rapax	0.0121725	0.0119974	1.53554e-005	0
N14	0.00242256	0.00239446	1.39749e-005	0
Archimantis_sobrina	0.00282827	0.00268127	1.38055e-006	0
Sphodropoda_sp	0.00282827	0.00268127	1.38055e-006	0
N15	0.00108353	0.000954334	6.5378e-005	0
N16	0.000204237	1.08255e-005	1.39254e-006	0
Parathespis_humbertiana	1.99972	8.61927e-007	3.06844e-006	0
N17	1.78216e-006	4.7314e-005	2.05218e-007	0
N18	0.00179982	0.00206967	2.76719e-006	0
N19	0.000275476	0.000272446	7.68681e-008	0
Polyspilota_aeruginosa	0.00194506	0.00191479	1.91585e-008	0
Tenodera_aridifolia	0.00194506	0.00191479	1.91585e-008	0
Tenodera_australasiae	0.00315563	0.00312233	9.60292e-008	0
Tenodera_superstitiosa	0.0110074	0.011244	2.86322e-006	0
Sphodromantis_sp	0.0120602	0.0121489	4.46111e-006	0
N20	4.28746e-006	0.00232429	0.000838871	0
N21	0.00140333	1.15712e-005	1.28262e-005	0
N22	0.000153094	0.000120277	1.00361e-006	0
Cheddikulama_straminea	0.023776	0.0228059	9.82449e-006	0
Vates_sp	0.023776	0.0228059	9.82449e-006	0
N23	0.00259353	0.00207214	8.22935e-006	0
N24	0.00465239	0.00434092	2.43687e-006	0
Hierodula_patellifera	0.002342	0.00217196	1.61971e-007	0
Statilia_maculata	0.002342	0.00217196	1.61971e-007	0
Mantis_religiosa	0.0148598	0.0143783	2.59884e-006	0
N25	0.000221394	0.700765	2.06244e-005	0
Harpagomantis_tricolor	0.0151289	0.31219	3.03007e-006	0
Orthodera_sp	0.0151289	0.31219	3.03007e-006	0
Choeradodis_rhombicollis	1.98954	0.00537995	0.0144056	0
N26	0.00112584	0.00132535	0.0649505	0
Creobroter_laevicollis	0.0364178	0.0362284	0.0328371	0
N27	0.00227709	0.00155785	0.0207875	0
N28	0.00536372	0.0063675	0.010097	0
Empusa_sp	0.00936476	0.00891237	0.00195254	0
