#Nodes with GAIN events with expectation above 0.5
N3: 0.959994
N4: 1.28255
Parathespis_humbertiana: 1.99439
Choeradodis_rhombicollis: 2.01272
Deiphobe_sp: 2.85067
Didymocorypha_lanceolata: 0.900924
Callimantis_antillarum: 2.02471
Bolbe_pallida: 1.01546
Miomantis_sp: 1.00009
Schizocephala_bicornis: 1.00738
N38: 0.569598
Pseudomiopteryx_infuscata: 1.24963
Total number of gain events: 19.355
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.81612
Orthodera_sp: 1.01668
Harpagomantis_tricolor: 1.02016
Dystacta_alticeps: 0.854322
Ligaria_sp: 1.08338
Iris_sp: 1.02292
Cliomantis_cornuta: 1.00398
Kongobatha_sp: 0.621403
Total number of loss events: 11.0039
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.997248
N10: 0.903468
N33: 0.935602
Ligaria_sp: 0.945906
Iris_sp: 0.994761
N37: 0.957566
Schizocephala_bicornis: 1
N38: 0.982782
N40: 0.890955
Total number of duplication events: 9.25378
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0322409	0.0394128	2.36444e-011	0
N3	0.959994	0.0128293	1.83166e-005	0
N4	1.28255	0.0313983	1.14846e-005	0
Acanthops_falcata	1.50025e-005	2.28623e-007	0	0
Pseudacanthops_sp	1.50025e-005	2.28623e-007	0	0
N5	0.0729726	0.0364266	5.8093e-008	0
Liturgusa_cursor	0.281372	0.81612	0.997248	0
Liturgusa_maya	0.246074	0.0313928	0	0
N6	0.00601855	0.320816	1.58433e-012	0
N7	0.000899256	0.339811	2.40588e-012	0
N8	0.00373758	0.00200487	2.06696e-009	0
N9	0.00174538	0.00659239	0.00233553	0
N10	0.00210289	0.146033	0.903468	0
N11	0.00267772	0.00177857	0.070944	0
N12	2.17678e-005	0.00179631	0.0203493	0
N13	0.000813573	0.000867102	0.00229196	0
N14	0.00262577	0.00255912	0.000363781	0
N15	0.00168495	0.00172415	1.37059e-005	0
Antemna_rapax	0.0160708	0.0159985	2.16635e-006	0
N16	0.000156743	0.000196024	7.37112e-007	0
Archimantis_sobrina	0.013668	0.0135565	1.42916e-006	0
Sphodropoda_sp	0.013668	0.0135565	1.42916e-006	0
N17	0.0015925	0.00162474	1.33624e-005	0
N18	0.00152394	0.0015124	2.15405e-006	0
N19	0.00170653	0.00167776	3.34981e-007	0
Polyspilota_aeruginosa	0.00639431	0.00636932	2.08502e-008	0
N20	0.000400712	0.000402831	1.654e-008	0
Tenodera_aridifolia	0.00367204	0.00364493	4.30954e-009	0
Tenodera_australasiae	0.00367204	0.00364493	4.30954e-009	0
Tenodera_superstitiosa	0.0105962	0.0105425	3.55831e-007	0
Sphodromantis_sp	0.0164733	0.016408	2.50988e-006	0
N21	0.00458173	0.00599614	0.000288744	0
N22	0.00717128	4.8935e-005	5.05039e-006	0
N23	0.00957725	0.0151443	7.80586e-005	0
Cheddikulama_straminea	0.00803623	0.00809474	7.78336e-006	0
Vates_sp	0.00803623	0.00809474	7.78336e-006	0
Parathespis_humbertiana	1.99439	9.40269e-005	8.5842e-005	0
Orthodera_sp	0.0182004	1.01668	9.09091e-005	0
N24	0.000470277	0.00789868	0.00156072	0
Harpagomantis_tricolor	0.0277278	1.02016	0.001105	0
N25	0.010988	0.00518075	0.000882201	0
N26	0.00860547	0.00726297	0.000200897	0
Hierodula_patellifera	0.0079756	0.00764463	2.19026e-005	0
Statilia_maculata	0.0079756	0.00764463	2.19026e-005	0
Mantis_religiosa	0.0218782	0.0202047	0.0002228	0
Choeradodis_rhombicollis	2.01272	0.0356147	0.0231095	0
N27	0.006511	0.0076776	0.0807358	0
Creobroter_laevicollis	0.0294756	0.029237	0.0133176	0
N28	0.00238775	0.00237597	0.0101108	0
N29	0.00236992	0.00243902	0.00211204	0
Empusa_sp	0.0140256	0.0137296	0.00109482	0
Gongylus_sp	0.0140256	0.0137296	0.00109482	0
Hestiasula_sp	0.0212675	0.0210407	0.00320687	0
Deiphobe_sp	2.85067	0.00311538	0.000113402	0
Didymocorypha_lanceolata	0.900924	0.0504387	0	0
N30	0.000629154	0.112264	6.22717e-008	0
N31	0.00141375	0.0513535	0.00509088	0
N32	0.000409697	0.0400096	0.0447598	0
N33	0.0856028	0.133061	0.935602	0
Antistia_sp	0.153702	0.00385854	0.0112092	0
Dystacta_alticeps	0.00491983	0.854322	0.011208	0
Ligaria_sp	0.0298095	1.08338	0.945906	0
N34	0.000852981	0.000226013	3.66816e-005	0
Callimantis_antillarum	2.02471	0.0405271	0	0
Iris_sp	0.158142	1.02292	0.994761	0
N35	0.00285434	0.00228849	2.28161e-007	0
N36	0.00297632	0.00148852	4.21769e-008	0
N37	0.0439888	0.0969213	0.957566	0
Bolbe_pallida	1.01546	0.0111853	0.0424333	0
Cliomantis_cornuta	0.0151114	1.00398	0.0424329	0
Miomantis_sp	1.00009	0.0382899	0	0
Schizocephala_bicornis	1.00738	0.127044	1	0
N38	0.569598	0.128142	0.982782	0
Humbertiella_similis	0.399988	0.00805411	0.0172177	0
Kongobatha_sp	0.0165652	0.621403	0.0172152	0
N39	0.049929	0.0301819	3.45503e-005	0
N40	0.103549	0.467156	0.890955	0
Oligonyx_sp	0.220301	0.428692	0.109005	0
Thesprotia_graminis	0.220301	0.428692	0.109005	0
Pseudomiopteryx_infuscata	1.24963	0.0781799	1.00703e-005	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Acanthops_falcata	2.27479	0.0836406	2.98013e-005	0
Pseudacanthops_sp	2.27479	0.0836406	2.98013e-005	0
Liturgusa_cursor	1.34658	0.904789	0.997266	0
Liturgusa_maya	1.31128	0.120062	1.83747e-005	0
Antemna_rapax	0.0706391	0.879394	0.999768	0
Archimantis_sobrina	0.0683931	0.877148	0.999768	0
Sphodropoda_sp	0.0683931	0.877148	0.999768	0
Polyspilota_aeruginosa	0.0641007	0.872856	0.999768	0
Tenodera_aridifolia	0.0617791	0.870534	0.999768	0
Tenodera_australasiae	0.0617791	0.870534	0.999768	0
Tenodera_superstitiosa	0.066596	0.875351	0.999768	0
Sphodromantis_sp	0.0709492	0.879704	0.999768	0
Cheddikulama_straminea	0.0796241	0.888397	0.999768	0
Vates_sp	0.0796241	0.888397	0.999768	0
Parathespis_humbertiana	2.0564	0.865252	0.999768	0
Orthodera_sp	0.0730397	1.88179	0.999768	0
Harpagomantis_tricolor	0.0776421	1.8863	0.999762	0
Hierodula_patellifera	0.0774833	0.886233	0.999762	0
Statilia_maculata	0.0774833	0.886233	0.999762	0
Mantis_religiosa	0.0827805	0.89153	0.999762	0
Choeradodis_rhombicollis	2.06215	0.892064	0.999857	0
Creobroter_laevicollis	0.0827312	0.891585	0.999857	0
Empusa_sp	0.0720388	0.880893	0.999857	0
Gongylus_sp	0.0720388	0.880893	0.999857	0
Hestiasula_sp	0.0769108	0.885765	0.999857	0
Deiphobe_sp	2.89531	0.711753	0.00244893	0
Didymocorypha_lanceolata	0.94382	0.752484	2.09459e-009	0
Antistia_sp	0.280916	1.04059	0.996662	0
Dystacta_alticeps	0.132134	1.89105	0.996661	0
Ligaria_sp	0.0714208	1.98705	0.995757	0
Callimantis_antillarum	2.06676	0.904411	0.00512763	0
Iris_sp	0.200196	1.8868	0.999888	0
Bolbe_pallida	1.10506	0.924188	1	0
Cliomantis_cornuta	0.104719	1.91699	0.999999	0
Miomantis_sp	1.04571	0.854371	3.32637e-007	0
Schizocephala_bicornis	1.05002	0.941637	1	0
Humbertiella_similis	1.00785	0.496425	0.999999	0
Kongobatha_sp	0.624423	1.10977	0.999997	0
Oligonyx_sp	0.373779	0.92603	0.999995	0
Thesprotia_graminis	0.373779	0.92603	0.999995	0
Pseudomiopteryx_infuscata	1.29956	0.108362	4.46206e-005	0
