#Nodes with GAIN events with expectation above 0.5
N3: 1.27415
N4: 1.46194
Parathespis_humbertiana: 1.98886
Choeradodis_rhombicollis: 1.85269
Kongobatha_sp: 0.994297
N31: 0.975307
Deiphobe_sp: 2.03329
Bolbe_pallida: 1.04505
Schizocephala_bicornis: 1.03475
Callimantis_antillarum: 2.15205
Didymocorypha_lanceolata: 1.04013
Humbertiella_similis: 1.00806
Pseudomiopteryx_infuscata: 1.63407
Total number of gain events: 22.0695
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.667079
N25: 0.849723
Cliomantis_cornuta: 0.990736
Dystacta_alticeps: 0.753952
Ligaria_sp: 0.782798
Iris_sp: 0.858396
Total number of loss events: 7.56554
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.998315
N34: 0.593331
Dystacta_alticeps: 0.949165
Ligaria_sp: 0.948864
Iris_sp: 0.965776
Humbertiella_similis: 1
N40: 0.951047
Total number of duplication events: 9.45244
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0512991	0.0257347	1.5661e-011	0
N3	1.27415	0.023343	1.9119e-005	0
N4	1.46194	0.0378822	2.79299e-005	0
Acanthops_falcata	1.70289e-005	1.58706e-007	0	0
Pseudacanthops_sp	1.70289e-005	1.58706e-007	0	0
N5	0.0557086	0.0227483	3.95171e-008	0
Liturgusa_cursor	0.443651	0.667079	0.998315	0
Liturgusa_maya	0.42911	0.0378283	0	0
N6	0.0169545	0.158391	2.74677e-011	0
N7	0.00175935	0.170354	6.61446e-011	0
N8	0.00174372	0.00366533	1.51433e-006	0
N9	0.000378467	0.0116861	0.391003	0
N10	0.0194328	0.0107927	0.440666	0
N11	0.000694139	0.0121297	0.156652	0
N12	0.00172537	0.000966376	0.0108543	0
N13	0.000547568	0.000555865	0.000605476	0
Antemna_rapax	0.0247182	0.0246249	0.000217123	0
N14	0.000331504	0.000372006	0.000123144	0
N15	0.000724934	0.000925638	4.44683e-005	0
Archimantis_sobrina	0.0155814	0.0152469	4.95101e-005	0
Sphodropoda_sp	0.0155814	0.0152469	4.95101e-005	0
Vates_sp	0.0191142	0.0189804	9.39785e-005	0
N16	0.00236055	0.00214905	0.000720586	0
N17	0.000957239	0.000269478	4.47153e-005	0
N18	0.0104015	5.41925e-005	3.22832e-006	0
Parathespis_humbertiana	1.98886	0.000101634	5.40487e-005	0
Tenodera_superstitiosa	0.013544	0.0247332	5.40487e-005	0
N19	0.00425046	0.00511079	5.57985e-005	0
Polyspilota_aeruginosa	0.00383761	0.00379158	1.49916e-006	0
N20	0.000298499	0.000286618	1.2002e-006	0
Tenodera_aridifolia	0.00219449	0.00216034	2.98957e-007	0
Tenodera_australasiae	0.00219449	0.00216034	2.98957e-007	0
Sphodromantis_sp	0.017874	0.0180005	0.000102013	0
N21	0.00128017	0.0265083	0.0110484	0
N22	0.0156185	0.000673446	0.000339626	0
Cheddikulama_straminea	0.0333561	0.0222284	0.000288821	0
N23	0.0130606	0.00350714	0.000249018	0
N24	0.00379937	0.00248727	3.57011e-005	0
Hierodula_patellifera	0.00368404	0.00342198	4.10181e-006	0
Statilia_maculata	0.00368404	0.00342198	4.10181e-006	0
Mantis_religiosa	0.0126719	0.0110977	3.9803e-005	0
N25	0.000597015	0.849723	0.000611053	0
Harpagomantis_tricolor	0.0118844	0.136621	1.7389e-005	0
Orthodera_sp	0.0118844	0.136621	1.7389e-005	0
Choeradodis_rhombicollis	1.85269	0.0108395	0.16833	0
N26	0.00577075	0.00831302	0.446115	0
N27	0.0521761	0.0511318	0.162773	0
Antistia_sp	0.000132276	0.000115683	0.000106818	0
Creobroter_laevicollis	0.000132276	0.000115683	0.000106818	0
N28	0.00137036	0.00153451	0.049917	0
N29	0.0238046	0.0181317	0.11108	0
N30	0.00690134	0.000322907	0.00123631	0
Empusa_sp	0.00676882	0.0180001	0.000642206	0
Kongobatha_sp	0.994297	0.00554224	0.000642206	0
Gongylus_sp	0.00858866	0.0132373	0.0018826	0
Hestiasula_sp	0.0492366	0.0481364	0.112963	0
N31	0.975307	0.00843292	2.20197e-006	0
Deiphobe_sp	2.03329	0.0154839	0.000405139	0
Miomantis_sp	0.136161	0.115925	0	0
N32	0.00107248	0.00588509	1.15503e-007	0
N33	0.000545651	0.0209053	0.0197438	0
N34	0.0215557	0.00456196	0.593331	0
N35	0.0364414	0.0670175	0.333092	0
Bolbe_pallida	1.04505	0.0192922	0.0537886	0
Cliomantis_cornuta	0.0236737	0.990736	0.0537578	0
Schizocephala_bicornis	1.03475	0.0569793	0.386881	0
N36	0.00119977	0.178172	0.0144145	0
N37	0.00640986	0.105364	0.0125657	0
Callimantis_antillarum	2.15205	0.0226754	0	0
N38	6.04935e-005	0.00827646	0.00358849	0
Dystacta_alticeps	0.373492	0.753952	0.949165	0
Ligaria_sp	0.0220032	0.782798	0.948864	0
Iris_sp	0.313401	0.858396	0.965776	0
Didymocorypha_lanceolata	1.04013	0.0501067	0	0
Humbertiella_similis	1.00806	0.0493525	1	0
N39	0.168048	0.0411132	5.95971e-005	0
N40	0.379061	0.364025	0.951047	0
Oligonyx_sp	0.334173	0.148269	0.0488719	0
Thesprotia_graminis	0.334173	0.148269	0.0488719	0
Pseudomiopteryx_infuscata	1.63407	0.0604523	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Acanthops_falcata	2.78741	0.08696	4.70489e-005	0
Pseudacanthops_sp	2.78741	0.08696	4.70489e-005	0
Liturgusa_cursor	1.82481	0.738905	0.998334	0
Liturgusa_maya	1.81027	0.109654	1.91586e-005	0
Antemna_rapax	0.119253	0.418901	0.999999	0
Archimantis_sobrina	0.111173	0.410821	0.999999	0
Sphodropoda_sp	0.111173	0.410821	0.999999	0
Vates_sp	0.113981	0.413629	0.999999	0
Parathespis_humbertiana	2.09657	0.396295	0.999999	0
Tenodera_superstitiosa	0.121251	0.420927	0.999999	0
Polyspilota_aeruginosa	0.105393	0.405041	0.999999	0
Tenodera_aridifolia	0.104049	0.403697	0.999999	0
Tenodera_australasiae	0.104049	0.403697	0.999999	0
Sphodromantis_sp	0.114222	0.41387	0.999999	0
Cheddikulama_straminea	0.142517	0.442164	0.999999	0
Hierodula_patellifera	0.129705	0.429352	0.999999	0
Statilia_maculata	0.129705	0.429352	0.999999	0
Mantis_religiosa	0.134893	0.434541	0.999999	0
Harpagomantis_tricolor	0.106024	1.40561	0.999999	0
Orthodera_sp	0.106024	1.40561	0.999999	0
Choeradodis_rhombicollis	1.94426	0.391464	1	0
Antistia_sp	0.130214	0.429392	0.999999	0
Creobroter_laevicollis	0.130214	0.429392	0.999999	0
Empusa_sp	0.116751	0.416134	0.999995	0
Kongobatha_sp	1.10428	0.403676	0.999995	0
Gongylus_sp	0.111669	0.411048	0.999999	0
Hestiasula_sp	0.128513	0.427816	0.999999	0
Deiphobe_sp	3.08035	0.382063	0.000408855	0
Miomantis_sp	1.18322	0.482503	3.7164e-006	0
Bolbe_pallida	1.17468	0.472143	0.999956	0
Cliomantis_cornuta	0.153302	1.44359	0.999925	0
Schizocephala_bicornis	1.12794	0.442812	0.999956	0
Callimantis_antillarum	2.23129	0.687482	0.0467241	0
Dystacta_alticeps	0.452794	1.42703	0.999478	0
Ligaria_sp	0.101304	1.45588	0.999176	0
Iris_sp	0.386232	1.41784	0.999934	0
Didymocorypha_lanceolata	1.11122	0.410472	1.15613e-007	0
Humbertiella_similis	1.07631	0.233478	1	0
Oligonyx_sp	0.881282	0.553407	0.999978	0
Thesprotia_graminis	0.881282	0.553407	0.999978	0
Pseudomiopteryx_infuscata	1.80212	0.101565	5.95971e-005	0
