#Nodes with GAIN events with expectation above 0.5
N3: 0.637523
N4: 1.41059
Parathespis_humbertiana: 1.90376
Choeradodis_rhombicollis: 1.4054
Miomantis_sp: 0.807793
Deiphobe_sp: 1.14474
Didymocorypha_lanceolata: 0.567862
Schizocephala_bicornis: 0.540876
Callimantis_antillarum: 1.74147
Bolbe_pallida: 0.612794
Pseudomiopteryx_infuscata: 1.01419
Total number of gain events: 16.6256
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.10814
Orthodera_sp: 0.874375
Harpagomantis_tricolor: 0.914904
Deiphobe_sp: 1.17011
Iris_sp: 1.29757
Schizocephala_bicornis: 0.804113
N34: 0.590794
Ligaria_sp: 1.04846
Dystacta_alticeps: 1.17773
Kongobatha_sp: 0.863624
N38: 0.595135
Bolbe_pallida: 0.603251
Cliomantis_cornuta: 1.81025
Oligonyx_sp: 0.829577
Thesprotia_graminis: 0.829577
Total number of loss events: 20.4018
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.951247
Hestiasula_sp: 0.523982
Creobroter_laevicollis: 0.709954
Iris_sp: 0.72014
Schizocephala_bicornis: 0.999851
Antistia_sp: 0.992552
Ligaria_sp: 0.98895
Dystacta_alticeps: 0.994705
N37: 0.832193
Bolbe_pallida: 0.510512
Cliomantis_cornuta: 0.509681
N40: 0.728779
Total number of duplication events: 13.8574
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0370784	0.0704833	8.10935e-009	0
N3	0.637523	0.0263089	0.00243266	0
N4	1.41059	0.312382	0.0312076	0
Acanthops_falcata	6.8722e-006	2.4721e-006	0	0
Pseudacanthops_sp	6.8722e-006	2.4721e-006	0	0
N5	0.0981378	0.0369519	0.000633393	0
Liturgusa_cursor	0.427709	1.10814	0.951247	0
Liturgusa_maya	0.489242	0.26819	0.000863576	0
N6	0.00117727	0.140881	3.20608e-009	0
N7	0.0218991	0.284076	1.62451e-008	0
N8	0.0034474	0.058656	1.14914e-007	0
N9	0.00507313	0.269481	0.000142272	0
N10	0.000853848	0.299819	0.289868	0
N11	0.000155664	0.00900898	0.0275975	0
N12	0.0171818	0.0238667	0.220026	0
N13	0.00328277	0.0656646	0.367145	0
N14	0.00875546	0.00674791	0.0574678	0
N15	0.00704827	0.0125166	0.0248459	0
Antemna_rapax	0.0549178	0.0584624	0.0126368	0
N16	0.00315437	0.00350004	0.00355027	0
Archimantis_sobrina	0.0412769	0.0444737	0.00908657	0
Sphodropoda_sp	0.0412769	0.0444737	0.00908657	0
N17	0.0374704	0.00405057	0.0100052	0
Parathespis_humbertiana	1.90376	0.0471793	0.0274776	0
N18	0.00310821	0.0283746	0.0148909	0
N19	0.00677667	0.0227385	0.0116197	0
N20	0.00152963	0.00262774	0.000844615	0
Polyspilota_aeruginosa	0.0107469	0.0109251	0.000122355	0
N21	6.38403e-005	7.0561e-005	1.99094e-005	0
Tenodera_aridifolia	0.0105099	0.0106814	0.000102445	0
Tenodera_australasiae	0.0105099	0.0106814	0.000102445	0
Tenodera_superstitiosa	0.0166293	0.0179056	0.00096697	0
Sphodromantis_sp	0.0438176	0.0610688	0.0125867	0
N22	0.00346642	0.0172088	0.0704997	0
N23	0.0041002	0.11103	0.017901	0
N24	0.0148705	0.0440403	0.00442118	0
N25	0.17465	0.0317781	0.00212708	0
Cheddikulama_straminea	0.000163253	0.000124615	1.59363e-006	0
Vates_sp	0.000163253	0.000124615	1.59363e-006	0
