#Nodes with GAIN events with expectation above 0.5
N3: 0.751248
N4: 0.864275
Parathespis_humbertiana: 1.69044
Choeradodis_rhombicollis: 1.1704
Miomantis_sp: 0.947429
Deiphobe_sp: 1.50305
Callimantis_antillarum: 1.17643
Pseudomiopteryx_infuscata: 0.839319
Total number of gain events: 13.4084
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.25479
N10: 0.909095
Orthodera_sp: 1.16098
Harpagomantis_tricolor: 1.03986
Schizocephala_bicornis: 1.18973
Deiphobe_sp: 1.38296
N34: 1.04737
Dystacta_alticeps: 0.917712
Ligaria_sp: 1.90578
Iris_sp: 2.17836
N37: 0.878193
Cliomantis_cornuta: 1.80964
Oligonyx_sp: 1.57528
Thesprotia_graminis: 1.57528
Total number of loss events: 26.2307
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.887775
Cheddikulama_straminea: 0.674917
Harpagomantis_tricolor: 0.674917
Vates_sp: 0.999054
Creobroter_laevicollis: 0.758114
Schizocephala_bicornis: 0.999793
N34: 0.975114
Ligaria_sp: 0.977417
Humbertiella_similis: 0.981791
Iris_sp: 0.981732
N37: 0.931056
Oligonyx_sp: 0.733211
Thesprotia_graminis: 0.733211
Total number of duplication events: 17.4497
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0328468	0.110939	1.82554e-007	0
N3	0.751248	0.16795	0.0189985	0
N4	0.864275	0.124758	0.00201454	0
Acanthops_falcata	0.000142813	0.000123589	0	0
Pseudacanthops_sp	0.000142813	0.000123589	0	0
N5	0.0292653	0.13266	0.000586254	0
Liturgusa_cursor	0.107771	1.25479	0.887775	0
Liturgusa_maya	0.104084	0.253097	9.06119e-005	0
N6	0.0107852	0.471194	1.69243e-008	0
N7	0.00217182	0.0522201	4.67718e-009	0
N8	0.00358351	0.0258428	2.61223e-008	0
N9	0.00108778	0.0201912	3.73964e-008	0
N10	0.0129494	0.909095	0.000799992	0
N11	0.00205459	0.0342771	0.000145741	0
N12	0.00330877	0.0232389	0.000178619	0
N13	0.0060398	0.0295195	0.315728	0
N14	0.00859135	0.0038284	0.0779788	0
N15	0.0296792	0.0508409	0.499893	0
N16	0.0018688	0.00955037	0.0458037	0
Antemna_rapax	0.0404674	0.0488983	0.0594725	0
N17	0.00420859	0.00715355	0.0277843	0
Archimantis_sobrina	0.0245667	0.0300418	0.0316881	0
Sphodropoda_sp	0.0245667	0.0300418	0.0316881	0
N18	0.0160924	0.00110956	0.0132509	0
Parathespis_humbertiana	1.69044	0.358073	0.0920253	0
N19	0.00158635	0.0279727	0.0728933	0
N20	0.0033153	0.00620452	0.0133821	0
N21	0.00568063	0.00734339	0.00549104	0
Polyspilota_aeruginosa	0.0016521	0.00191192	0.000258963	0
Tenodera_aridifolia	0.0016521	0.00191192	0.000258963	0
Tenodera_australasiae	0.0150912	0.0170139	0.00575	0
N22	0.000858246	0.00156242	0.00391388	0
Sphodromantis_sp	0.0249169	0.0290264	0.0152169	0
