#Nodes with GAIN events with expectation above 0.5
N3: 0.762642
N4: 1.31452
Parathespis_humbertiana: 1.95196
Choeradodis_rhombicollis: 1.81998
Kongobatha_sp: 0.788536
Humbertiella_similis: 0.661507
Deiphobe_sp: 1.72596
Callimantis_antillarum: 1.35611
Bolbe_pallida: 0.671637
Pseudomiopteryx_infuscata: 1.09964
Total number of gain events: 17.8336
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.02429
N9: 0.594329
Orthodera_sp: 0.926486
Harpagomantis_tricolor: 0.85294
Schizocephala_bicornis: 0.906885
Antistia_sp: 1.29399
Deiphobe_sp: 0.811723
Callimantis_antillarum: 0.593983
Iris_sp: 1.2168
N37: 0.604532
Dystacta_alticeps: 0.656355
Ligaria_sp: 0.967781
N38: 0.634663
Cliomantis_cornuta: 1.66823
N40: 0.570135
Oligonyx_sp: 0.737001
Thesprotia_graminis: 0.737001
Total number of loss events: 19.9256
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.953539
N9: 0.594231
Schizocephala_bicornis: 0.999987
N34: 0.913826
Iris_sp: 0.836451
Dystacta_alticeps: 0.570262
Ligaria_sp: 0.570215
N38: 0.651868
N40: 0.848101
Total number of duplication events: 9.92601
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0231842	0.0355611	1.92777e-009	0
N3	0.762642	0.0428898	0.00172548	0
N4	1.31452	0.191838	0.00593915	0
Acanthops_falcata	5.40372e-005	1.50929e-005	0	0
Pseudacanthops_sp	5.40372e-005	1.50929e-005	0	0
N5	0.180145	0.119972	0.000328174	0
Liturgusa_cursor	0.290321	1.02429	0.953539	0
Liturgusa_maya	0.242854	0.14653	1.07944e-005	0
N6	0.00661238	0.297242	1.69947e-007	0
N7	0.0264682	0.201634	2.49185e-007	0
N8	0.00505369	0.0351397	3.90288e-008	0
N9	0.00385983	0.594329	0.594231	0
N10	0.00586548	0.0475117	0.274797	0
N11	0.00756787	0.00947631	0.0951993	0
N12	0.00637265	0.00113196	0.00921009	0
N13	0.0153613	0.0175331	0.0224878	0
N14	0.0066602	0.0180469	0.00344324	0
Antemna_rapax	0.0327671	0.0355646	0.000630634	0
N15	0.00100105	0.00150988	0.000192005	0
Archimantis_sobrina	0.0263819	0.0286708	0.00043863	0
Sphodropoda_sp	0.0263819	0.0286708	0.00043863	0
N16	0.0205622	0.00191786	0.00109877	0
Parathespis_humbertiana	1.95196	0.0543909	0.0029751	0
N17	0.00188873	0.0280057	0.0023545	0
N18	0.00102716	0.00544593	0.000418969	0
N19	0.0022643	0.00383122	0.000157391	0
Polyspilota_aeruginosa	0.0149576	0.0156871	4.4245e-005	0
N20	0.00347637	0.00395839	3.99452e-005	0
Tenodera_aridifolia	0.00401693	0.0042644	4.29984e-006	0
Tenodera_australasiae	0.00401693	0.0042644	4.29984e-006	0
Sphodromantis_sp	0.0249438	0.0272402	0.000201636	0
Tenodera_superstitiosa	0.0357734	0.0424886	0.000620605	0
N21	0.130405	0.0166166	0.00717386	0
N22	0.0186774	0.232332	0.0178683	0
Cheddikulama_straminea	0.107226	0.0244538	0.00151945	0
Orthodera_sp	0.00930618	0.926486	0.00151945	0
Choeradodis_rhombicollis	1.81998	0.0848294	0.0193929	0
