#Nodes with GAIN events with expectation above 0.5
N3: 0.750411
N4: 0.96051
Parathespis_humbertiana: 1.85523
Choeradodis_rhombicollis: 1.83149
Didymocorypha_lanceolata: 0.680584
Kongobatha_sp: 0.585898
Miomantis_sp: 0.513406
Callimantis_antillarum: 1.50897
Humbertiella_similis: 0.529613
Deiphobe_sp: 1.62271
Pseudomiopteryx_infuscata: 0.99772
Total number of gain events: 16.5008
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.02997
N10: 0.546374
Orthodera_sp: 0.985478
Harpagomantis_tricolor: 0.790792
N33: 0.519533
Antistia_sp: 0.569485
Cliomantis_cornuta: 1.51969
Schizocephala_bicornis: 0.8184
N38: 0.615847
Dystacta_alticeps: 1.07034
Ligaria_sp: 1.26863
Iris_sp: 1.73449
Deiphobe_sp: 0.731495
Oligonyx_sp: 1.18831
Thesprotia_graminis: 1.18831
Total number of loss events: 21.5969
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.989075
Schizocephala_bicornis: 0.677513
Dystacta_alticeps: 0.850767
Ligaria_sp: 0.850637
Iris_sp: 0.992099
Humbertiella_similis: 0.996866
Oligonyx_sp: 0.545118
Thesprotia_graminis: 0.545118
Total number of duplication events: 11.1156
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.104292	0.10433	1.61251e-006	0
N3	0.750411	0.110033	0.00493291	0
N4	0.96051	0.111407	0.00221121	0
Acanthops_falcata	0.000190175	0.000122169	0	0
Pseudacanthops_sp	0.000190175	0.000122169	0	0
N5	0.107319	0.256244	8.78198e-005	0
Liturgusa_cursor	0.110001	1.02997	0.989075	0
Liturgusa_maya	0.0658047	0.0548795	2.64671e-007	0
N6	0.0203149	0.274325	4.62951e-008	0
N7	0.00565858	0.43321	2.97764e-008	0
N8	0.000986375	0.0405854	7.8012e-008	0
N9	0.002598	0.175927	0.000107742	0
N10	0.00248587	0.546374	0.486896	0
N11	0.00393517	0.0330413	0.194378	0
N12	0.0132434	0.0253594	0.268825	0
N13	0.00346247	0.00173417	0.0163238	0
N14	0.00824872	0.0127137	0.0297146	0
N15	0.000569503	0.000645118	0.000468249	0
Antemna_rapax	0.0857922	0.0877918	0.00281459	0
N16	0.00654978	0.00566739	0.000992763	0
Archimantis_sobrina	0.0601985	0.0630795	0.00182182	0
Sphodropoda_sp	0.0601985	0.0630795	0.00182182	0
N17	0.00930143	0.00341462	0.00173051	0
N18	0.0107433	0.00139316	0.000343378	0
N19	0.0961542	0.00226974	0.000110333	0
Parathespis_humbertiana	1.85523	0.0513805	0.00109876	0
Tenodera_superstitiosa	0.0328493	0.144074	0.00109876	0
N20	0.0125589	0.0287371	0.00114478	0
N21	0.0015292	0.00224914	4.77482e-005	0
Polyspilota_aeruginosa	0.00712284	0.00753748	1.65592e-005	0
Tenodera_aridifolia	0.00712284	0.00753748	1.65592e-005	0
Tenodera_australasiae	0.0102289	0.0113635	6.43074e-005	0
Sphodromantis_sp	0.0640598	0.072021	0.00155247	0
N22	0.0196279	0.00345146	0.00217492	0
N23	0.0119464	0.0841901	0.0189345	0
Cheddikulama_straminea	0.131309	0.0817854	0.0118882	0
Orthodera_sp	0.0357755	0.985478	0.0118882	0
Choeradodis_rhombicollis	1.83149	0.396332	0.0308229	0
N24	0.0140483	0.0137092	0.0258395	0
N25	0.0202656	0.0211109	0.0161715	0
Hierodula_patellifera	0.0371914	0.0414936	0.00731034	0
