#Nodes with GAIN events with expectation above 0.5
N2: 0.849597
N3: 1.0944
Parathespis_humbertiana: 1.86602
Choeradodis_rhombicollis: 1.82631
Miomantis_sp: 0.974226
Deiphobe_sp: 1.76736
Callimantis_antillarum: 1.23639
Kongobatha_sp: 1.05938
Bolbe_pallida: 0.615827
Pseudomiopteryx_infuscata: 1.05629
Total number of gain events: 16.4519
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.00049
N9: 0.548791
Orthodera_sp: 1.04313
Harpagomantis_tricolor: 0.839331
Schizocephala_bicornis: 0.883986
N33: 0.540753
Iris_sp: 1.0224
Dystacta_alticeps: 1.07241
Ligaria_sp: 1.63392
N37: 0.677073
Cliomantis_cornuta: 1.39796
Oligonyx_sp: 0.822074
Thesprotia_graminis: 0.822074
Total number of loss events: 17.7498
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.982927
N11: 0.625355
Creobroter_laevicollis: 0.743783
Hestiasula_sp: 0.584346
Schizocephala_bicornis: 0.99995
Iris_sp: 0.75205
Dystacta_alticeps: 0.558772
Humbertiella_similis: 0.966829
N37: 0.578715
N40: 0.759226
Total number of duplication events: 12.5195
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.849597	0.027647	0.000379146	0
N3	1.0944	0.0735186	0.00143979	0
Acanthops_falcata	1.35161e-005	1.9161e-006	0	0
Pseudacanthops_sp	1.35161e-005	1.9161e-006	0	0
N4	0.0940517	0.102222	1.76589e-005	0
Liturgusa_cursor	0.1134	1.00049	0.982927	0
Liturgusa_maya	0.104711	0.0670896	1.44473e-007	0
N5	0.00154345	0.132893	3.43554e-009	0
N6	0.000661087	0.215105	5.63543e-007	0
N7	0.00546405	0.0551391	4.26388e-007	0
N8	0.00995964	0.0835555	9.44532e-007	0
N9	0.000200248	0.548791	0.000245579	0
N10	0.00135783	0.0193174	3.78606e-005	0
N11	0.000867212	0.10187	0.625355	0
N12	0.00214994	0.0108654	0.303719	0
N13	0.00637205	0.000437332	0.0104024	0
N14	0.00793108	0.00555584	0.036436	0
N15	0.0050136	0.0114653	0.0137345	0
Antemna_rapax	0.0506369	0.0563752	0.0100478	0
N16	0.0101595	0.0134048	0.0075327	0
Archimantis_sobrina	0.0218561	0.0243489	0.00251507	0
Sphodropoda_sp	0.0218561	0.0243489	0.00251507	0
N17	0.0638617	0.00557495	0.00638128	0
Parathespis_humbertiana	1.86602	0.113745	0.0174011	0
N18	0.00606595	0.0703307	0.0157099	0
N19	0.00741133	0.0137168	0.0016814	0
N20	1.04989e-005	2.04009e-005	2.33493e-006	0
Polyspilota_aeruginosa	0.00380218	0.00384891	7.35219e-006	0
Tenodera_australasiae	0.00380218	0.00384891	7.35219e-006	0
Tenodera_aridifolia	0.00381752	0.00387416	9.68714e-006	0
N21	0.00337036	0.00818138	0.00133467	0
Sphodromantis_sp	0.00877991	0.0103309	0.000356418	0
Tenodera_superstitiosa	0.00877991	0.0103309	0.000356418	0
N22	0.11917	0.00474182	0.00526289	0
Cheddikulama_straminea	0.0688978	0.194051	0.0549554	0
Choeradodis_rhombicollis	1.82631	0.134737	0.0549554	0
N23	0.00184714	0.0116222	0.0347971	0
N24	0.0218516	0.0148837	0.0286834	0
N25	0.00774238	0.00756605	0.00517268	0
Hierodula_patellifera	0.0200298	0.0212236	0.0019699	0
Statilia_maculata	0.0200298	0.0212236	0.0019699	0
Mantis_religiosa	0.0424907	0.0435033	0.00714258	0
Orthodera_sp	0.0514409	1.04313	0.035826	0
N26	0.100956	0.272113	0.374037	0
Harpagomantis_tricolor	0.000129863	0.839331	0.000305149	0
Vates_sp	0.161302	0.000519342	0.000305161	0
Miomantis_sp	0.974226	0.0927092	0.00126867	0
N27	0.00114716	0.0880885	0.255966	0
Creobroter_laevicollis	0.114551	0.165441	0.743783	0
N28	0.00266016	0.0237833	0.159435	0
N29	0.0407887	0.0622527	0.496979	0
Empusa_sp	0.0269784	0.0306023	0.087367	0
Gongylus_sp	0.0269784	0.0306023	0.087367	0
Hestiasula_sp	0.105412	0.132237	0.584346	0
N30	0.0959189	0.00180429	4.68413e-005	0
N31	0.33314	0.014506	0.000352093	0
Deiphobe_sp	1.76736	0.211642	0.0584743	0
Didymocorypha_lanceolata	0.168728	0.262482	5.6416e-005	0
Schizocephala_bicornis	0.368891	0.883986	0.99995	0
N32	0.0143096	0.0604583	0.0331735	0
N33	0.0104672	0.540753	0.125101	0
N34	0.181889	0.346895	0.0684807	0
Callimantis_antillarum	1.23639	0.298333	0	0
Iris_sp	0.126828	1.0224	0.75205	0
N35	0.00541726	0.173362	0.282081	0
Dystacta_alticeps	0.0922236	1.07241	0.558772	0
N36	0.0330398	0.0856248	0.172544	0
Kongobatha_sp	1.05938	0.103325	0.386229	0
Ligaria_sp	0.0275686	1.63392	0.384743	0
Humbertiella_similis	0.451968	0.150622	0.966829	0
N37	0.0224674	0.677073	0.578715	0
N38	0.256631	0.271883	0.415147	0
Antistia_sp	0.00584729	0.399199	0.00610752	0
Bolbe_pallida	0.615827	0.00971943	0.00610752	0
Cliomantis_cornuta	0.0972498	1.39796	0.421252	0
N39	0.0598419	0.0374502	0.000350504	0
N40	0.0258654	0.300562	0.759226	0
Oligonyx_sp	0.112767	0.822074	0.240416	0
Thesprotia_graminis	0.112767	0.822074	0.240416	0
Pseudomiopteryx_infuscata	1.05629	0.0966725	0.000399629	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Acanthops_falcata	1.94401	0.101168	0.00181894	0
Pseudacanthops_sp	1.94401	0.101168	0.00181894	0
Liturgusa_cursor	1.05705	1.13036	0.983324	0
Liturgusa_maya	1.04836	0.196958	0.00039695	0
Antemna_rapax	0.0921571	1.24137	0.99998	0
Archimantis_sobrina	0.0735358	1.22275	0.99998	0
Sphodropoda_sp	0.0735358	1.22275	0.99998	0
Parathespis_humbertiana	1.96639	1.29285	0.99998	0
Polyspilota_aeruginosa	0.117658	1.26702	0.99998	0
Tenodera_australasiae	0.117658	1.26702	0.99998	0
Tenodera_aridifolia	0.117663	1.26703	0.99998	0
Sphodromantis_sp	0.118585	1.26795	0.99998	0
Tenodera_superstitiosa	0.118585	1.26795	0.99998	0
Cheddikulama_straminea	0.216643	1.36677	0.99998	0
Choeradodis_rhombicollis	1.97406	1.30745	0.99998	0
Hierodula_patellifera	0.0736743	1.22283	0.999983	0
Statilia_maculata	0.0736743	1.22283	0.999983	0
Mantis_religiosa	0.0883929	1.23754	0.999983	0
Orthodera_sp	0.0754915	2.22229	0.999983	0
Harpagomantis_tricolor	0.121139	2.26811	0.999983	0
Vates_sp	0.282311	1.4293	0.999983	0
Miomantis_sp	0.993412	1.14751	0.00155405	0
Creobroter_laevicollis	0.133526	1.28901	0.999996	0
Empusa_sp	0.089403	1.24021	0.999995	0
Gongylus_sp	0.089403	1.24021	0.999995	0
Hestiasula_sp	0.127047	1.27959	0.999995	0
Deiphobe_sp	2.21405	0.714645	0.0588752	0
Didymocorypha_lanceolata	0.615415	0.765484	0.000457288	0
Schizocephala_bicornis	0.482439	1.37248	0.999999	0
Callimantis_antillarum	1.45072	1.64958	0.226756	0
Iris_sp	0.341163	2.37364	0.978806	0
Dystacta_alticeps	0.130086	2.25012	0.999128	0
Kongobatha_sp	1.13028	1.36666	0.999129	0
Ligaria_sp	0.0984711	2.89725	0.997643	0
Humbertiella_similis	0.473947	0.614217	1	0
Antistia_sp	0.287151	1.69615	0.999971	0
Bolbe_pallida	0.89713	1.30667	0.999971	0
Cliomantis_cornuta	0.121922	2.42303	0.999968	0
Oligonyx_sp	0.200017	1.29298	0.999993	0
Thesprotia_graminis	0.200017	1.29298	0.999993	0
Pseudomiopteryx_infuscata	1.11767	0.267016	0.000750137	0
