#Nodes with GAIN events with expectation above 0.5
N3: 0.806402
N4: 1.35907
Parathespis_humbertiana: 1.97495
Choeradodis_rhombicollis: 1.96967
Deiphobe_sp: 2.45387
Didymocorypha_lanceolata: 0.863653
Callimantis_antillarum: 1.76543
Kongobatha_sp: 1.05807
Bolbe_pallida: 0.913782
Miomantis_sp: 0.853871
Schizocephala_bicornis: 0.841449
Humbertiella_similis: 0.52875
Pseudomiopteryx_infuscata: 1.09979
Total number of gain events: 19.0345
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.848687
Orthodera_sp: 0.99255
Harpagomantis_tricolor: 1.05378
Deiphobe_sp: 0.578497
Iris_sp: 1.0883
Dystacta_alticeps: 0.978848
Ligaria_sp: 1.16603
Cliomantis_cornuta: 1.17142
Oligonyx_sp: 0.718567
Thesprotia_graminis: 0.718567
Total number of loss events: 12.988
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.997008
N27: 0.51036
Antistia_sp: 1
Iris_sp: 0.95304
N35: 0.783047
Ligaria_sp: 0.863277
N38: 0.557416
Schizocephala_bicornis: 0.999987
Humbertiella_similis: 0.999602
N40: 0.727857
Total number of duplication events: 11.5182
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0242413	0.0482287	6.86498e-012	0
N3	0.806402	0.0122189	7.05052e-005	0
N4	1.35907	0.0559658	0.00104707	0
Acanthops_falcata	1.17446e-005	4.85287e-007	0	0
Pseudacanthops_sp	1.17446e-005	4.85287e-007	0	0
N5	0.174841	0.0659022	2.26138e-006	0
Liturgusa_cursor	0.264927	0.848687	0.997008	0
Liturgusa_maya	0.242291	0.0418404	0	0
N6	0.00201863	0.257998	8.44452e-013	0
N7	0.000311699	0.344643	8.60993e-013	0
N8	0.0018455	0.23837	2.48319e-008	0
N9	0.00124177	0.0057954	0.0152029	0
N10	0.000671036	0.0482642	0.429349	0
N11	0.00589804	0.0162432	0.482087	0
N12	0.00346386	0.000817623	0.0470263	0
N13	0.00404783	0.00275173	0.02051	0
N14	0.00386292	0.00415295	0.00503507	0
N15	0.00316231	0.00342266	0.000404416	0
Antemna_rapax	0.0351021	0.0351053	0.00020301	0
N16	0.00470728	0.00478755	0.000134375	0
Archimantis_sobrina	0.0195228	0.0194457	6.8635e-005	0
Sphodropoda_sp	0.0195228	0.0194457	6.8635e-005	0
N17	0.00375239	0.00145974	0.000290609	0
N18	0.0264491	0.00386644	0.000146803	0
Parathespis_humbertiana	1.97495	0.000252834	0.000170013	0
N19	0.0017874	0.0255545	0.000153565	0
N20	0.000425778	0.00155821	1.19769e-005	0
Polyspilota_aeruginosa	0.0105361	0.0107756	4.47064e-006	0
N21	0.00196712	0.00219487	3.82108e-006	0
Tenodera_aridifolia	0.00480859	0.00482035	6.49564e-007	0
Tenodera_australasiae	0.00480859	0.00482035	6.49564e-007	0
