#Nodes with GAIN events with expectation above 0.5
N3: 0.66032
N4: 1.37672
Parathespis_humbertiana: 2.00728
Choeradodis_rhombicollis: 1.94995
Miomantis_sp: 1.07705
Callimantis_antillarum: 1.98451
Kongobatha_sp: 0.969973
Didymocorypha_lanceolata: 0.550155
Schizocephala_bicornis: 0.574139
Humbertiella_similis: 0.523728
Deiphobe_sp: 1.98717
Bolbe_pallida: 0.71564
Pseudomiopteryx_infuscata: 1.1572
Total number of gain events: 18.9868
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 0.924799
N9: 0.501934
Orthodera_sp: 0.994084
Harpagomantis_tricolor: 0.858574
N33: 0.54697
Dystacta_alticeps: 0.560742
Ligaria_sp: 0.905509
Iris_sp: 1.0422
Schizocephala_bicornis: 0.795056
Antistia_sp: 1.2884
N38: 0.628133
Cliomantis_cornuta: 1.57654
N40: 0.574528
Oligonyx_sp: 0.665758
Thesprotia_graminis: 0.665758
Total number of loss events: 16.5588
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.976279
N12: 0.922721
N28: 0.548963
Dystacta_alticeps: 0.530782
Ligaria_sp: 0.530769
N34: 0.978478
Schizocephala_bicornis: 0.998494
N37: 0.791882
N38: 0.656209
N40: 0.875544
Total number of duplication events: 11.1085
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0704034	0.0727234	1.49482e-008	0
N3	0.66032	0.0226864	0.000390854	0
N4	1.37672	0.133809	0.00734669	0
Acanthops_falcata	0.000111685	0.000102508	0	0
Pseudacanthops_sp	0.000111685	0.000102508	0	0
N5	0.231375	0.11024	7.01627e-005	0
Liturgusa_cursor	0.303966	0.924799	0.976279	0
Liturgusa_maya	0.260214	0.0944773	8.98396e-007	0
N6	0.00747601	0.273375	3.46558e-009	0
N7	0.0257857	0.0672025	1.47583e-009	0
N8	0.00533058	0.201116	2.11959e-009	0
N9	0.000917019	0.501934	1.39101e-005	0
N10	0.000564988	0.0439678	6.20886e-005	0
N11	0.00250458	0.00234373	6.9049e-006	0
N12	0.00672188	0.034259	0.922721	0
N13	0.0015995	0.00101795	0.0723538	0
N14	0.00230693	0.00192132	0.00409173	0
N15	0.00337094	0.00332327	0.000465792	0
Antemna_rapax	0.0314527	0.0320765	0.000280028	0
N16	0.0138084	0.0142301	0.000268554	0
Archimantis_sobrina	0.00405039	0.00425245	1.14735e-005	0
Sphodropoda_sp	0.00405039	0.00425245	1.14735e-005	0
N17	0.0113356	0.00480027	0.000634692	0
N18	0.00711794	0.00044746	2.58564e-005	0
Parathespis_humbertiana	2.00728	0.0212201	8.51795e-005	0
N19	0.000630674	0.0108757	6.22776e-005	0
N20	0.00186074	0.00525115	2.20091e-005	0
N21	0.000336268	0.00042997	6.51137e-007	0
Polyspilota_aeruginosa	0.00364616	0.00371046	2.41631e-007	0
Tenodera_superstitiosa	0.00364616	0.00371046	2.41631e-007	0
Tenodera_aridifolia	0.00522195	0.00537996	8.92811e-007	0
Tenodera_australasiae	0.0133447	0.0168931	2.29019e-005	0
