#Nodes with GAIN events with expectation above 0.5
N3: 0.800709
N4: 1.22586
Parathespis_humbertiana: 1.78331
Choeradodis_rhombicollis: 1.64246
Miomantis_sp: 1.04402
Kongobatha_sp: 0.856627
N30: 0.519846
Deiphobe_sp: 1.65943
Bolbe_pallida: 0.660684
Schizocephala_bicornis: 0.777012
Callimantis_antillarum: 0.926712
Humbertiella_similis: 0.852206
Pseudomiopteryx_infuscata: 1.0819
Total number of gain events: 17.9824
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Liturgusa_cursor: 1.00511
N6: 0.63818
Orthodera_sp: 0.886783
Harpagomantis_tricolor: 0.872787
Deiphobe_sp: 0.553369
Cliomantis_cornuta: 1.25108
N38: 0.501775
Callimantis_antillarum: 1.19627
Ligaria_sp: 0.801318
Dystacta_alticeps: 1.071
Iris_sp: 1.51888
Oligonyx_sp: 0.968844
Thesprotia_graminis: 0.968844
Total number of loss events: 18.2171
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.971437
N25: 0.60731
Creobroter_laevicollis: 0.729392
N28: 0.572996
Hestiasula_sp: 0.609477
N32: 0.607497
Ligaria_sp: 0.583196
Dystacta_alticeps: 0.810526
Humbertiella_similis: 0.937267
Iris_sp: 0.9593
N40: 0.594629
Total number of duplication events: 13.2349
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0351108	0.0749052	4.41587e-008	0
N3	0.800709	0.0289673	0.00407585	0
N4	1.22586	0.125323	0.00819968	0
Acanthops_falcata	2.02318e-006	4.70302e-007	0	0
Pseudacanthops_sp	2.02318e-006	4.70302e-007	0	0
N5	0.144719	0.0873316	0.000328958	0
Liturgusa_cursor	0.212866	1.00511	0.971437	0
Liturgusa_maya	0.199405	0.108778	1.84993e-005	0
N6	0.00608047	0.63818	4.34717e-006	0
N7	0.00545253	0.0185756	5.04712e-007	0
N8	0.00196724	0.295518	0.000351725	0
N9	0.0111952	0.0662803	0.000278821	0
N10	0.000805609	0.0445434	0.37416	0
N11	0.00264129	0.010705	0.259494	0
N12	0.0024828	0.000609646	0.0304584	0
N13	0.0535174	0.00175703	0.0399434	0
N14	0.0160915	0.0274517	0.17461	0
N15	0.000173726	0.0353031	0.0654071	0
N16	0.000865211	0.00791734	0.0191342	0
Antemna_rapax	0.0511327	0.0617381	0.0351004	0
N17	0.00663869	0.0121395	0.0205146	0
Archimantis_sobrina	0.0306735	0.0357733	0.0145858	0
Sphodropoda_sp	0.0306735	0.0357733	0.0145858	0
N18	0.00454664	0.0166249	0.0366926	0
N19	0.00785686	0.0129643	0.0165232	0
N20	0.000805689	0.0012123	0.000945833	0
N21	6.80479e-005	6.75778e-005	3.14437e-005	0
Polyspilota_aeruginosa	0.00598132	0.00604345	4.4155e-005	0
Tenodera_australasiae	0.00598132	0.00604345	4.4155e-005	0
Tenodera_aridifolia	0.00665765	0.0067193	7.56001e-005	0
Tenodera_superstitiosa	0.0131342	0.0136025	0.00102143	0
Sphodromantis_sp	0.0385697	0.0441473	0.0175447	0
Parathespis_humbertiana	1.78331	0.128677	0.119661	0
Choeradodis_rhombicollis	1.64246	0.190414	0.29427	0
N22	0.0149582	0.0205256	0.188705	0
N23	0.0261718	0.0294882	0.121416	0
Hierodula_patellifera	0.0199719	0.0223698	0.0240937	0
Statilia_maculata	0.0199719	0.0223698	0.0240937	0
