#Nodes with GAIN events with expectation above 0.5
N4: 1.29545
Liturgusa_maya: 0.721954
N22: 0.695392
Choeradodis_rhombicollis: 0.729072
N30: 0.538302
Deiphobe_sp: 1.46891
Callimantis_antillarum: 1.33729
Kongobatha_sp: 0.839614
Humbertiella_similis: 0.619537
Bolbe_pallida: 0.668713
Pseudomiopteryx_infuscata: 1.08571
Total number of gain events: 17.7879
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N4: 1.07225
Liturgusa_cursor: 1.82701
Liturgusa_maya: 0.799477
N6: 0.540732
N12: 0.705512
N24: 1.10045
Choeradodis_rhombicollis: 0.795181
Creobroter_laevicollis: 0.71984
Deiphobe_sp: 0.632278
Miomantis_sp: 0.790234
Schizocephala_bicornis: 1.20597
N33: 0.586151
N35: 0.688241
Callimantis_antillarum: 1.00625
Iris_sp: 0.855132
Kongobatha_sp: 0.811061
N37: 0.767705
Dystacta_alticeps: 0.868711
Ligaria_sp: 1.18791
Humbertiella_similis: 0.884116
N38: 1.03834
Bolbe_pallida: 0.518111
Cliomantis_cornuta: 1.79521
N39: 0.666371
Oligonyx_sp: 1.50232
Thesprotia_graminis: 1.50232
Pseudomiopteryx_infuscata: 0.676798
Total number of loss events: 31.7926
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Liturgusa_cursor: 0.835506
N12: 0.57451
Choeradodis_rhombicollis: 0.837426
Creobroter_laevicollis: 0.74678
Schizocephala_bicornis: 0.998982
Antistia_sp: 0.739542
Iris_sp: 0.728663
Kongobatha_sp: 0.896939
Dystacta_alticeps: 0.655256
Ligaria_sp: 0.655179
Humbertiella_similis: 0.985492
N38: 0.697502
Oligonyx_sp: 0.705415
Thesprotia_graminis: 0.705415
Total number of duplication events: 15.2708
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.139818	0.295045	3.68593e-005	0
N3	0.33639	0.1146	0.00975022	0
N4	1.29545	1.07225	0.145123	0
Acanthops_falcata	3.40282e-006	6.86124e-006	0	0
Pseudacanthops_sp	3.40282e-006	6.86124e-006	0	0
N5	0.169044	0.136715	0.0143503	0
Liturgusa_cursor	0.457064	1.82701	0.835506	0
Liturgusa_maya	0.721954	0.799477	0.0154671	0
N6	0.0328498	0.540732	2.71748e-006	0
N7	0.020309	0.11347	5.40862e-007	0
N8	0.00588602	0.0151523	5.38279e-007	0
N9	0.00420582	0.0228122	0.000131832	0
N10	0.00853341	0.274128	0.0606836	0
N11	0.0212895	0.11175	0.104827	0
N12	0.0362542	0.705512	0.57451	0
N13	0.0283866	0.0543495	0.155336	0
N14	0.00546518	0.03541	0.0448535	0
N15	0.0133359	0.0310712	0.0356606	0
N16	0.00362679	0.00639645	0.00680016	0
Antemna_rapax	0.0849887	0.0954867	0.0171825	0
N17	0.014678	0.0178294	0.00983747	0
Archimantis_sobrina	0.0431685	0.0505117	0.00734504	0
Sphodropoda_sp	0.0431685	0.0505117	0.00734504	0
Sphodromantis_sp	0.10792	0.121213	0.0239827	0
N18	0.0570012	0.0850451	0.0563055	0
N19	0.00214215	0.00430737	0.00260675	0
Polyspilota_aeruginosa	0.0222423	0.0231279	0.00073107	0
N20	0.000451578	0.000524569	0.000185971	0
Tenodera_aridifolia	0.0188743	0.0196864	0.000545061	0
Tenodera_australasiae	0.0188743	0.0196864	0.000545061	0
Tenodera_superstitiosa	0.035104	0.0381589	0.00333782	0
N21	0.0499431	0.00884086	0.0151498	0
N22	0.695392	0.195513	0.0872876	0
Cheddikulama_straminea	4.0367e-005	0.488913	0.00128529	0
Parathespis_humbertiana	0.488873	3.77912e-006	0.000793761	0
Vates_sp	0.168597	0.272052	0.089347	0
N23	0.0143272	0.0771579	0.105643	0
N24	0.107412	1.10045	0.154179	0
Harpagomantis_tricolor	0.00334365	0.0148108	1.07249e-005	0
Orthodera_sp	0.00334365	0.0148108	1.07249e-005	0
N25	0.0384957	0.0354431	0.0510675	0
N26	0.102291	0.125481	0.0981583	0
