#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.205466
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.994972
Leiotettix_pulcher: 0.995092
Scotussa_daguerrei: 0.994921
Chlorus_bolivianus: 1.84085
Dichromatos_lilloanus: 0.947671
Ronderosia_sp: 0.60288
Tropidostethus_sp: 0.60288
Dichroplus_pratensis: 1.13509
Dichroplus_silveiraguidoi: 1.99099
Dichroplus_patruelis: 0.996618
Dichroplus_vittatus: 1.42838
Leiotettix_flavipes: 1.00133
Xyleus_laevipes: 0.987395
Total number of loss events: 15.5233
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.679165
N7: 0.831398
Dichroplus_conspersus: 0.666425
Marellia_remipes: 0.666425
Dichroplus_pratensis: 0.879643
Dichroplus_democraticus: 1.00197
N23: 0.964121
N25: 0.905341
Diponthus_sp: 0.576711
Leiotettix_viridis: 0.576711
Dichroplus_maculipennis: 0.587396
Dichroplus_vittatus: 0.587227
Pseudoscopas_nigrigena: 0.664912
Ommexecha_sp: 0.678139
Leiotettix_flavipes: 0.715609
Dichromorpha_sp: 0.587984
N38: 0.751331
Prionolopha_serrata: 0.531224
N42: 0.517182
Xyleus_modestus: 0.624497
N43: 1.77555
Total number of duplication events: 20.3001
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.58011e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00994265	0.0491839	0.679165	8.47114e-013
N3	0.00149521	0.00226835	0.0854301	2.02213e-015
N4	0.00175841	0.00184224	0.0194239	5.26187e-018
N5	2.21779e-006	3.65935e-006	0.000264202	1.03675e-021
N6	0.000117906	0.000118917	0.000137897	4.28054e-023
N7	0.000916347	0.00641516	0.831398	1.08088e-015
N8	0.000229451	0.000236151	0.0346618	8.31366e-014
N9	0.00198785	0.000797155	0.127796	5.39568e-012
N10	0.0042999	8.82282e-006	0.00417487	1.58214e-013
N11	0.000164223	0.00441238	0.00188667	2.68489e-015
Atrachelacris_sp	5.49612e-006	0.994972	9.02184e-005	0
Ommatolampis_sp	0.00515316	0.000123643	9.02179e-005	0
N12	0.000532902	1.2529e-005	0.000998332	7.41154e-014
N13	0.000141546	0.00479165	0.00096842	1.11104e-014
Leiotettix_pulcher	5.33979e-007	0.995092	1.01304e-005	0
Scotussa_lemniscata	0.00491009	1.57249e-006	1.01304e-005	0
Scotussa_impudica	0.000397196	0.000168871	0.000978551	9.34641e-013
Scotussa_daguerrei	0.000102444	0.994921	0.00615177	0
N14	0.000157465	0.0450257	0.0213148	7.30681e-015
Chlorus_bolivianus	2.58604e-007	1.84085	0.112633	0
N15	0.00194157	0.00308503	0.0852051	1.50583e-009
Dichromatos_lilloanus	0.000290481	0.947671	0.0273555	0
Paulinia_acuminata	0.0504202	0.00504635	0.0273556	8.42638e-010
N16	3.95554e-006	0.391191	0.0925893	1.81037e-015
Ronderosia_sp	0.0020815	0.60288	0.0760201	0
Tropidostethus_sp	0.0020815	0.60288	0.0760201	0
N17	0.000242144	0.00024124	7.52399e-006	1.19357e-022
N18	8.23309e-007	2.47225e-006	5.4794e-007	3.08759e-022
N19	8.91697e-007	2.1927e-005	6.19316e-008	1.65793e-024
N20	2.83087e-006	0.000280776	0.120357	2.32332e-015
N21	0.00025526	1.10792e-006	0.21318	1.3283e-009
Dichroplus_conspersus	0.000471999	0.000628702	0.666425	8.117e-010
Marellia_remipes	0.000471999	0.000628702	0.666425	8.117e-010
Dichroplus_pratensis	2.5601e-007	1.13509	0.879643	0
N22	0.000393342	0.00934564	6.21068e-008	3.74395e-023
Dichroplus_democraticus	0.00567106	0.00253267	1.00197	1.34239e-010
Dichroplus_silveiraguidoi	1.1696e-005	1.99099	1.15858e-005	0
N23	0.000510505	0.00051416	0.964121	8.75603e-014
N24	0.00010975	0.000118959	0.0354316	5.13924e-015
Dichroplus_exilis	1.88884e-008	3.63178e-007	0.000447275	0
Dichroplus_fuscus	1.88884e-008	3.63178e-007	0.000447275	0
Dichroplus_schulzi	0.00011472	0.000123987	0.0358789	0
N25	0.000554765	0.000578397	0.905341	1.81355e-012
Dichroplus_elongatus	0.000138062	0.000141358	0.0946595	0
N26	0.00011743	0.00349556	0.0930173	9.12334e-014
Dichroplus_paraelongatus	0.00338401	1.31731e-006	0.00164213	0
Dichroplus_patruelis	3.72658e-007	0.996618	0.00164213	0
N27	0.000596711	0.000628273	0.423437	1.97332e-012
Diponthus_sp	0.00187991	0.00463715	0.576711	1.81485e-009
Leiotettix_viridis	0.00187991	0.00463715	0.576711	1.81485e-009
N28	8.69077e-005	0.000115881	0.284802	3.73674e-015
N29	2.73845e-005	3.09615e-006	0.0374694	4.72042e-013
N30	4.23837e-006	1.41123e-005	0.0132275	8.84028e-014
N31	0.000297253	0.00831216	0.077685	1.12159e-013
Dichroplus_maculipennis	0.00798193	0.00494582	0.587396	9.74804e-008
Dichroplus_vittatus	5.61172e-006	1.42838	0.587227	0
Pseudoscopas_nigrigena	0.00250548	0.00634376	0.664912	2.3479e-009
Ommexecha_sp	0.0027367	0.00683488	0.678139	5.76458e-009
Leiotettix_flavipes	0.0102605	1.00133	0.715609	0
N32	0.000201115	0.000262539	0.265397	1.70637e-011
N33	0.000113374	0.00013606	0.166446	5.3247e-011
Dichromorpha_sp	0.00414246	0.019846	0.587984	1.37228e-008
N34	2.60797e-005	3.77749e-005	0.106111	2.80759e-011
N35	0.00158683	0.00384901	0.382463	4.78359e-009
Hyalopteryx_rufipennis	0.000668347	0.00158424	0.0994111	5.39841e-010
Leptysma_sp	0.000668347	0.00158424	0.0994111	5.39841e-010
N36	0.0023425	0.00692546	0.437747	1.54551e-009
N37	0.000159571	0.000389607	0.044081	8.85452e-011
Schistocerca_cancellata	9.19331e-009	3.18142e-007	4.51073e-005	0
Schistocerca_pallens	9.19331e-009	3.18142e-007	4.51073e-005	0
Schistocerca_flavofasciata	0.000161172	0.000391205	0.0441261	8.85031e-011
N38	0.00383536	0.0164728	0.751331	1.08391e-007
N39	3.98363e-007	3.37427e-005	0.00309934	1.35182e-016
Zoniopoda_hempeli	0	2.7427e-008	4.75384e-006	0
Zoniopoda_omnicolor	0	2.7427e-008	4.75384e-006	0
Zoniopoda_tarsata	3.90542e-007	3.37509e-005	0.00310409	0
N40	0.00156895	0.00261336	0.480833	5.07819e-008
N41	0.000180532	0.000351689	0.0932691	6.76289e-009
Prionolopha_serrata	0.00433342	0.0206593	0.531224	1.00748e-007
N42	0.00310583	0.0230177	0.517182	1.12584e-007
Xyleus_insignis	0.0125424	0.000845192	0.0140355	0
Xyleus_laevipes	0.000256611	0.987395	0.0140353	0
Xyleus_modestus	0.0056091	0.0287379	0.624497	1.64835e-007
N43	0.0338572	0.303193	1.77555	2.51209e-005
Trimerotropis_ochraceipennis	0.000128631	0.00169025	0.0212966	0
Trimerotropis_pallidipennis	0.000128631	0.00169025	0.0212966	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.0209197	1.06026	1.78443	6.48994e-012
Ommatolampis_sp	0.0260673	0.0654103	1.78443	6.48994e-012
