#Nodes with GAIN events with expectation above 0.5
Paulinia_acuminata: 0.562383
Total number of gain events: 0.694764
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N8: 0.972049
N13: 0.53166
Chlorus_bolivianus: 1.41597
Leiotettix_pulcher: 0.993485
Scotussa_daguerrei: 0.963646
Dichroplus_pratensis: 1.34181
Dichroplus_silveiraguidoi: 1.98355
Dichroplus_patruelis: 0.994169
Leiotettix_flavipes: 1
Dichroplus_vittatus: 1.30461
Xyleus_laevipes: 0.99164
Total number of loss events: 13.6632
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N8: 0.514127
N12: 0.972864
Dichroplus_conspersus: 0.656439
Dichroplus_pratensis: 0.656439
Ommatolampis_sp: 0.682593
Dichroplus_democraticus: 0.996024
N26: 0.956475
N28: 0.673873
Leiotettix_flavipes: 1.00005
Dichroplus_maculipennis: 0.729855
Dichroplus_vittatus: 0.707463
Diponthus_sp: 0.707463
Hyalopteryx_rufipennis: 0.780767
N41: 0.572174
N43: 1.4506
Total number of duplication events: 18.8831
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000591393
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00384239	0.00781018	0.427301	8.339e-013
N3	0.000447212	0.000541117	0.0405944	1.44606e-016
N4	0.000414241	0.000417978	0.00523971	7.4192e-017
N5	0.000113694	0.000122296	0.000558728	1.5123e-020
N6	2.28369e-006	1.19425e-006	4.92319e-005	1.27735e-022
N7	7.73463e-007	0.00016908	0.485493	1.01295e-017
N8	2.42048e-005	0.972049	0.514127	8.65637e-013
Atrachelacris_sp	0.000133739	0.0279514	0.000380092	0
Tropidostethus_sp	0.000133739	0.0279514	0.000380092	0
N9	0.000351347	0.000199051	0.305504	7.53642e-010
Leiotettix_viridis	0.000696895	0.00168345	0.209004	8.10363e-012
N10	0.000464917	0.00072662	0.198047	2.38344e-011
Ommexecha_sp	0.000115472	0.00012829	0.0109567	0
Pseudoscopas_nigrigena	0.000115472	0.00012829	0.0109567	0
N11	3.52805e-007	1.46443e-007	1.72547e-006	7.50135e-024
N12	1.11163e-005	0.0364934	0.972864	9.22911e-017
N13	2.93538e-006	0.53166	0.018163	2.98828e-017
N14	7.85217e-005	0.00731691	0.000318704	6.56238e-016
Chlorus_bolivianus	7.58429e-008	1.41597	0.00865115	0
N15	0.0142702	0.00124925	0.00775822	1.27642e-010
Dichromatos_lilloanus	7.10915e-005	0.437742	0.000890097	0
Paulinia_acuminata	0.562383	6.47778e-005	0.000890097	0
Ronderosia_sp	0.000250211	0.432108	0.00897274	0
N16	0.00048946	0.000377279	0.012907	3.66313e-013
N17	0.0324932	0.000171879	0.0124214	1.3521e-010
N18	0.000233953	0.00280335	0.00176486	9.05756e-014
Leiotettix_pulcher	7.32572e-010	0.993485	3.98679e-005	0
N19	0.00651606	8.87309e-007	3.9816e-005	6.11574e-018
Marellia_remipes	0	2.06364e-008	5.19212e-008	0
Scotussa_lemniscata	0	2.06364e-008	5.19212e-008	0
Scotussa_impudica	0.00423985	0.000293348	0.00180473	0
Scotussa_daguerrei	1.70942e-005	0.963646	0.0142262	0
N20	0.000112358	0.000112362	8.70283e-007	7.08293e-024
N21	1.53034e-007	2.97281e-007	2.41133e-008	2.07772e-025
N22	0.000173857	0.00020303	0.317406	2.30121e-017
N23	1.37872e-006	0.00170624	0.0261541	1.53106e-014
Dichroplus_conspersus	0.0019033	0.000330181	0.656439	0
Dichroplus_pratensis	4.62051e-007	1.34181	0.656439	0
Ommatolampis_sp	0.000171111	0.000429484	0.682593	0
N24	1.71506e-006	5.57825e-006	5.10373e-009	1.11197e-025
N25	0.000591878	0.0169369	1.82984e-008	2.37844e-021
Dichroplus_democraticus	0.00828176	2.25204e-006	0.996024	0
Dichroplus_silveiraguidoi	3.39526e-005	1.98355	2.53651e-005	0
N26	0.000443406	0.00126445	0.956475	8.83502e-011
N27	0.000111591	0.000120289	0.0435105	9.79178e-017
Dichroplus_exilis	0	1.08277e-008	1.33681e-005	0
Dichroplus_fuscus	0	1.08277e-008	1.33681e-005	0
Dichroplus_schulzi	0.00011247	0.000121167	0.0435238	0
N28	8.44685e-005	0.000112429	0.673873	1.41371e-015
Dichroplus_elongatus	0.000469369	0.00137553	0.326127	0
N29	0.00037704	0.00639766	0.323355	8.29066e-013
Dichroplus_paraelongatus	0.00583306	1.66045e-006	0.0027718	0
Dichroplus_patruelis	5.78778e-009	0.994169	0.0027718	0
Leiotettix_flavipes	2.30513e-006	1	1.00005	5.34084e-015
N30	0.000437176	0.000514243	0.270756	1.07899e-010
Dichroplus_maculipennis	0.000777861	0.00166557	0.729855	2.69202e-010
N31	3.32355e-006	0.00197788	0.0223922	3.37277e-013
Dichroplus_vittatus	5.72859e-007	1.30461	0.707463	0
Diponthus_sp	0.00276189	0.00172523	0.707463	9.60187e-010
N32	9.71529e-005	0.000100871	0.22508	2.64082e-013
N33	0.000173252	0.000187335	0.328075	2.98767e-011
N34	0.000179935	0.000193458	0.122603	1.50097e-012
Dichromorpha_sp	0.00201008	0.0044377	0.330088	7.697e-011
Leptysma_sp	0.00201008	0.0044377	0.330088	7.697e-011
N35	0.000253176	0.000282003	0.186985	4.19632e-012
N36	0.00131976	0.00314686	0.265648	9.92693e-011
Schistocerca_cancellata	7.96702e-009	2.77521e-007	5.79199e-005	0
Schistocerca_pallens	7.96702e-009	2.77521e-007	5.79199e-005	0
Schistocerca_flavofasciata	0.00161165	0.00344429	0.265706	1.13047e-010
Hyalopteryx_rufipennis	0.00300578	0.00982487	0.780767	7.64092e-011
N37	0.000368548	0.000483179	0.466587	1.07902e-008
N38	0.000319875	0.000413077	0.307042	7.92663e-010
N39	0.000299462	0.00033791	0.0984946	1.13951e-010
Prionolopha_serrata	0.00184596	0.00415433	0.174321	9.05277e-011
Xyleus_modestus	0.00184596	0.00415433	0.174321	9.05277e-011
N40	0.000609907	0.00999892	0.229865	1.24123e-009
Xyleus_insignis	0.00895768	0.00187899	0.0429508	6.4143e-011
Xyleus_laevipes	7.1106e-006	0.99164	0.0429508	0
N41	0.00320096	0.0113664	0.572174	1.07069e-007
Zoniopoda_hempeli	0.000121251	0.000166174	0.00769205	0
N42	1.78439e-006	4.42748e-005	0.00659547	3.59334e-014
Zoniopoda_omnicolor	9.46655e-008	2.71364e-006	0.00109657	0
Zoniopoda_tarsata	9.46655e-008	2.71364e-006	0.00109657	0
N43	0.0154214	0.0884607	1.4506	0.00059127
Trimerotropis_ochraceipennis	0.000251757	0.000810708	0.0281669	0
Trimerotropis_pallidipennis	0.000251757	0.000810708	0.0281669	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
Atrachelacris_sp	0.00497854	1.00906	1.47374	1.69977e-012
Tropidostethus_sp	0.00497854	1.00906	1.47374	1.69977e-012
Leiotettix_viridis	0.00586883	0.0109443	1.47374	7.6258e-010
Ommexecha_sp	0.00575233	0.0101158	1.47374	7.7831e-010
Pseudoscopas_nigrigena	0.00575233	0.0101158	1.47374	7.7831e-010
Chlorus_bolivianus	0.00491282	2.00033	1.47374	8.34897e-013
Dichromatos_lilloanus	0.0192541	1.02335	1.47374	1.28477e-010
Paulinia_acuminata	0.581566	0.585677	1.47374	1.28477e-010
Ronderosia_sp	0.00508443	1.00915	1.47375	8.34241e-013
Leiotettix_pulcher	0.0380479	1.04222	1.47374	1.36501e-010
Marellia_remipes	0.044564	0.0487397	1.47374	1.36501e-010
Scotussa_lemniscata	0.044564	0.0487397	1.47374	1.36501e-010
Scotussa_impudica	0.0420538	0.0462288	1.47374	1.36411e-010
Scotussa_daguerrei	0.00533784	1.00941	1.47374	1.20052e-012
Dichroplus_conspersus	0.00701122	0.011245	1.47375	8.49453e-013
Dichroplus_pratensis	0.00510838	1.35272	1.47375	8.49453e-013
Ommatolampis_sp	0.00527765	0.00963808	1.47375	8.34142e-013
Dichroplus_democraticus	0.013808	0.0259503	1.46977	8.34119e-013
Dichroplus_silveiraguidoi	0.00556023	2.0095	0.473771	8.34119e-013
Dichroplus_exilis	0.00548939	0.0103959	1.47375	8.91844e-011
Dichroplus_fuscus	0.00548939	0.0103959	1.47375	8.91844e-011
Dichroplus_schulzi	0.00549027	0.0103968	1.47375	8.91843e-011
Dichroplus_elongatus	0.00548637	0.0104932	1.47375	8.35533e-013
Dichroplus_paraelongatus	0.0112271	0.015517	1.47375	1.6646e-012
Dichroplus_patruelis	0.00539404	1.00968	1.47375	1.6646e-012
Leiotettix_flavipes	0.00481984	1.00889	1.47375	8.3946e-013
Dichroplus_maculipennis	0.00591888	0.0109491	1.47375	3.77936e-010
Dichroplus_vittatus	0.00514491	1.31587	1.47375	1.09071e-010
Diponthus_sp	0.00790624	0.0129866	1.47375	1.06926e-009
Dichromorpha_sp	0.00675002	0.0132707	1.47374	1.09446e-010
Leptysma_sp	0.00675002	0.0132707	1.47374	1.09446e-010
Schistocerca_cancellata	0.00613295	0.0120686	1.47374	1.34441e-010
Schistocerca_pallens	0.00613295	0.0120686	1.47374	1.34441e-010
Schistocerca_flavofasciata	0.00642483	0.0123658	1.47374	1.48218e-010
Hyalopteryx_rufipennis	0.00739253	0.018277	1.47374	7.75073e-011
Prionolopha_serrata	0.00667624	0.0131987	1.47375	1.17882e-008
Xyleus_modestus	0.00667624	0.0131987	1.47375	1.17882e-008
Xyleus_insignis	0.0140984	0.0205843	1.47375	1.28891e-008
Xyleus_laevipes	0.00514783	1.01035	1.47375	1.28249e-008
Zoniopoda_hempeli	0.00753315	0.0198259	1.47375	1.1786e-007
Zoniopoda_omnicolor	0.00741378	0.0197067	1.47375	1.1786e-007
Zoniopoda_tarsata	0.00741378	0.0197067	1.47375	1.1786e-007
Trimerotropis_ochraceipennis	0.0156732	0.0892714	1.47876	0.00059127
Trimerotropis_pallidipennis	0.0156732	0.0892714	1.47876	0.00059127
