#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 1.09745
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.867095
Leiotettix_pulcher: 0.978439
Scotussa_daguerrei: 0.863056
Chlorus_bolivianus: 1.6878
Tropidostethus_sp: 0.696851
Dichromatos_lilloanus: 0.715392
Dichroplus_vittatus: 1.60067
Ronderosia_sp: 0.606258
Leiotettix_flavipes: 0.652819
Dichroplus_silveiraguidoi: 1.98924
Dichroplus_pratensis: 1.04103
Dichroplus_patruelis: 0.999952
Xyleus_laevipes: 0.987071
Total number of loss events: 14.4353
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.979794
Dichroplus_conspersus: 0.621899
Paulinia_acuminata: 0.621899
Dichroplus_democraticus: 1.00193
Dichroplus_pratensis: 1
N26: 0.872628
N29: 0.806989
Ommatolampis_sp: 1.00253
N31: 0.783289
N36: 0.560545
N43: 1.19916
Total number of duplication events: 13.148
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 2.27324e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00404506	0.00529583	0.199516	7.10303e-017
N3	0.000137107	0.000183328	0.0141084	8.48008e-020
N4	1.60138e-005	7.32077e-006	0.000870996	3.57664e-021
N5	0.000906427	0.00092358	0.00250834	2.62927e-020
N6	1.72752e-007	5.83928e-006	1.66069e-005	6.09817e-026
N7	7.95751e-006	0.146644	0.979794	5.47248e-019
N8	0.000713989	0.0039931	0.0176535	2.94206e-016
N9	0.0219802	0.000108505	0.00181579	3.51342e-014
N10	0.000260548	0.00932128	0.000624603	6.78115e-014
N11	0.0047877	0.000717884	0.000100555	1.06175e-014
Atrachelacris_sp	0.000122131	0.867095	1.36615e-005	0
N12	0.112212	2.50946e-005	1.2538e-005	1.62146e-013
N13	0.000300808	0.00106413	1.05041e-006	9.49888e-015
Leiotettix_pulcher	2.42385e-006	0.978439	7.30962e-008	0
N14	0.0215589	7.79231e-007	7.25455e-008	8.32452e-017
Ommexecha_sp	5.17138e-006	2.60063e-007	5.50547e-010	0
Scotussa_lemniscata	5.17138e-006	2.60063e-007	5.50547e-010	0
Scotussa_impudica	0.0208137	1.32203e-005	1.12351e-006	0
Scotussa_daguerrei	0.000155252	0.863056	0.000114216	0
Pseudoscopas_nigrigena	0.1268	0.00590809	0.000738819	1.02527e-012
N15	2.37406e-006	0.135098	0.000359388	2.7162e-018
N16	0.000135366	0.025295	0.00013628	4.25944e-016
Chlorus_bolivianus	1.32983e-007	1.6878	0.00202485	0
N17	0.00990403	0.00298226	0.00181244	3.30228e-010
Leiotettix_viridis	0.303357	0.000271045	0.000212416	0
Tropidostethus_sp	0.000118145	0.696851	0.000212415	0
Dichromatos_lilloanus	0.000465957	0.715392	0.00216113	0
N18	2.09394e-005	0.201072	0.0111947	1.45283e-015
N19	0.000307682	0.0468934	0.0044614	2.45218e-014
N20	0.00977496	0.0119057	0.00147982	5.88446e-012
Dichroplus_maculipennis	0.388801	2.97084e-006	0.00307218	0
Dichroplus_vittatus	1.95491e-007	1.60067	0.00307218	0
Ronderosia_sp	0.000538331	0.606258	0.004552	0
Leiotettix_flavipes	0.000587201	0.652819	0.00901341	0
N21	5.92005e-007	0.000192194	9.74023e-007	1.8409e-025
N22	0.000147712	1.2255e-005	3.84004e-007	2.57371e-020
N23	5.31548e-005	6.14044e-006	0.378093	1.7899e-011
Dichroplus_conspersus	0.00089001	0.00152982	0.621899	7.15022e-011
Paulinia_acuminata	0.00089001	0.00152982	0.621899	7.15022e-011
N24	0.000137741	0.0107829	3.7732e-007	5.56738e-022
Dichroplus_democraticus	0.00689548	0.00191149	1.00193	1.2428e-011
Dichroplus_silveiraguidoi	1.38548e-005	1.98924	1.532e-005	0
Dichroplus_pratensis	4.47032e-007	1.04103	1	0
N25	2.51326e-006	8.68844e-007	0.119576	3.78601e-016
