#Nodes with GAIN events with expectation above 0.5
N14: 0.71743
Total number of gain events: 1.02667
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N9: 0.822286
Leiotettix_pulcher: 0.905609
Chlorus_bolivianus: 0.988025
Dichroplus_silveiraguidoi: 1.99509
Dichroplus_pratensis: 1.07473
Dichroplus_patruelis: 0.99849
Leiotettix_flavipes: 0.999822
Dichroplus_vittatus: 1.23312
Xyleus_laevipes: 0.992579
Total number of loss events: 10.9588
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N9: 0.978518
N19: 0.998468
Dichroplus_democraticus: 1.00071
N23: 0.914062
Dichroplus_pratensis: 0.988014
N25: 0.984962
Paulinia_acuminata: 1
Leiotettix_flavipes: 0.770498
Marellia_remipes: 0.770499
Leiotettix_viridis: 1.00006
Dichroplus_maculipennis: 0.787329
Dichroplus_vittatus: 0.787328
Pseudoscopas_nigrigena: 0.880545
Ommatolampis_sp: 0.992879
N31: 0.785523
N41: 0.73263
N43: 1.23157
Total number of duplication events: 19.1322
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 4.61159e-007
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00185374	0.00258825	0.233389	5.62547e-018
N3	0.000122442	0.000125445	0.0108078	1.59818e-020
N4	0.000720388	0.000729488	0.00918987	1.84899e-020
N5	1.02494e-006	5.41387e-007	0.000217173	3.76081e-025
N6	2.33531e-007	1.02806e-006	5.58835e-005	1.67865e-024
N7	1.96136e-007	1.38788e-007	5.12822e-006	5.75026e-027
N8	4.01987e-008	5.78842e-007	6.50777e-007	3.13343e-028
N9	1.58308e-008	0.822286	0.978518	1.60925e-021
N10	2.65256e-005	0.0220592	0.00560309	2.29394e-014
N11	0.000143064	0.0196223	0.0117754	7.35114e-015
N12	0.00134548	0.00151571	0.00219812	4.76148e-014
Atrachelacris_sp	0.000581232	0.136111	0.00144205	0
N13	0.0532061	0.000449841	0.00135445	1.55869e-010
N14	0.71743	0.000111423	8.1139e-005	1.51264e-012
N15	0.00126895	0.00161333	6.3954e-006	5.94683e-015
Leiotettix_pulcher	8.63609e-010	0.905609	6.09063e-008	0
Scotussa_lemniscata	0.0943906	2.18628e-007	6.09063e-008	0
Scotussa_impudica	0.0941395	9.34568e-005	6.4563e-006	0
Scotussa_daguerrei	0.000211018	0.188568	8.75952e-005	0
Dichromatos_lilloanus	0.000641555	0.136326	0.00364018	0
Ronderosia_sp	0.000921039	0.156012	0.015416	0
N16	0.000734685	0.187924	0.0214261	6.6334e-016
Chlorus_bolivianus	2.69804e-006	0.988025	5.52519e-005	0
