#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.394304
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.988985
Leiotettix_flavipes: 0.995541
Chlorus_bolivianus: 1.73514
Ronderosia_sp: 0.742423
Dichromatos_lilloanus: 0.76364
Leiotettix_pulcher: 0.993789
Scotussa_daguerrei: 0.990171
Tropidostethus_sp: 0.990071
Dichroplus_pratensis: 1.17491
Dichroplus_patruelis: 0.998616
Dichroplus_silveiraguidoi: 1.9891
Dichroplus_vittatus: 1.87552
Xyleus_laevipes: 0.989995
Total number of loss events: 15.6939
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.96547
N20: 0.817112
Dichroplus_pratensis: 0.840068
N22: 0.608698
N25: 0.618622
Dichroplus_democraticus: 1.00291
Pseudoscopas_nigrigena: 0.508133
N31: 0.888472
N40: 0.623771
N42: 1.09718
Total number of duplication events: 12.3358
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.000297399
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00372181	0.00656805	0.202876	2.79129e-015
N3	0.00176307	0.00246088	0.0395042	3.26752e-016
N4	0.000265484	0.000306783	0.00441222	4.31574e-018
N5	1.83915e-006	4.90972e-006	0.000238868	2.81859e-022
N6	8.00947e-006	0.000176229	0.96547	2.05288e-016
N7	1.49009e-006	1.50937e-005	0.00177413	1.8373e-017
N8	0.00110311	0.0132134	0.0321985	3.08417e-012
Atrachelacris_sp	3.28672e-008	0.988985	0.000594874	0
Paulinia_acuminata	0.0111473	0.000361426	0.000594864	0
N9	0.000143083	0.00467705	0.0229303	2.32213e-015
Leiotettix_flavipes	0.000104041	0.995541	0.00986298	0
Leiotettix_viridis	0.00559833	0.0024628	0.00986301	7.35231e-012
N10	1.03289e-006	0.00941212	0.0278716	3.9315e-018
N11	1.60788e-006	0.227246	0.00269529	7.64357e-018
N12	0.000149255	0.0247541	0.00044587	9.06196e-016
Chlorus_bolivianus	3.15763e-005	1.73514	0.00355462	0
N13	0.00543759	0.00176607	0.00247054	6.69986e-010
Marellia_remipes	0.258241	0.00096949	0.00108306	9.36256e-010
Ronderosia_sp	0.000172218	0.742423	0.00108306	0
Dichromatos_lilloanus	0.000505588	0.76364	0.00400049	0
N14	0.000724853	0.000988922	0.00556174	7.09888e-015
N15	0.00733404	3.64889e-005	0.000813541	1.30171e-012
N16	0.000204633	0.00413525	0.000300611	2.98597e-013
Leiotettix_pulcher	5.73823e-009	0.993789	1.98833e-005	0
Scotussa_lemniscata	0.00633262	0.000355616	1.98833e-005	0
Scotussa_impudica	0.00322473	0.00126021	0.000320495	5.57124e-012
Scotussa_daguerrei	2.63629e-005	0.990171	0.00113404	0
N17	1.07205e-006	4.90484e-006	3.152e-005	8.41005e-025
N18	2.75672e-006	1.6093e-006	0.103433	3.62096e-017
N19	4.13497e-006	0.00670005	0.0565046	1.42389e-017
N20	0.00200594	0.0056551	0.817112	2.71875e-008
Dichroplus_conspersus	0.0100506	0.000351077	0.0230994	0
