#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.314837
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.846841
Dichromatos_lilloanus: 0.844582
N10: 0.780638
Chlorus_bolivianus: 1.061
Leiotettix_pulcher: 0.997461
Scotussa_daguerrei: 0.984857
Dichroplus_silveiraguidoi: 1.98536
Dichroplus_patruelis: 0.998853
Tropidostethus_sp: 0.999151
Leiotettix_flavipes: 1
Dichroplus_vittatus: 1.42428
Xyleus_laevipes: 0.98647
Total number of loss events: 13.4599
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N6: 0.945214
N18: 0.646522
Dichroplus_democraticus: 1.00311
N21: 0.792873
Leiotettix_flavipes: 1
Dichroplus_maculipennis: 0.560557
Dichroplus_vittatus: 0.560552
Pseudoscopas_nigrigena: 0.842582
N31: 0.708279
N36: 0.567114
N43: 1.2144
Total number of duplication events: 13.3009
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00110793
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N19:ML=12 to Dichroplus_pratensis:ML=10  ProbOfChange = 0.999702  sum expections= 0.0152453
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 2	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0038862	0.0079398	0.207782	1.23312e-013
N3	0.00208827	0.002545	0.047997	1.48616e-014
N4	0.000281794	0.000359094	0.0050962	1.34917e-016
N5	2.50805e-007	1.51244e-006	4.82652e-005	2.6509e-024
N6	0.000877206	0.0170791	0.945214	4.98594e-016
N7	8.40877e-005	0.139338	0.0466432	3.18009e-017
N8	0.000157165	0.00292919	0.00210788	4.37639e-016
N9	0.00584419	0.00426569	0.00451791	2.47604e-012
Atrachelacris_sp	0.00301239	0.846841	0.00151859	0
Leiotettix_viridis	0.149159	0.0163489	0.00151859	2.60397e-010
Dichromatos_lilloanus	0.00285681	0.844582	0.00603651	0
N10	4.66052e-005	0.780638	0.00565232	3.28809e-017
Chlorus_bolivianus	4.52478e-006	1.061	0.00249569	0
Ronderosia_sp	0.00458153	0.0677505	0.00249569	0
N11	0.00279174	0.00413872	0.0518507	7.81479e-011
N12	0.0167621	0.00125764	0.00272689	1.14005e-012
N13	0.00025916	0.000230896	0.000193314	2.91023e-014
N14	0.000221379	0.00274961	2.03203e-005	4.74892e-020
Leiotettix_pulcher	5.28474e-013	0.997461	0	0
Marellia_remipes	0.00253865	5.16682e-009	4.11925e-009	0
Scotussa_lemniscata	0.000234908	0.000225972	2.03244e-005	0
Scotussa_impudica	0.000289583	0.000254242	0.000213639	0
Scotussa_daguerrei	0.00192569	0.984857	0.00294053	0
N15	5.28567e-007	1.04357e-006	4.47744e-006	3.04017e-024
N16	1.50835e-006	5.86605e-007	1.2497e-006	2.60642e-022
