#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.230794
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N12: 0.884036
Dichromatos_lilloanus: 0.962703
Chlorus_bolivianus: 1.77131
Ronderosia_sp: 0.931097
Leiotettix_pulcher: 0.999764
Scotussa_daguerrei: 1.00097
Dichroplus_pratensis: 1.10177
Dichroplus_silveiraguidoi: 1.99381
Dichroplus_patruelis: 0.998659
Dichroplus_vittatus: 1.51962
Leiotettix_flavipes: 0.995619
Xyleus_laevipes: 1.00054
Total number of loss events: 14.7581
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N7: 0.649487
Dichroplus_conspersus: 0.936054
Dichroplus_pratensis: 0.936054
Dichroplus_democraticus: 1.00099
N25: 0.946894
N27: 0.930023
Leiotettix_flavipes: 0.772403
N32: 0.541821
N41: 1.17163
N43: 1.55217
Total number of duplication events: 16.3503
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 5.30708e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00336613	0.00962751	0.371504	1.16318e-014
N3	0.00123664	0.00235736	0.159715	2.50488e-015
N4	1.72041e-005	3.06533e-005	0.009262	1.58513e-019
N5	0.00091804	0.000932946	0.00899908	5.52121e-019
N6	5.27581e-006	9.13288e-006	0.000535986	1.12357e-021
N7	1.54437e-006	4.08985e-006	0.649487	1.89033e-014
N8	0.000155885	0.00132552	0.163612	1.55366e-015
N9	3.99571e-005	0.000249224	0.0867392	6.09698e-013
N10	0.00034125	0.0375889	0.0885863	3.35683e-015
N11	2.28601e-005	0.000315195	0.00129721	1.08007e-016
N12	0.000247525	0.884036	0.0101984	6.68476e-015
Atrachelacris_sp	0.000669924	0.0776073	0.000119771	0
Tropidostethus_sp	0.000669924	0.0776073	0.000119771	0
Leiotettix_viridis	0.0371011	0.00939177	0.0103182	8.44547e-014
Dichromatos_lilloanus	0.00164012	0.962703	0.0116156	0
Pseudoscopas_nigrigena	0.0027336	0.00501194	0.100202	1.78094e-013
N13	0.00035051	0.0668242	0.0186946	5.01438e-014
Chlorus_bolivianus	0.000412727	1.77131	0.168247	0
N14	0.0078597	0.0112515	0.168148	1.92808e-008
Ommexecha_sp	0.0689027	6.57854e-007	9.92324e-005	0
Ronderosia_sp	1.05548e-008	0.931097	9.92323e-005	0
N15	0.000353867	0.000378805	0.299204	1.35571e-013
N16	0.000430725	0.000925665	0.0448834	1.51453e-012
N17	0.000363523	0.000404334	0.00642913	6.85993e-015
N18	6.1854e-008	0.000227937	2.8121e-005	6.76537e-021
Leiotettix_pulcher	7.30236e-007	0.999764	8.45107e-006	0
Marellia_remipes	0.000236508	7.24171e-008	8.45107e-006	0
Scotussa_lemniscata	0.000230358	0.0002218	3.65753e-005	0
Scotussa_impudica	0.000401524	0.000966797	0.00646571	4.41098e-013
N19	3.04187e-006	0.000421704	0.00675462	6.31401e-015
Paulinia_acuminata	0.00180285	0.00434384	0.044593	6.39436e-014
Scotussa_daguerrei	0.0019577	1.00097	0.044593	0
N20	0.000245421	0.000244022	3.61649e-005	1.43836e-022
N21	8.56004e-007	4.83898e-006	2.77102e-006	2.90185e-023
N22	6.25577e-007	9.66637e-005	1.64501e-007	7.61302e-026
