#Nodes with GAIN events with expectation above 0.5
Dichroplus_maculipennis: 0.628986
Total number of gain events: 0.717256
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998785
Dichromatos_lilloanus: 0.991508
Leiotettix_pulcher: 0.998792
Scotussa_daguerrei: 0.997241
N16: 0.536161
Chlorus_bolivianus: 1.00365
Dichroplus_vittatus: 1.3555
Dichroplus_pratensis: 1.10041
Dichroplus_silveiraguidoi: 1.99256
Dichroplus_patruelis: 0.99578
Xyleus_laevipes: 0.993933
Total number of loss events: 13.3989
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.990175
Dichroplus_conspersus: 0.928189
Dichroplus_pratensis: 0.928188
Dichroplus_democraticus: 1.00128
N26: 0.962423
N29: 0.963066
N32: 0.680905
N41: 0.637114
N43: 1.15147
Total number of duplication events: 11.0111
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.59491e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00155579	0.00273883	0.168323	1.35142e-016
N3	4.78816e-006	5.14222e-006	0.000904183	7.30802e-021
N4	0.000500712	0.000508085	0.00315219	3.93594e-021
N5	4.58723e-008	0.00212488	0.990175	1.36782e-014
N6	0.00211972	2.12173e-007	0.00911019	2.05674e-015
N7	0.000111423	0.000123435	0.000483034	1.75109e-016
N8	3.54846e-006	0.00120701	0.000121396	4.73632e-016
Atrachelacris_sp	1.58986e-006	0.998785	0.000121689	0
Leiotettix_viridis	0.00203759	0.000942753	0.000121689	3.56278e-014
Pseudoscopas_nigrigena	0.000918928	0.0015078	0.000243086	5.34503e-016
N9	4.36201e-006	1.48441e-006	0.000492447	1.75492e-016
N10	0.00100978	0.00950311	0.000232876	2.50787e-017
Dichromatos_lilloanus	6.67513e-010	0.991508	7.97199e-007	0
Ommatolampis_sp	0.00849374	1.56413e-006	7.97199e-007	6.57137e-015
N11	2.01653e-006	3.05501e-006	7.67439e-005	3.72754e-017
N12	0.000357988	0.00312273	0.000143504	1.9521e-016
N13	0.00298223	0.000366064	1.31865e-005	6.60908e-014
N14	1.42818e-006	0.0010666	2.36554e-007	7.6132e-016
Leiotettix_pulcher	2.92397e-012	0.998792	1.97584e-009	0
Marellia_remipes	0.00120812	2.98223e-008	1.97584e-009	1.66559e-018
Scotussa_lemniscata	0.000252715	0.000109795	2.3853e-007	8.35331e-016
Scotussa_daguerrei	2.13469e-006	0.997241	1.3425e-005	0
N15	0.000410896	0.000411747	0.000151594	6.6797e-015
Paulinia_acuminata	0.000338489	0.00034668	5.33522e-006	3.46129e-015
Scotussa_impudica	0.000338489	0.00034668	5.33522e-006	3.46129e-015
N16	5.19696e-008	0.536161	0.0044367	3.09104e-019
N17	0.000586166	0.45559	0.00259081	7.815e-015
Chlorus_bolivianus	2.16638e-009	1.00365	0.000176927	0
Tropidostethus_sp	0.00603995	0.00983269	0.000176927	0
N18	2.02358e-005	0.0848426	0.00141695	8.54961e-016
N19	0.000658086	0.0209452	0.000576317	1.64057e-014
N20	0.0132868	0.0111478	0.0001652	1.48393e-012
Dichroplus_maculipennis	0.628986	0.0151578	0.00060909	5.37604e-007
Dichroplus_vittatus	1.45299e-006	1.3555	0.000609089	0
Ronderosia_sp	0.000991689	0.354967	0.000774288	0
Leiotettix_flavipes	0.00184332	0.376093	0.00135061	0
N21	2.90128e-007	1.06191e-006	1.05396e-005	2.05416e-023
N22	9.01158e-008	7.22356e-007	5.95072e-007	2.88545e-026
N23	4.19933e-006	0.00317996	0.0718124	1.91298e-018
Dichroplus_conspersus	0.0031084	0.000444197	0.928189	1.16865e-008
Dichroplus_pratensis	3.10168e-006	1.10041	0.928188	0
N24	9.22408e-007	2.87023e-006	6.91101e-008	5.02924e-024
N25	4.04688e-006	0.00741998	9.70058e-008	3.91722e-024
Dichroplus_democraticus	0.0048933	0.00126847	1.00128	4.34218e-011
Dichroplus_silveiraguidoi	7.58573e-006	1.99256	7.63776e-006	0
N26	1.02064e-005	6.93334e-006	0.962423	1.54116e-013
N27	1.5158e-006	2.54878e-006	0.0215854	2.86088e-014
N28	0.000350846	0.000352617	0.0159319	6.03659e-016
Dichroplus_exilis	1.49482e-008	2.30783e-007	6.04823e-005	2.13462e-019
Dichroplus_fuscus	1.49482e-008	2.30783e-007	6.04823e-005	2.13462e-019
Dichroplus_schulzi	0.000361241	0.000362992	0.0159923	6.03733e-016
Diponthus_sp	0.000488934	0.000491677	0.0375777	2.86066e-014
N29	6.18043e-006	5.86375e-006	0.963066	9.49321e-016
Dichroplus_elongatus	0.000383928	0.000385371	0.0369357	3.5609e-015
N30	5.86065e-007	2.28007e-006	0.00741633	3.0383e-015
N31	0.000351608	0.0045726	0.0291031	5.71537e-016
Dichroplus_paraelongatus	0.0044383	0.000218188	0.00041623	6.12282e-015
Dichroplus_patruelis	7.44006e-010	0.99578	0.00041623	0
Ommexecha_sp	0.000384765	0.000384515	0.0295193	5.82552e-016
N32	8.47318e-005	8.9895e-005	0.680905	6.54096e-012
N33	0.000360958	0.000463148	0.201222	2.03085e-010
Prionolopha_serrata	0.00108745	0.00318093	0.121037	1.23166e-011
