#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.24011
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N9: 0.606454
Chlorus_bolivianus: 1.87643
Leiotettix_pulcher: 0.997624
Scotussa_daguerrei: 0.997263
Ronderosia_sp: 0.997733
N19: 1.00018
Dichroplus_pratensis: 0.954784
Dichroplus_silveiraguidoi: 1.99699
Dichroplus_patruelis: 0.998406
Dichroplus_vittatus: 1.68123
Leiotettix_flavipes: 0.972806
Xyleus_laevipes: 0.993869
Total number of loss events: 14.9147
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N5: 0.800726
N18: 0.546417
Dichroplus_democraticus: 1.00034
N22: 0.828902
N24: 0.88238
Ommatolampis_sp: 0.57721
N37: 0.570514
N41: 0.958899
N43: 1.07757
Total number of duplication events: 13.55
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.70185e-006
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.00253108	0.00330187	0.165722	1.34329e-015
N3	0.000528895	0.000534452	0.00466608	1.14176e-018
N4	2.0576e-007	1.68789e-006	3.88402e-005	5.44227e-023
N5	2.41973e-009	2.92386e-008	0.800726	4.28041e-021
N6	7.23457e-009	7.61785e-005	0.131461	2.1808e-022
N7	9.2e-008	0.00072057	0.0200709	4.02825e-024
N8	8.51716e-007	0.101311	0.0283824	1.75211e-019
N9	2.8127e-006	0.606454	0.0153941	7.84986e-016
Atrachelacris_sp	0.000443683	0.291868	0.00394953	4.71869e-014
Dichromatos_lilloanus	0.000443683	0.291868	0.00394953	4.71869e-014
N10	0.00401767	0.0177697	0.00978557	1.58899e-012
Chlorus_bolivianus	6.16156e-008	1.87643	0.00955811	0
Marellia_remipes	0.111186	0.00274754	0.0094807	0
N11	0.000314196	0.00249143	0.044103	1.45265e-012
N12	0.00224326	0.000189897	0.00317806	1.38461e-011
N13	8.06853e-006	0.0019618	0.000426355	1.45657e-015
Leiotettix_pulcher	2.24776e-010	0.997624	1.85974e-005	0
Scotussa_lemniscata	0.00237669	5.19669e-007	1.85974e-005	0
Scotussa_impudica	0.000415447	2.48504e-005	0.000444952	5.34882e-014
Scotussa_daguerrei	1.18048e-006	0.997263	0.00362301	0
N14	1.03419e-005	0.00220127	0.0383213	5.46247e-017
Leiotettix_viridis	0.00257989	0.00208294	0.0294836	1.29073e-012
Ronderosia_sp	1.81313e-006	0.997733	0.0294836	4.30242e-013
N15	0.000121173	0.000111988	0.132938	1.44499e-013
Paulinia_acuminata	0.000543992	0.00138879	0.0663344	2.56196e-012
Pseudoscopas_nigrigena	0.000543992	0.00138879	0.0663344	2.56196e-012
N16	3.84471e-007	6.96674e-008	3.63556e-007	3.5995e-027
N17	6.75266e-008	4.27919e-007	3.00657e-008	6.0396e-025
N18	4.31828e-007	0.000521019	0.546417	1.88151e-017
Dichroplus_conspersus	0.000808681	0.00104067	0.45358	4.7009e-011
N19	2.66609e-006	1.00018	0.452823	6.8647e-016
Dichroplus_pratensis	6.22777e-010	0.954784	0.000757234	0
Tropidostethus_sp	0.0466066	0.00174294	0.000757234	0
N20	1.11824e-007	6.59821e-007	3.22883e-010	9.2089e-027
N21	1.3496e-006	0.00300146	3.88944e-010	1.47889e-025
Dichroplus_democraticus	0.00231421	0.000345314	1.00034	1.00905e-009
Dichroplus_silveiraguidoi	8.21758e-007	1.99699	1.07597e-006	0
N22	5.59942e-006	4.60402e-007	0.828902	1.88006e-013
N23	0.000104555	0.000317697	0.171061	6.99078e-013
Dichroplus_exilis	7.93715e-010	1.43058e-008	3.47477e-005	0
