#Nodes with GAIN events with expectation above 0.5
Total number of gain events: 0.139745
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Atrachelacris_sp: 0.998938
Leiotettix_pulcher: 0.994651
Scotussa_daguerrei: 0.999357
Dichroplus_vittatus: 1.92659
Leiotettix_flavipes: 0.951987
Chlorus_bolivianus: 1.96536
N18: 0.900482
Dichroplus_pratensis: 1.12965
Dichroplus_silveiraguidoi: 1.99273
Dichroplus_patruelis: 0.998814
Xyleus_laevipes: 0.991927
Total number of loss events: 14.4855
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N2: 0.686835
N5: 0.959287
Dichroplus_conspersus: 0.891657
Dichroplus_pratensis: 0.88852
Diponthus_sp: 0.88852
Dichroplus_democraticus: 1.00132
N26: 0.952468
N28: 0.964645
N32: 0.821178
Ommatolampis_sp: 0.959753
Prionolopha_serrata: 0.612684
Xyleus_modestus: 0.612684
N40: 0.543362
N41: 0.799075
N43: 1.70846
Total number of duplication events: 15.1619
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 1.65019e-005
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0106011	0.0345994	0.686835	9.21411e-014
N3	0.000452763	0.000571607	0.025292	4.12603e-018
N4	0.000121129	0.000122092	0.0010359	2.61645e-022
N5	0.000664171	0.000683612	0.959287	9.12856e-014
N6	1.90632e-006	2.48246e-005	0.012519	3.08463e-019
N7	3.74085e-005	1.52816e-005	0.0212263	6.79606e-016
N8	6.74932e-006	0.00105901	0.00595539	5.04199e-014
Atrachelacris_sp	4.87462e-007	0.998938	0.00110126	0
N9	0.00106433	1.29318e-005	0.000736507	2.1688e-013
Leiotettix_viridis	1.52313e-005	1.78017e-005	0.00036475	2.86543e-012
Pseudoscopas_nigrigena	1.52313e-005	1.78017e-005	0.00036475	2.86543e-012
N10	1.17756e-005	0.000641102	0.00679522	2.30421e-014
N11	0.000133785	1.9397e-006	3.29569e-005	2.26814e-016
N12	2.59102e-005	0.00486529	0.000225858	3.38463e-014
Leiotettix_pulcher	5.84513e-007	0.994651	2.61954e-006	0
Scotussa_lemniscata	0.00535088	1.54721e-006	2.61953e-006	0
Scotussa_impudica	0.000513572	2.05694e-006	0.000228477	2.87813e-014
Scotussa_daguerrei	2.6891e-007	0.999357	0.000261434	0
N13	1.05107e-005	0.0480266	0.00832004	9.29206e-018
N14	0.00097917	0.00928218	0.00262392	3.91236e-011
Dichroplus_maculipennis	0.05404	0.00262647	0.017339	1.57657e-007
